"Municipio","NO. CASILLA","TIPO DE CASILLA","Partido Acción Nacional","Partido Revolucionario Institutcional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","C.N.R","VOTOS NULOS"
"Chapantongo","281","BÁSICA","149","171","4","0","203","2","23","12","0","0","7"
"Chapantongo","281","CONTIGUA 1","125","162","2","0","213","5","36","0","0","0","7"
"Chapantongo","282","BÁSICA","125","111","8","0","143","1","31","4","0","0","4"
"Chapantongo","282","CONTIGUA1","122","140","0","0","151","2","13","3","0","0","6"
"Chapantongo","283","BÁSICA","156","140","2","0","155","1","13","8","0","0","10"
"Chapantongo","284","BÁSICA","119","122","1","0","81","0","12","1","0","0","1"
"Chapantongo","285","BÁSICA","59","141","9","0","118","2","14","12","0","0","9"
"Chapantongo","286","BÁSICA","218","114","0","0","78","1","9","1","0","0","9"
"Chapantongo","286","CONTIGUA1","214","107","2",NA,"92","0","5","4","0","0","6"
"Chapantongo","287","BÁSICA","106","88","1","0","222","4","8","3","0","0","10"
"Chapantongo","288","CONTIGUA 1","86","127","19","0","135","3","11","16","0","1","12"
"Chapantongo","288","BÁSICA","105","153","16","0","94","2","11","15","0","0","9"
"Chapantongo","289","BÁSICA","107","88","4","0","194","2","4","14","0","0","11"
"Chapantongo","289","CONTIGUA 1","120","90","1","0","190","0","8","7","0","0","7"
"Chapantongo","289","CONTIGUA 2","128","136","1","0","165","3","10","9","0","0","2"
"Chapantongo","290","BÁSICA","117","266","1","0","123","2","6","6","0","0","7"
