"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","NO REGISTRADO","NULO"
"Chapulhuacán","291","BASICA","3","120","269","0","1","0","1","8","1","0","1","0","0","0","11"
"Chapulhuacán","291","CONTIGUA 1","0","104","265","0","4","0","2","19","0","2","0","0","0","0","7"
"Chapulhuacán","291","CONTIGUA 2","2","100","284","0","0","0","3","10","1","0","0","0","0","0","18"
"Chapulhuacán","292","BASICA","2","111","218","0","1","0","2","8","0","0","0","0","0","1","13"
"Chapulhuacán","292","CONTIGUA 1","0","94","213","0","3","0","4","8","1","0","0","0","0","0","9"
"Chapulhuacán","292","CONTIGUA 2","1","100","226","0","0","0","2","12","0","3","0","1","0","0","9"
"Chapulhuacán","293","BASICA","0","102","123","0","1","0","1","1","0","1","0","0","0","0","9"
"Chapulhuacán","294","BASICA","0","96","233","0","0","0","0","6","0","1","1","0","0","0","15"
"Chapulhuacán","295","BASICA","1","81","78","0","2","0","4","20","1","0","2","0","0","0","12"
"Chapulhuacán","296","BASICA","3","196","238","0","1","0","3","6","1","1","1","0","0","0","23"
"Chapulhuacán","297","BASICA","3","140","256","0","1","0","0","7","0","1","4","0","0","0","12"
"Chapulhuacán","298","BASICA","2","153","262","0","1","0","3","4","0","2","0","2","0","0","16"
"Chapulhuacán","299","BASICA","1","27","87","0","0","0","2","14","1","0","1","2","0","0","9"
"Chapulhuacán","300","BASICA","2","98","127","0","0","0","0","5","1","0","0","0","0","0","6"
"Chapulhuacán","301","BASICA","2","101","144","0","1","0","0","1","1","0","1","0","0","0","11"
"Chapulhuacán","302","BASICA","2","106","266","0","2","0","1","9","0","1","1","0","0","0","9"
"Chapulhuacán","303","BASICA","0","73","78","0","1","0","1","4","1","0","0","0","0","0","11"
"Chapulhuacán","304","BASICA","0","81","197","0","1","0","2","3","0","0","0","0","0","0","12"
"Chapulhuacán","305","BASICA","3","106","269","0","2","0","0","9","0","0","0","0","0","0","12"
"Chapulhuacán","306","BASICA","1","56","84","0","1","0","2","5","1","2","0","0","0","0","11"
"Chapulhuacán","307","BASICA","3","93","298","0","1","0","2","18","3","1","1","0","0","0","14"
"Chapulhuacán","308","BASICA","3","168","258","0","0","0","7","3","0","1","0","0","0","0","10"
"Chapulhuacán","309","BASICA","1","132","295","0","1","0","3","6","5","0","0","0","0","0","18"
"Chapulhuacán","309","CONTIGUA 1","1","143","301","0","2","0","1","7","2","0","1","0","0","0","8"
"Chapulhuacán","310","BASICA","2","189","331","0","3","0","5","3","0","4","0","0","0","0","12"
"Chapulhuacán","311","BASICA","0","189","246","0","1","0","5","3","2","5","1","1","1","0","16"
"Chapulhuacán","312","BASICA","1","83","185","0","0","0","0","5","0","0","0","1","0","0","10"
"Chapulhuacán","312","CONTIGUA 1","0","71","200","0","0","0","2","5","1","0","2","0","0","0","12"
"Chapulhuacán","312","EXTRAORDINARIA 1","0","55","91","0","1","0","0","5","0","0","0","0","0","0","0"
"Chapulhuacán","313","BASICA","0","62","103","0","0","0","0","2","0","0","1","0","0","0","6"
"Chapulhuacán","314","BASICA","2","109","146","0","0","0","2","3","0","0","0","0","0","0","5"
"Chapulhuacán","315","BASICA","0","153","263","0","1","0","1","3","0","0","1","0","0","0","9"
"Chapulhuacán","315","EXTRAORDINARIA 1","0","87","142","0","2","0","2","2","0","0","2","0","0","0","6"
