"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","FRANCISCO MACIAS BELTRAN","NO REGISTRADO","NULO"
"Mineral De La Reforma","726","BASICA","259","143","1","1","4","8","7","2","9","3","0","0","0","1","1","8"
"Mineral De La Reforma","726","CONTIGUA 1","257","117","3","2","0","13","5","11","1","0","0","0","0","3","0","15"
"Mineral De La Reforma","726","CONTIGUA 2","222","125","4","0","2","8","6","7","2","0","0","0","0","7","0","10"
"Mineral De La Reforma","726","CONTIGUA 3","259","137","2","0","1","7","8","5","4","3","0","0","0","3","0","0"
"Mineral De La Reforma","727","BASICA","126","106","8","4","4","17","5","20","9","1","1","0","0","12","0","6"
"Mineral De La Reforma","727","CONTIGUA 1","123","82","12","0","9","26","5","15","2","2","1","0","0","0","0","19"
"Mineral De La Reforma","727","CONTIGUA 2","126","75","0","13","4","21","8","36","3","0","0","0","0","11","0","11"
"Mineral De La Reforma","727","CONTIGUA 3","130","86","18","5","2","18","8","27","4","1","0","0","0","0","10","17"
"Mineral De La Reforma","727","CONTIGUA 4","114","100","10","4","3","29","8","25","6","0","0","1","0","4","0","11"
"Mineral De La Reforma","727","CONTIGUA 5","129","88","10","7","3","20","5","27","7","1","1","0","0","8","0","2"
"Mineral De La Reforma","728","BASICA","123","83","11","6","6","33","8","20","11","2","1","0","0","7","0","17"
"Mineral De La Reforma","728","CONTIGUA 1","140","86","18","6","5","23","6","25","12","1","0","0","0","11","0","8"
"Mineral De La Reforma","728","CONTIGUA 2","133","75","10","4","7","34","7","31","17","0","0","0","0","11","0","8"
"Mineral De La Reforma","728","CONTIGUA 3","117","93","13","5","5","31","10","40","6","0","0","0","0","8","0","7"
"Mineral De La Reforma","729","BASICA","138","73","23","4","6","37","10","32","9","0","0","0","0","9","0","5"
"Mineral De La Reforma","729","CONTIGUA 1","101","94","5","1","5","23","13","32","6","6","0","0","0","0","4","12"
"Mineral De La Reforma","729","CONTIGUA 2","103","91","17","4","1","22","10","32","3","0","1","1","0","14","2","3"
"Mineral De La Reforma","729","CONTIGUA 3","117","92","12","3","3","20","9","24","6","0","0","0","0","6","9","5"
"Mineral De La Reforma","730","BASICA","134","96","11","10","4","26","6","4","1","0","0","0","0","9","0","5"
"Mineral De La Reforma","730","CONTIGUA 1","146","94","10","5","2","17","17","16","0","0","0","0","0","0","0","8"
"Mineral De La Reforma","730","CONTIGUA 2","146","127","12","4","4","26","6","15","1","1","1","0","0","5","0","10"
"Mineral De La Reforma","730","CONTIGUA 3","126","96","4","3","4","42","5","14","2","4","0","0","0","5","0","14"
"Mineral De La Reforma","731","BASICA","141","96","13","1","5","41","9","33","6","1","1","0","0","15","0","11"
"Mineral De La Reforma","731","CONTIGUA 1","149","103","11","2","2","35","8","45","10","0","0","0","0","10","0","7"
"Mineral De La Reforma","731","CONTIGUA 2","158","94","7","1","5","37","11","22","11","0","0","0","0","11","1","8"
"Mineral De La Reforma","731","CONTIGUA 3","162","90","12","4","2","38","13","36","4","0","0","0","0","20","0","11"
"Mineral De La Reforma","731","CONTIGUA 4","150","107","15","2","6","36","8","31","12","0","0","0","0","10","0","7"
"Mineral De La Reforma","731","CONTIGUA 5","142","88","17","3","7","31","9","35","7","0","0","0","0","12","2","9"
