"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","NO REGISTRADO","NULO","...19","...20","...21","...22"
"Mineral Del Chico","700","BASICA","65","176","213","3","1","4","5","13","0","0","3","0","0","0","0",NA,NA,NA,NA
"Mineral Del Chico","702","BASICA","15","74","155","3","3","1","2","4","0","1","0","0","0","0","7",NA,NA,NA,NA
"Mineral Del Chico","704","BASICA","129","163","262","12","2","5","0","4","0","1","0","0","0","1","16",NA,NA,NA,NA
"Mineral Del Chico","704","CONTIGUA 1","107","172","235","10","1","3","2","2","0","3","0","0","0","0","10",NA,NA,NA,NA
"Mineral Del Chico","705","BASICA","17","29","45","0","0","1","2","0","0","0","0","0","0","0","1",NA,NA,NA,NA
"Mineral Del Chico","707","BASICA","17","109","72","4","3","2","2","21","0","1","2","1","0","0","9",NA,NA,NA,NA
"Mineral Del Chico","708","BASICA","31","180","95","5","1","2","1","29","0","1","0","0","0","0","8",NA,NA,NA,NA
"Mineral Del Chico","709","BASICA","6","80","44","1","1","2","1","1","0","2","0","0","0","0","0",NA,NA,NA,NA
"Mineral Del Chico","710","BASICA","25","121","185","2","1","6","8","27","0","3","0","1","0","0","8",NA,NA,NA,"7"
"Mineral Del Chico","710","CONTIGUA 1","20","105","212","4","5","1","4","16","0","0","0","1","0","0","17",NA,NA,NA,NA
"Mineral Del Chico","710","CONTIGUA 2","40","125","191","5","7","2","5","19","0","1","0","0","0","0","2",NA,NA,NA,NA
"Mineral Del Chico","711","BASICA","11","80","76","5","3","1","2","2","0","1","0","0","0","0","5",NA,NA,NA,NA
"Mineral Del Chico","712","BASICA","28","146","132","2","3","8","1","40","0","1","0","0","0","0","13",NA,NA,NA,NA
"Mineral Del Chico","712","CONTIGUA 1","31","146","119","5","1","7","0","53","0","2","0","0","0","0","2",NA,NA,NA,NA
