"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO"
"Nicolás Flores","780","BASICA","163","87","53","0","0","0","3","0","22","0","7"
"Nicolás Flores","780","CONTIGUA 1","134","89","51","0","0","0","5","0","16","0","5"
"Nicolás Flores","781","BASICA","113","44","0","0","0","0","2","0","0","0","3"
"Nicolás Flores","782","BASICA","60","113","13","0","0","0","0","0","0","0","7"
"Nicolás Flores","783","BASICA","55","45","0","0","0","0","0","0","0","0","0"
"Nicolás Flores","784","BASICA","206","54","1","0","0","0","0","0","1","0","6"
"Nicolás Flores","785","BASICA","57","29","10","0","0","0","1","0","0","0","0"
"Nicolás Flores","786","BASICA","76","68","5","0","0","0","2","0","1","0","2"
"Nicolás Flores","788","BASICA","183","43","17","0","0","0","5","0","3","0","8"
"Nicolás Flores","789","BASICA","80","27","24","0","0","0","0","0","0","0","0"
"Nicolás Flores","790","BASICA","142","22","9","0","0","0","0","0","1","0","6"
"Nicolás Flores","791","BASICA","77","22","0","0","0","0","2","0","1","0","1"
"Nicolás Flores","792","BASICA","43","25","4","0","0","0","0","0","0","0","0"
"Nicolás Flores","793","BASICA","80","55","3","0","0","0","0","0","1","0","0"
"Nicolás Flores","795","BASICA","77","140","20","0","0","0","1","0","12","0","11"
"Nicolás Flores","796","BASICA","85","36","70","0","0","0","1","0","4","0","1"
"Nicolás Flores","797","BASICA","53","51","13","0","0","0","1","0","33","2","12"
"Nicolás Flores","798","BASICA","87","6","10","0","0","0","0","0","3","0","5"
"Nicolás Flores","799","BASICA","171","58","2","0","0","0","4","0","12","0","16"
"Nicolás Flores","800","BASICA","69","95","11","0","0","0","0","0","0","0","7"
"Nicolás Flores","801","BASICA","42","23","3","0","0","0","0","0","1","0","0"
