"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO","...15"
"Omitlán De Juárez","812","BASICA","14","140","30","21","119","12","17","7","0","0","12","Elección Anulada"
"Omitlán De Juárez","812","CONTIGUA 1","9","145","21","10","119","35","22","7","0","0","10","Elección Anulada"
"Omitlán De Juárez","812","CONTIGUA 2","9","128","39","12","132","13","10","2","0","0","6","Elección Anulada"
"Omitlán De Juárez","813","BASICA","15","60","14","19","160","14","68","9","0","0","6","Elección Anulada"
"Omitlán De Juárez","813","CONTIGUA 1","13","78","15","45","193","7","59","11","0","0","8","Elección Anulada"
"Omitlán De Juárez","814","BASICA","13","85","9","24","81","1","8","13","0","0","6","Elección Anulada"
"Omitlán De Juárez","815","BASICA","5","92","10","19","163","14","44","4","0","0","24","Elección Anulada"
"Omitlán De Juárez","816","BASICA","16","160","25","36","102","19","14","6","0","0","9","Elección Anulada"
"Omitlán De Juárez","817","BASICA","9","126","16","5","190","9","24","4","0","0","12","Elección Anulada"
"Omitlán De Juárez","818","BASICA","19","124","6","3","84","25","6","2","0","0","0","Elección Anulada"
"Omitlán De Juárez","818","CONTIGUA 1","26","118","7","7","83","28","19","4","0","0","13","Elección Anulada"
"Omitlán De Juárez","819","BASICA","9","182","16","2","76","22","43","10","0","0","2","Elección Anulada"
"Omitlán De Juárez","820","BASICA","7","43","28","4","78","4","81","9","0","0","4","Elección Anulada"
"Omitlán De Juárez","821","BASICA","3","30","2","6","70","0","6","1","0","0","4","Elección Anulada"
