"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO"
"Pacula","822","BASICA","193","138","0","0","0","0","8","0","0","1","6"
"Pacula","823","BASICA","153","189","0","0","0","0","20","0","0","0","4"
"Pacula","824","BASICA","197","134","0","0","0","0","3","0","0","0","8"
"Pacula","824","CONTIGUA 1","198","162","0","0","0","0","0","0","0","0","4"
"Pacula","825","BASICA","181","92","0","0","0","0","3","0","0","0","7"
"Pacula","826","BASICA","79","108","0","0","0","0","2","0","0","0","1"
"Pacula","827","BASICA","113","53","0","0","0","0","2","0","0","0","0"
"Pacula","828","BASICA","138","107","0","0","0","0","0","0","0","0","4"
"Pacula","829","BASICA","181","119","0","0","0","0","4","0","0","0","3"
"Pacula","830","BASICA","79","50","0","0","0","0","1","0","0","0","1"
"Pacula","831","BASICA","116","111","0","0","0","0","3","0","0","0","7"
