"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","MARCOS GONZALEZ TREJO","NO REGISTRADO","NULO"
"Tasquillo","1132","BASICA","10","68","120","30","6","2","57","26","5","2","0","3","0","71","0","7"
"Tasquillo","1133","BASICA","5","37","163","36","2","6","46","14","12","3","0","0","0","52","0","9"
"Tasquillo","1133","CONTIGUA 1","5","37","163","36","2","3","41","30","6","1","0","0","0","52","0","9"
"Tasquillo","1134","BASICA","1","55","122","15","6","1","49","16","2","5","1","2","1","68","0","11"
"Tasquillo","1134","CONTIGUA 1","3","57","120","11","3","5","40","16","7","4","0","2","0","60","0","10"
"Tasquillo","1134","CONTIGUA 2","1","44","142","17","11","3","44","10","8","2","0","0","4","67","0","5"
"Tasquillo","1135","BASICA","2","63","49","17","3","3","17","9","3","1","0","2","0","20","0","14"
"Tasquillo","1136","BASICA","2","8","18","3","3","1","4","2","0","0","1","0","0","5","0","4"
"Tasquillo","1137","BASICA","3","58","191","23","3","1","26","30","6","0","0","1","0","59","0","9"
"Tasquillo","1138","BASICA","4","66","160","21","5","6","80","47","8","4","0","1","1","19","0","8"
"Tasquillo","1139","BASICA","2","34","101","19","4","11","18","28","1","3","0","1","0","13","0","2"
"Tasquillo","1140","BASICA","0","8","18","3","1","1","3","1","0","0","0","0","0","7","0","3"
"Tasquillo","1141","BASICA","1","49","28","7","3","0","6","1","0","0","0","1","0","18","0","9"
"Tasquillo","1142","BASICA","3","51","189","16","6","6","23","21","20","1","0","0","0","30","0","13"
"Tasquillo","1143","BASICA","0","34","80","8","1","0","8","4","4","0","0","0","0","9","0","5"
"Tasquillo","1144","BASICA","0","25","110","7","11","2","15","33","1","0","0","1","0","17","0","5"
"Tasquillo","1145","BASICA","2","55","112","13","3","2","18","19","2","4","2","2","0","39","0","3"
"Tasquillo","1146","BASICA","3","23","60","2","3","1","13","17","1","1","0","1","0","13","0","5"
"Tasquillo","1146","CONTIGUA 1","0","24","86","2","1","2","26","15","0","3","0","4","0","10","0","6"
"Tasquillo","1147","BASICA","0","39","109","17","2","2","16","8","3","0","0","3","0","19","0","7"
"Tasquillo","1148","BASICA","3","62","133","11","7","2","26","26","4","2","1","0","0","35","0","10"
"Tasquillo","1149","BASICA","1","27","99","5","4","110","25","9","3","1","1","0","0","41","0","12"
"Tasquillo","1150","BASICA","11","86","49","2","6","3","19","8","0","1","4","2","0","64","0","22"
"Tasquillo","1150","CONTIGUA 1","14","66","71","2","7","0","16","12","3","4","1","3","2","43","0","11"
"Tasquillo","1150","CONTIGUA 2","7","82","61","5","5","8","22","3","1","1","0","4","1","52","0","6"
"Tasquillo","1151","BASICA","5","78","83","4","2","2","13","31","1","0","0","4","0","35","0","17"
"Tasquillo","1151","CONTIGUA 1","2","82","68","5","2","3","26","33","2","2","0","1","0","17","0","4"
"Tasquillo","1151","CONTIGUA 2","2","57","77","3","3","2","10","35","0","1","1","0","0","27","0","9"
