"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","NO REGISTRADO","NULO","...19"
"Tenango De Doria","1177","BASICA","1","63","127","0","13","0","77","39","39","5","3","2","0","0","16",NA
"Tenango De Doria","1177","CONTIGUA 1","0","71","122","0","10","0","81","28","22","5","0","10","0","0","0",NA
"Tenango De Doria","1178","BASICA","1","85","168","0","10","0","142","18","48","11","0","3","1","0","7",NA
"Tenango De Doria","1178","CONTIGUA 1","1","103","157","0","15","0","156","27","38","5","0","4","4","0","11","ANULADA"
"Tenango De Doria","1178","CONTIGUA 2","4","80","162","0","20","0","170","10","41","11","8","0","0","0","11",NA
"Tenango De Doria","1179","BASICA","2","35","82","0","9","0","58","0","32","4","0","3","0","0","7",NA
"Tenango De Doria","1180","BASICA","3","38","223","0","2","0","29","5","30","0","0","0","0","0","11",NA
"Tenango De Doria","1180","CONTIGUA 1","0","35","160","0","3","0","40","7","59","1","0","0","0","0","14",NA
"Tenango De Doria","1180","EXTRAORDINARIA 1","0","23","41","0","2","0","37","1","76","0","1","0","0","0","13",NA
"Tenango De Doria","1180","EXTRAORDINARIA 2","2","44","98","0","5","0","37","5","56","0","0","0","4","0","14",NA
"Tenango De Doria","1181","BASICA","0","38","167","0","7","0","62","24","0","0","0","0","0","0","16",NA
"Tenango De Doria","1181","EXTRAORDINARIA 1","2","31","45","0","5","0","21","0","50","1","0","0","0","0","13",NA
"Tenango De Doria","1182","BASICA","1","117","188","0","2","0","9","3","10","0","1","1","0","0","7",NA
"Tenango De Doria","1183","BASICA","0","48","115","0","0","0","70","5","57","8","0","0","0","0","22",NA
"Tenango De Doria","1183","CONTIGUA 1","1","37","120","0","6","0","89","6","53","2","0","3","1","0","16",NA
"Tenango De Doria","1184","BASICA","2","27","52","0","1","0","52","3","95","3","0","3","0","0","29",NA
"Tenango De Doria","1185","BASICA","5","65","137","0","9","0","80","10","56","5","2","3","0","0","11",NA
"Tenango De Doria","1186","BASICA","0","71","112","0","5","0","85","26","20","9","2","0","0","0","21",NA
"Tenango De Doria","1187","BASICA","5","37","106","0","4","0","125","3","79","5","0","1","2","0","12",NA
"Tenango De Doria","1188","BASICA","1","61","163","0","3","0","98","6","37","5","0","3","0","0","23",NA
"Tenango De Doria","1188","CONTIGUA 1","1","63","167","0","3","0","107","6","16","7","1","4","0","0","11",NA
"Tenango De Doria","1189","BASICA","1","33","143","0","5","0","79","1","40","5","0","0","1","0","16",NA
"Tenango De Doria","1189","CONTIGUA 1","1","24","116","0","5","0","76","5","52","2","0","2","1","0","25",NA
"Tenango De Doria","1190","BASICA","2","36","166","0","3","0","56","3","3","5","1","2","0","0","22",NA
"Tenango De Doria","1190","CONTIGUA 1","2","37","123","0","7","0","84","4","21","1","0","4","2","0","13",NA
