"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","RAÚL GONZÁLEZ GARCÍA","NO REGISTRADO","NULO"
"Tepeapulco","1191","BASICA","21","141","8","0","7","21","20","15","4","20","1","7"
"Tepeapulco","1191","CONTIGUA 1","16","150","6","0","14","25","17","21","12","20","0","11"
"Tepeapulco","1191","CONTIGUA 2","12","135","12","0","14","30","23","11","7","24","0","10"
"Tepeapulco","1192","BASICA","12","105","10","0","16","37","20","7","6","15","0","7"
"Tepeapulco","1192","CONTIGUA 1","16","118","5","0","12","38","20","13","10","17","0","5"
"Tepeapulco","1192","CONTIGUA 2","8","97","2","0","19","32","20","15","6","18","0","11"
"Tepeapulco","1193","BASICA","10","156","9","0","21","44","26","11","3","25","0","12"
"Tepeapulco","1193","CONTIGUA 1","22","188","6","0","32","25","16","17","5","0","0","3"
"Tepeapulco","1194","BASICA","19","176","10","0","13","30","38","14","8","29","0","14"
"Tepeapulco","1195","BASICA","10","126","5","0","5","28","10","11","8","23","0","6"
"Tepeapulco","1195","CONTIGUA 1","7","123","5","0","5","32","9","9","5","25","0","3"
"Tepeapulco","1196","BASICA","16","140","8","0","3","54","32","17","9","30","0","10"
"Tepeapulco","1196","CONTIGUA 1","17","143","9","0","7","45","26","27","11","22","0","15"
"Tepeapulco","1197","BASICA","19","188","3","0","20","29","21","28","9","20","0","11"
"Tepeapulco","1197","CONTIGUA 1","19","173","9","0","26","25","23","25","9","27","1","2"
"Tepeapulco","1197","CONTIGUA 2","18","167","8","0","25","29","27","10","6","28","1","3"
"Tepeapulco","1198","BASICA","8","108","1","0","5","12","21","9","6","10","0","1"
"Tepeapulco","1199","BASICA","6","113","3","0","13","21","18","9","6","8","0","3"
"Tepeapulco","1199","CONTIGUA 1","13","142","7","0","8","22","43","9","5","19","0","5"
"Tepeapulco","1199","CONTIGUA 2","15","126","6","0","3","31","39","10","9","31","0","4"
"Tepeapulco","1200","BASICA","8","92","7","0","3","0","15","6","1","3","0","1"
"Tepeapulco","1201","BASICA","5","157","5","0","21","3","32","8","5","2","0","4"
"Tepeapulco","1202","BASICA","12","214","7","0","26","25","51","6","3","8","0","9"
"Tepeapulco","1203","BASICA","0","51","2","0","0","2","13","3","1","1","0","4"
"Tepeapulco","1204","BASICA","16","138","2","0","9","9","15","7","5","6","0","3"
"Tepeapulco","1205","BASICA","17","98","6","0","15","58","17","20","9","8","0","7"
"Tepeapulco","1205","CONTIGUA 1","8","133","4","0","13","36","20","13","0","4","0","4"
"Tepeapulco","1206","BASICA","14","132","6","0","4","9","24","39","19","34","0","8"
"Tepeapulco","1207","BASICA","25","95","3","0","11","51","33","35","21","25","0","8"
"Tepeapulco","1208","BASICA","37","88","4","0","15","44","19","28","10","46","2","6"
"Tepeapulco","1208","CONTIGUA 1","43","101","5","0","6","43","22","25","9","19","1","14"
"Tepeapulco","1209","BASICA","22","97","12","0","9","36","27","36","16","30","0","7"
"Tepeapulco","1209","CONTIGUA 1","27","112","4","0","13","51","21","32","16","25","0","11"
"Tepeapulco","1210","BASICA","33","71","2","0","2","37","41","36","15","30","1","6"
"Tepeapulco","1210","CONTIGUA 1","17","184","5","0","9","39","27","30","20","23","0","10"
"Tepeapulco","1211","BASICA","22","90","3","0","3","21","16","13","12","20","0","10"
"Tepeapulco","1211","CONTIGUA 1","19","76","2","0","12","30","12","21","13","11","0","6"
"Tepeapulco","1212","BASICA","40","118","4","0","14","49","26","45","27","44","0","10"
"Tepeapulco","1212","CONTIGUA 1","51","182","4","0","13","50","27","39","23","131","5","10"
"Tepeapulco","1213","BASICA","25","81","4","0","6","45","20","25","9","40","2","3"
"Tepeapulco","1213","CONTIGUA 1","23","94","2","0","9","52","18","30","14","27","1","10"
"Tepeapulco","1214","BASICA","18","103","7","0","7","23","17","10","16","33","0","7"
"Tepeapulco","1214","CONTIGUA 1","20","96","8","0","11","31","11","20","17","15","1","7"
"Tepeapulco","1215","BASICA","41","135","4","0","14","67","30","43","28","42","1","15"
"Tepeapulco","1215","CONTIGUA 1","55","114","2","0","8","70","17","31","34","48","4","13"
"Tepeapulco","1216","BASICA","58","141","5","0","9","52","24","43","27","73","2","7"
"Tepeapulco","1217","BASICA","27","107","4","0","7","43","5","19","16","63","0","3"
"Tepeapulco","1217","CONTIGUA 1","32","111","5","0","8","31","13","21","12","57","0","9"
"Tepeapulco","1218","BASICA","32","103","3","0","5","39","8","20","33","28","3","7"
"Tepeapulco","1218","CONTIGUA 1","44","93","4","0","5","42","16","15","23","32","0","6"
"Tepeapulco","1219","BASICA","24","71","7","0","7","34","41","34","18","23","0","9"
"Tepeapulco","1219","CONTIGUA 1","23","72","4","0","14","35","4","39","14","29","0","6"
"Tepeapulco","1220","BASICA","55","137","5","0","8","53","17","37","57","27","1","10"
"Tepeapulco","1220","CONTIGUA 1","29","111","4","0","11","48","17","33","52","37","3","12"
"Tepeapulco","1221","BASICA","34","100","1","0","16","33","20","35","27","28","0","6"
"Tepeapulco","1221","CONTIGUA 1","47","89","2","0","10","44","17","53","11","34","0","8"
"Tepeapulco","1222","BASICA","20","75","6","0","8","41","20","26","20","26","0","8"
"Tepeapulco","1222","CONTIGUA 1","22","91","5","0","9","44","24","17","14","39","0","5"
"Tepeapulco","1222","CONTIGUA 2","18","94","6","0","5","37","22","16","16","48","0","10"
"Tepeapulco","1222","ESPECIAL 1","3","5","0","0","0","2","1","1","0","5","0","1"
"Tepeapulco","1223","BASICA","32","86","6","0","7","33","15","28","15","23","3","9"
"Tepeapulco","1223","CONTIGUA 1","31","81","4","0","16","41","15","28","18","23","0","8"
"Tepeapulco","1224","BASICA","42","95","9","0","14","58","15","24","27","36","0","6"
"Tepeapulco","1224","CONTIGUA 1","36","92","7","0","8","57","22","26","31","30","0","4"
"Tepeapulco","1224","CONTIGUA 2","55","105","6","0","11","52","23","26","23","32","0","10"
"Tepeapulco","1224","CONTIGUA 3","33","96","4","0","13","65","23","21","20","37","0","8"
"Tepeapulco","1224","CONTIGUA 4","45","113","7","0","12","57","18","23","21","27","1","3"
"Tepeapulco","1225","BASICA","28","89","5","0","8","53","11","22","22","39","1","0"
"Tepeapulco","1225","CONTIGUA 1","16","91","4","0","12","37","24","28","20","34","1","8"
"Tepeapulco","1226","BASICA","13","86","5","0","16","17","27","8","7","10","0","7"
"Tepeapulco","1226","CONTIGUA 1","13","70","4","0","9","22","37","12","4","17","0","2"
"Tepeapulco","1227","BASICA","40","61","4","0","5","35","14","22","9","0","0","7"
"Tepeapulco","1227","CONTIGUA 1","37","67","6","0","4","36","5","42","2","11","0","4"
"Tepeapulco","1228","BASICA","29","108","9","0","10","63","25","56","15","31","9","9"
"Tepeapulco","1228","CONTIGUA 1","23","123","5","0","9","42","28","44","19","32","0","11"
