"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO"
"Tlahuelilpan","1369","BASICA","0","51","36","103","1","5","41","45","0","0","8"
"Tlahuelilpan","1369","CONTIGUA 1","0","81","23","68","3","12","41","72","2","0","9"
"Tlahuelilpan","1370","BASICA","0","82","36","101","3","9","55","106","2","0","0"
"Tlahuelilpan","1370","CONTIGUA 1","0","94","45","93","8","28","34","103","4","0","7"
"Tlahuelilpan","1371","BASICA","0","84","52","81","13","20","49","126","3","2","10"
"Tlahuelilpan","1372","BASICA","0","91","66","100","11","57","32","109","6","0","6"
"Tlahuelilpan","1373","BASICA","0","74","61","104","9","28","38","125","3","0","4"
"Tlahuelilpan","1373","CONTIGUA 1","0","99","43","104","2","30","26","136","6","0","7"
"Tlahuelilpan","1374","BASICA","0","85","33","126","8","48","34","87","1","0","2"
"Tlahuelilpan","1374","CONTIGUA 1","0","79","43","88","4","32","38","102","1","0","9"
"Tlahuelilpan","1374","CONTIGUA 2","0","69","38","93","9","28","36","117","2","0","6"
"Tlahuelilpan","1375","BASICA","0","69","85","182","9","16","31","55","1","0","8"
"Tlahuelilpan","1375","CONTIGUA 1","0","94","106","134","5","18","26","52","3","0","8"
"Tlahuelilpan","1376","BASICA","0","73","39","136","1","25","26","51","3","0","8"
"Tlahuelilpan","1376","CONTIGUA 1","0","87","44","117","6","24","18","69","1","0","10"
"Tlahuelilpan","1376","CONTIGUA 2","0","87","23","129","4","22","25","95","0","0","15"
"Tlahuelilpan","1376","CONTIGUA 3","0","87","43","129","5","28","26","55","2","0","8"
"Tlahuelilpan","1377","BASICA","0","77","59","86","6","27","70","85","4","0","4"
"Tlahuelilpan","1377","CONTIGUA 1","0","86","51","36","11","32","93","84","3","0","11"
"Tlahuelilpan","1377","CONTIGUA 2","0","64","47","42","15","57","61","86","4","0","15"
