"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO"
"Tolcayuca","1441","BASICA","63","73","57","0","106","22","56","15","22","0","6"
"Tolcayuca","1441","CONTIGUA 1","85","104","53","0","84","32","48","12","16","0","5"
"Tolcayuca","1442","BASICA","82","45","70","0","33","34","63","16","15","0","6"
"Tolcayuca","1442","CONTIGUA 1","107","62","63","0","50","31","56","10","5","0","4"
"Tolcayuca","1442","CONTIGUA 2","97","57","56","0","70","51","52","14","7","0","5"
"Tolcayuca","1443","BASICA","99","74","130","0","83","34","58","12","20","0","9"
"Tolcayuca","1444","BASICA","60","79","78","0","47","32","36","6","11","0","3"
"Tolcayuca","1444","CONTIGUA 1","69","88","43","0","66","44","48","9","2","0","6"
"Tolcayuca","1444","CONTIGUA 2","72","73","47","0","47","60","40","8","19","0","6"
"Tolcayuca","1445","BASICA","44","58","146","0","31","16","66","17","16","0","7"
"Tolcayuca","1445","CONTIGUA 1","65","41","143","0","29","14","43","13","17","0","11"
"Tolcayuca","1446","BASICA","35","86","27","0","52","16","79","13","12","0","6"
"Tolcayuca","1446","CONTIGUA 1","35","95","18","0","39","10","73","11","13","0","3"
"Tolcayuca","1447","BASICA","20","84","23","0","12","21","178","38","10","0","3"
"Tolcayuca","1447","CONTIGUA 1","21","71","12","0","11","29","195","21","23","0","8"
"Tolcayuca","1447","CONTIGUA 2","15","87","10","0","12","23","184","22","20","0","9"
"Tolcayuca","1447","CONTIGUA 3","12","79","16","0","15","24","195","7","11","1","6"
"Tolcayuca","1448","BASICA","10","33","9","0","5","3","146","6","3","0","1"
