"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","NO REGISTRADO","NULO"
"Xochiatipan","1563","BASICA","204","176","96","2","2","0","4","5","86","3","0","0","0","0","15"
"Xochiatipan","1563","CONTIGUA 1","196","148","91","4","0","0","4","7","123","0","0","0","1","0","11"
"Xochiatipan","1563","CONTIGUA 2","205","166","74","4","0","0","7","6","75","0","1","1","0","0","14"
"Xochiatipan","1564","BASICA","120","163","82","1","0","0","2","0","157","0","0","0","0","0","34"
"Xochiatipan","1565","BASICA","107","135","196","1","0","0","2","0","128","0","0","0","0","0","25"
"Xochiatipan","1566","BASICA","63","154","84","2","0","0","0","0","56","0","0","0","0","0","16"
"Xochiatipan","1567","BASICA","158","111","114","0","1","0","9","5","79","0","0","0","0","0","21"
"Xochiatipan","1567","CONTIGUA 1","136","117","114","2","3","0","2","2","77","0","0","0","0","0","12"
"Xochiatipan","1567","CONTIGUA 2","150","90","90","1","1","0","0","0","102","0","0","1","0","0","21"
"Xochiatipan","1568","BASICA","102","97","48","2","0","0","4","1","60","0","0","0","0","0","8"
"Xochiatipan","1568","EXTRAORDINARIA 1","154","164","96","3","2","0","3","0","64","0","0","0","0","0","17"
"Xochiatipan","1568","EXTRAORDINARIA 2","119","94","101","8","0","0","2","2","84","0","0","0","0","0","6"
"Xochiatipan","1569","BASICA","50","72","45","0","0","0","1","1","130","0","0","0","0","0","9"
"Xochiatipan","1569","CONTIGUA 1","44","79","51","3","0","0","3","6","116","0","0","3","0","0","13"
"Xochiatipan","1570","BASICA","178","145","54","4","1","0","3","8","113","0","0","0","0","0","18"
"Xochiatipan","1570","CONTIGUA 1","180","124","59","2","1","0","4","15","94","0","0","0","0","0","33"
"Xochiatipan","1571","BASICA","78","71","86","11","2","0","4","6","49","0","0","0","0","0","10"
"Xochiatipan","1571","CONTIGUA 1","105","64","76","14","1","0","2","2","52","1","0","0","0","0","25"
"Xochiatipan","1572","BASICA","138","102","54","0","1","0","1","1","113","0","0","0","0","0","19"
"Xochiatipan","1572","CONTIGUA 1","137","99","44","1","0","0","0","1","130","0","0","0","0","0","10"
"Xochiatipan","1573","BASICA","89","43","58","0","0","0","0","0","58","0","0","0","0","0","11"
"Xochiatipan","1574","BASICA","151","84","28","1","2","0","1","3","76","0","0","0","1","0","8"
"Xochiatipan","1575","BASICA","124","117","43","0","0","0","0","1","56","1","0","0","0","0","5"
"Xochiatipan","1575","CONTIGUA 1","81","132","51","1","0","0","1","0","58","3","0","1","0","1","10"
