"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO","...15"
"Zapotlán De Juárez","1619","BASICA","38","162","214","10","2","3","36","5","4","0","7",NA
"Zapotlán De Juárez1619","1619","CONTIGUA 1","42","133","227","9","4","2","53","11","3","0","10",NA
"Zapotlán De Juárez","1619","CONTIGUA 2","34","137","249","12","8","3","43","17","5","0","10",NA
"Zapotlán De Juárez1620","1620","BASICA","54","158","153","12","4","1","30","4","7","0","5",NA
"Zapotlán De Juárez","1620","CONTIGUA 1","54","154","160","7","1","2","35","6","2","0","5",NA
"Zapotlán De Juárez","1620","CONTIGUA 2","42","160","148","6","3","1","30","8","5","0","9",NA
"Zapotlán De Juárez","1621","BASICA","12","138","146","11","10","2","42","9","4","0","3",NA
"Zapotlán De Juárez","1621","CONTIGUA 1","26","139","167","1","3","2","28","1","1","0","7",NA
"Zapotlán De Juárez","1621","CONTIGUA 2","28","124","153","5","1","1","50","11","3","1","5",NA
"Zapotlán De Juárez","1621","CONTIGUA 3","22","95","159","6","6","1","49","5","6","0","9",NA
"Zapotlán De Juárez","1622","BASICA","16","95","128","4","4","5","51","3","3","0","8",NA
"Zapotlán De Juárez","1622","CONTIGUA 1","18","100","124","7","1","2","40","7","3","0","7",NA
"Zapotlán De Juárez","1622","CONTIGUA 2","16","103","115","3","2","3","37","8","4","1","4",NA
"Zapotlán De Juárez","1623","BASICA","25","134","240","4","6","1","23","3","4","0","8",NA
"Zapotlán De Juárez","1623","CONTIGUA 1","26","122","249","2","4","3","28","3","5","0","9",NA
"Zapotlán De Juárez","1624","BASICA","20","101","141","3","4","0","34","2","2","0","7",NA
"Zapotlán De Juárez","1624","CONTIGUA 1","24","78","171","5","5","1","21","1","2","2","5","ANULADA"
"Zapotlán De Juárez","1625","BASICA","35","151","98","13","5","1","53","4","1","1","9",NA
"Zapotlán De Juárez","1625","CONTIGUA 1","29","150","135","6","8","1","44","2","3","0","5",NA
"Zapotlán De Juárez","1625","CONTIGUA 2","40","158","99","17","11","1","62","5","1","0","6",NA
"Zapotlán De Juárez","1625","CONTIGUA 3","26","174","77","8","5","3","47","5","1","0","6",NA
"Zapotlán De Juárez","1626","BASICA","48","188","118","19","7","8","24","4","4","1","3",NA
"Zapotlán De Juárez","1626","CONTIGUA 1","72","172","88","29","4","7","29","4","2","1","3",NA
