"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO"
"Zempoala","1627","BASICA","19","113","2","1","3","3","148","11","4","0","9"
"Zempoala","1627","CONTIGUA 1","16","119","5","0","5","2","168","10","6","0","7"
"Zempoala","1627","CONTIGUA 2","15","109","5","1","3","3","179","17","2","0","10"
"Zempoala","1628","BASICA","15","156","3","4","5","7","146","24","6","0","6"
"Zempoala","1628","CONTIGUA 1","28","176","5","2","2","2","143","23","9","0","8"
"Zempoala","1628","CONTIGUA 2","21","165","5","1","1","4","165","24","0","0","7"
"Zempoala","1629","BASICA","23","197","2","2","5","5","174","11","11","0","11"
"Zempoala","1629","CONTIGUA 1","16","183","1","1","5","4","163","15","9","0","12"
"Zempoala","1629","CONTIGUA 2","21","167","4","1","6","3","193","20","3","0","7"
"Zempoala","1630","BASICA","26","70","5","2","19","6","22","12","7","1","10"
"Zempoala","1630","CONTIGUA 1","21","89","6","0","7","1","31","12","15","1","4"
"Zempoala","1630","EXTRAORDINARIA 1","47","91","16","3","8","7","41","36","12","1","10"
"Zempoala","1630","EXTRAORDINARIA 1 CONTIGUA 1","54","85","9","2","6","7","46","34","10","0","11"
"Zempoala","1630","EXTRAORDINARIA 2","68","63","18","3","10","19","66","34","15","1","10"
"Zempoala","1630","EXTRAORDINARIA 2 CONTIGUA 1","63","89","15","6","9","19","61","39","14","0","8"
"Zempoala","1630","EXTRAORDINARIA 2 CONTIGUA 2","68","101","13","3","3","17","73","40","11","1","5"
"Zempoala","1630","EXTRAORDINARIA 2 CONTIGUA 3","88","75","10","2","6","25","55","36","8","0","5"
"Zempoala","1630","EXTRAORDINARIA 2 CONTIGUA 4","74","61","18","2","13","10","65","53","13","0","10"
"Zempoala","1630","EXTRAORDINARIA 2 CONTIGUA 5","67","72","11","6","5","14","65","42","13","2","12"
"Zempoala","1630","EXTRAORDINARIA 2 CONTIGUA 6","79","77","6","3","8","18","60","38","16","0","15"
"Zempoala","1631","BASICA","18","282","4","1","10","0","76","10","7","1","9"
"Zempoala","1631","CONTIGUA 1","16","268","5","1","4","2","81","12","15","0","13"
"Zempoala","1631","CONTIGUA 2","10","383","4","2","1","2","58","14","8","0","6"
"Zempoala","1631","CONTIGUA 3","15","263","6","2","2","2","95","10","9","0","8"
"Zempoala","1632","BASICA","15","160","7","2","1","3","164","11","6","0","11"
"Zempoala","1632","CONTIGUA 1","22","148","4","2","3","1","172","9","3","0","13"
"Zempoala","1632","CONTIGUA 2","21","157","1","2","2","0","137","10","9","0","9"
"Zempoala","1633","BASICA","16","139","10","3","7","6","146","7","3","0","11"
"Zempoala","1633","CONTIGUA 1","18","177","8","0","9","2","130","6","0","1","10"
"Zempoala","1633","EXTRAORDINARIA 1","28","222","9","2","5","4","197","14","2","1","8"
"Zempoala","1634","BASICA","30","249","2","7","5","4","175","14","4","0","6"
"Zempoala","1635","BASICA","6","175","1","1","53","6","144","5","2","0","8"
"Zempoala","1635","CONTIGUA 1","9","194","2","2","54","1","138","19","1","0","10"
"Zempoala","1636","BASICA","4","220","4","5","20","3","229","9","0","0","13"
"Zempoala","1637","BASICA","8","185","2","1","21","3","182","3","3","0","9"
"Zempoala","1637","CONTIGUA 1","9","179","2","2","5","3","183","6","3","0","6"
"Zempoala","1637","CONTIGUA 2","11","184","2","2","4","5","181","6","2","0","4"
"Zempoala","1637","CONTIGUA 3","12","176","2","3","14","2","200","8","3","0","4"
"Zempoala","1638","BASICA","17","239","7","4","2","4","135","20","4","0","11"
"Zempoala","1638","CONTIGUA 1","5","269","4","3","2","3","103","19","1","0","9"
"Zempoala","1639","BASICA","9","133","4","2","7","3","88","6","8","0","5"
"Zempoala","1639","CONTIGUA 1","8","143","3","1","5","2","102","10","5","0","5"
"Zempoala","1640","BASICA","6","126","2","0","3","0","72","15","7","0","7"
"Zempoala","1641","BASICA","4","126","2","2","3","0","153","8","3","0","8"
"Zempoala","1641","CONTIGUA 1","6","106","1","1","5","3","158","15","3","0","7"
"Zempoala","1642","BASICA","10","137","24","5","5","3","108","12","0","0","9"
"Zempoala","1642","CONTIGUA 1","8","118","27","2","5","1","133","7","1","0","6"
"Zempoala","1642","CONTIGUA 2","10","125","29","4","2","3","110","17","5","0","10"
"Zempoala","1643","BASICA","11","191","34","5","5","3","160","10","3","0","12"
