"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","LUCINA MARÍACONCEPCIÓN ANTÚNEZ SOTO","NO REGISTRADO","NULO"
"Acatlán","1","BASICA","75","134","6","2","5","9","5","6","36","0","1","0","0","33","0","4"
"Acatlán","1","CONTIGUA 1","87","95","7","1","5","11","2","6","39","0","1","0","0","61","0","7"
"Acatlán","1","CONTIGUA 2","66","128","6","1","4","18","2","7","45","7","0","0","1","27","0","4"
"Acatlán","2","BASICA","88","92","4","2","2","3","5","1","33","2","0","0","0","51","0","2"
"Acatlán","2","CONTIGUA 1","84","88","1","0","2","4","4","4","30","3","0","0","0","36","1","5"
"Acatlán","3","BASICA","41","82","3","1","3","3","10","0","48","3","0","0","0","5","0","7"
"Acatlán","4","BASICA","75","47","2","4","3","3","1","2","10","3","1","0","0","39","0","3"
"Acatlán","5","BASICA","98","83","1","1","11","2","14","7","19","4","0","0","0","161","0","22"
"Acatlán","5","EXTRAORDINARIA 1","42","44","1","0","5","1","5","3","46","3","0","0","0","18","0","16"
"Acatlán","6","BASICA","51","50","1","2","2","9","8","1","21","0","0","0","0","30","0","9"
"Acatlán","6","EXTRAORDINARIA 1","140","76","0","1","2","2","2","0","7","0","0","0","0","25","0","12"
"Acatlán","6","EXTRAORDINARIA 1 CONTIGUA 1","107","96","3","2","0","4","2","3","3","1","0","2","0","34","0","13"
"Acatlán","7","BASICA","214","124","1","0","14","1","3","2","12","4","2","0","0","61","0","2"
"Acatlán","7","CONTIGUA 1","239","125","1","6","2","4","9","5","7","3","0","0","0","58","0","12"
"Acatlán","8","BASICA","186","87","2","0","3","5","0","0","18","3","2","1","1","47","0","10"
"Acatlán","8","CONTIGUA 1","196","75","3","0","4","2","3","4","8","2","2","1","0","56","2","13"
"Acatlán","8","CONTIGUA 2","185","95","5","3","6","5","0","3","20","5","1","0","0","43","0","10"
"Acatlán","9","BASICA","75","105","1","0","3","5","2","1","9","3","0","0","0","231","0","10"
"Acatlán","9","CONTIGUA 1","53","76","4","2","7","10","5","4","13","6","2","1","0","214","0","23"
"Acatlán","9","CONTIGUA 2","62","101","2","0","3","12","3","2","16","4","1","1","1","170","1","8"
"Acatlán","9","CONTIGUA 3","55","80","3","2","3","6","4","0","19","7","2","2","0","222","0","1"
"Acatlán","10","BASICA","153","113","5","2","2","6","3","9","23","3","0","2","0","49","0","11"
"Acatlán","10","CONTIGUA 1","143","120","0","4","2","3","2","5","35","4","0","3","0","46","0","6"
"Acatlán","10","EXTRAORDINARIA 1","55","185","3","0","17","1","5","4","10","1","2","0","0","32","0","10"
"Acatlán","11","BASICA","107","160","13","2","15","4","4","9","40","3","4","1","0","33","0","9"
"Acatlán","11","CONTIGUA 1","114","143","8","2","11","5","10","9","22","4","3","0","0","54","0","6"
"Acatlán","11","CONTIGUA 2","133","166","8","2","10","6","5","9","42","8","2","0","0","36","0","12"
"Acatlán","12","BASICA","66","149","5","5","7","0","3","2","7","2","2","0","0","17","0","12"
"Acatlán","12","CONTIGUA 1","80","133","15","1","9","2","1","1","7","6","2","3","0","19","0","13"
"Acatlán","12","EXTRAORDINARIA 1","48","52","3","2","2","5","3","3","6","0","0","0","0","31","0","8"
