"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","ÁNGEL CRISTIAN SOLÍS SOTO","MARIO JARILLO HERNÁNDEZ","NO REGISTRADO","NULO"
"Agua Blanca De Iturbide","69","BASICA","180","41","0","0","3","0","82","12","144","7","0","6","0","4","70","0","14"
"Agua Blanca De Iturbide","69","CONTIGUA 1","187","45","0","0","9","0","81","15","128","2","2","6","0","7","88","0","9"
"Agua Blanca De Iturbide","69","CONTIGUA 2","234","51","0","0","3","0","48","10","150","6","2","0","0","9","79","0","15"
"Agua Blanca De Iturbide","70","BASICA","23","3","0","0","5","0","5","2","21","1","0","1","0","7","33","0","4"
"Agua Blanca De Iturbide","71","BASICA","23","10","0","0","4","0","16","2","8","0","0","1","3","6","27","0","4"
"Agua Blanca De Iturbide","72","BASICA","55","21","0","0","3","0","21","4","12","3","0","0","0","10","17","0","8"
"Agua Blanca De Iturbide","72","EXTRAORDINARIA 1","92","29","0","0","1","0","15","2","16","0","0","0","0","6","28","0","13"
"Agua Blanca De Iturbide","73","BASICA","105","13","0","0","1","0","17","5","22","1","0","2","1","4","26","0","4"
"Agua Blanca De Iturbide","74","BASICA","81","22","0","0","3","0","69","6","64","1","0","0","0","3","31","0","9"
"Agua Blanca De Iturbide","75","BASICA","45","12","0","0","0","0","20","3","26","1","0","1","0","2","23","0","7"
"Agua Blanca De Iturbide","76","BASICA","32","11","0","0","0","0","2","0","50","3","0","0","1","0","6","0","10"
"Agua Blanca De Iturbide","77","BASICA","223","41","0","0","0","0","26","9","177","0","0","0","0","5","86","0","22"
"Agua Blanca De Iturbide","78","BASICA","106","34","0","0","2","0","32","12","83","3","0","2","0","10","61","0","15"
"Agua Blanca De Iturbide","78","CONTIGUA 1","125","24","0","0","4","0","42","14","77","5","1","4","0","8","69","0","8"
"Agua Blanca De Iturbide","79","BASICA","143","29","0","0","8","0","42","36","122","4","0","2","0","45","79","0","15"
"Agua Blanca De Iturbide","80","BASICA","158","26","0","0","5","0","26","24","106","0","0","1","0","10","61","0","20"
