"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO"
"Ajacuba","81","BASICA","37","63","75","57","69","4","3","7","8","0","9"
"Ajacuba","81","CONTIGUA 1","27","64","79","60","90","0","11","2","4","0","6"
"Ajacuba","81","CONTIGUA 2","29","74","96","69","72","1","4","5","3","0","6"
"Ajacuba","82","BASICA","28","49","80","84","84","1","11","13","10","0","9"
"Ajacuba","82","CONTIGUA 1","34","64","94","70","48","0","10","6","5","0","10"
"Ajacuba","82","CONTIGUA 2","28","64","112","88","46","1","8","8","7","0","11"
"Ajacuba","83","BASICA","33","100","87","98","98","2","15","3","10","0","16"
"Ajacuba","83","CONTIGUA 1","28","84","104","108","76","0","11","5","27","0","12"
"Ajacuba","84","BASICA","16","102","96","150","76","2","30","4","3","0","7"
"Ajacuba","84","CONTIGUA 1","16","133","95","146","58","1","11","1","5","0","9"
"Ajacuba","85","BASICA","9","44","60","22","265","1","9","6","15","2","15"
"Ajacuba","85","CONTIGUA 1","23","54","55","31","261","1","14","9","14","0","15"
"Ajacuba","86","BASICA","29","39","63","22","205","0","4","10","4","0","16"
"Ajacuba","86","CONTIGUA 1","16","17","82","16","202","4","6","15","8","0","15"
"Ajacuba","86","CONTIGUA 2","12","54","68","25","190","2","8","18","6","0","25"
"Ajacuba","87","BASICA","21","32","33","7","43","1","0","6","4","0","1"
"Ajacuba","88","BASICA","11","71","95","58","120","1","7","48","7","0","10"
"Ajacuba","88","CONTIGUA 1","18","45","88","78","165","0","3","45","2","0","8"
"Ajacuba","88","CONTIGUA 2","12","65","99","40","124","1","6","63","10","0","9"
"Ajacuba","89","BASICA","26","50","145","39","147","2","1","39","11","0","8"
"Ajacuba","89","CONTIGUA 1","14","65","137","58","150","0","2","51","8","0","8"
"Ajacuba","90","BASICA","8","60","66","8","69","1","20","8","1","0","7"
"Ajacuba","91","BASICA","3","102","8","3","76","2","1","2","2","0","4"
