"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO"
"Chilcuautla","316","BASICA","91","72","98","0","76","2","33","77","8","0","13"
"Chilcuautla","316","CONTIGUA 1","71","81","79","0","87","3","47","84","1","0","16"
"Chilcuautla","316","CONTIGUA 2","101","70","89","0","51","1","35","81","6","0","10"
"Chilcuautla","317","BASICA","135","26","38","0","30","0","4","41","3","0","27"
"Chilcuautla","318","BASICA","46","103","126","0","82","5","10","37","3","0","20"
"Chilcuautla","319","BASICA","8","19","171","0","118","7","7","59","2","0","15"
"Chilcuautla","320","BASICA","10","64","28","0","12","10","7","219","4","0","17"
"Chilcuautla","320","CONTIGUA 1","12","64","21","0","13","3","1","241","1","0","12"
"Chilcuautla","321","BASICA","56","103","10","0","30","1","16","144","4","0","16"
"Chilcuautla","322","BASICA","23","94","48","0","65","14","10","60","6","0","9"
"Chilcuautla","322","CONTIGUA 1","24","78","61","0","52","5","16","86","8","0","9"
"Chilcuautla","323","BASICA","52","37","81","0","41","13","3","106","1","0","12"
"Chilcuautla","323","CONTIGUA 1","71","48","57","0","51","8","3","96","3","0","9"
"Chilcuautla","323","CONTIGUA 2","79","35","52","0","41","3","1","105","2","0","7"
"Chilcuautla","324","BASICA","7","67","35","0","57","2","2","66","7","0","14"
"Chilcuautla","325","BASICA","16","33","49","0","57","7","26","19","1","0","4"
"Chilcuautla","326","BASICA","49","44","12","0","9","1","6","5","0","0","1"
"Chilcuautla","327","BASICA","92","111","54","0","87","4","20","90","2","0","13"
"Chilcuautla","327","CONTIGUA 1","80","115","43","0","85","5","22","106","7","0","10"
"Chilcuautla","328","BASICA","37","113","66","0","61","5","5","83","8","0","15"
"Chilcuautla","328","CONTIGUA 1","38","115","67","0","69","6","2","69","3","0","17"
"Chilcuautla","329","BASICA","76","47","111","0","79","3","4","43","0","0","10"
"Chilcuautla","329","CONTIGUA 1","96","61","106","0","56","1","6","66","0","0","17"
"Chilcuautla","329","CONTIGUA 2","84","76","80","0","62","0","3","49","3","0","8"
"Chilcuautla","330","BASICA","5","8","29","0","32","0","3","3","1","0","3"
