"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO"
"Francisco I. Madero","369","BASICA","24","135","150","2","2","11","62","36","13","0","8"
"Francisco I. Madero","369","CONTIGUA 1","35","126","134","6","2","11","63","29","16","0","17"
"Francisco I. Madero","369","CONTIGUA 2","32","99","155","5","3","8","53","40","17","0","13"
"Francisco I. Madero","370","BASICA","35","149","163","2","2","8","35","30","7","0","8"
"Francisco I. Madero","370","CONTIGUA 1","43","138","146","4","1","12","49","28","21","0","13"
"Francisco I. Madero","371","BASICA","30","106","195","2","4","8","33","27","8","0","11"
"Francisco I. Madero","371","CONTIGUA 1","37","91","170","3","2","13","21","22","7","0","5"
"Francisco I. Madero","371","CONTIGUA 2","30","115","192","1","10","12","30","24","4","0","6"
"Francisco I. Madero","371","EXTRAORDINARIA 1","11","58","131","0","2","9","33","28","7","0","6"
"Francisco I. Madero","372","BASICA","21","110","108","1","3","6","26","25","13","0","1"
"Francisco I. Madero","372","CONTIGUA 1","32","82","117","3","3","6","31","18","19","0","8"
"Francisco I. Madero","373","BASICA","11","135","141","2","1","7","31","24","7","0","4"
"Francisco I. Madero","373","CONTIGUA 1","21","116","141","1","2","24","26","34","9","0","6"
"Francisco I. Madero","373","CONTIGUA 2","24","135","126","2","2","10","37","33","5","0","1"
"Francisco I. Madero","374","BASICA","22","159","134","4","3","27","56","47","24","0","16"
"Francisco I. Madero","374","CONTIGUA 1","20","167","117","2","0","16","62","41","23","0","10"
"Francisco I. Madero","375","BASICA","21","105","105","3","1","8","40","44","7","0","5"
"Francisco I. Madero","375","CONTIGUA 1","14","85","125","2","5","9","58","34","8","0","11"
"Francisco I. Madero","376","BASICA","19","54","101","2","3","4","36","5","5","0","6"
"Francisco I. Madero","376","CONTIGUA 1","42","46","80","2","1","5","23","11","7","0","7"
"Francisco I. Madero","377","BASICA","33","82","69","3","2","7","25","8","4","0","6"
"Francisco I. Madero","377","CONTIGUA 1","48","53","85","3","2","7","12","4","5","0","3"
"Francisco I. Madero","378","BASICA","13","100","66","1","0","50","60","34","4","0","5"
"Francisco I. Madero","378","CONTIGUA 1","11","75","44","1","1","58","68","24","3","0","3"
"Francisco I. Madero","378","CONTIGUA 2","15","65","50","1","1","60","57","34","7","0","7"
"Francisco I. Madero","379","BASICA","14","72","92","6","3","65","104","19","5","0","12"
"Francisco I. Madero","379","CONTIGUA 1","21","70","114","2","3","46","116","20","4","1","5"
"Francisco I. Madero","380","BASICA","17","75","77","0","3","91","68","7","9","0","10"
"Francisco I. Madero","380","CONTIGUA 1","20","78","75","1","1","78","46","11","7","0","6"
"Francisco I. Madero","381","BASICA","7","136","156","1","3","15","63","18","4","0","6"
"Francisco I. Madero","381","CONTIGUA 1","12","110","128","1","1","9","100","17","8","0","6"
"Francisco I. Madero","382","BASICA","3","139","142","1","0","13","32","26","3","0","4"
"Francisco I. Madero","382","CONTIGUA 1","4","73","171","3","0","13","29","17","5","0","8"
"Francisco I. Madero","383","BASICA","23","114","161","2","1","12","39","23","9","0","10"
"Francisco I. Madero","383","CONTIGUA 1","28","173","319","2","4","7","132","65","11","0","16"
"Francisco I. Madero","383","CONTIGUA 2","11","79","171","1","3","7","41","30","11","0","9"
"Francisco I. Madero","384","BASICA","7","80","133","0","3","3","93","5","3","0","10"
"Francisco I. Madero","384","CONTIGUA 1","10","76","130","3","1","5","133","9","3","0","8"
"Francisco I. Madero","384","CONTIGUA 3","12","113","156","0","2","5","64","15","3","0","13"
"Francisco I. Madero","385","BASICA","8","105","121","4","3","3","120","12","0","0","6"
"Francisco I. Madero","385","CONTIGUA 1","7","98","141","6","2","3","130","11","1","0","15"
"Francisco I. Madero","385","CONTIGUA 2","10","81","148","1","0","12","116","13","4","0","10"
"Francisco I. Madero","385","CONTIGUA 3","10","84","132","7","3","3","129","11","2","0","12"
