"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","NO REGISTRADO","NULO"
"Tlaxcoapan","1429","BASICA","116","22","36","3","0","61","5","77","19","0","0","0","2","0","14"
"Tlaxcoapan","1429","CONTIGUA 1","126","38","41","1","1","35","13","64","22","0","0","0","0","0","17"
"Tlaxcoapan","1429","CONTIGUA 2","82","40","47","0","2","59","18","71","19","1","0","0","0","0","15"
"Tlaxcoapan","1430","BASICA","165","40","45","0","1","45","19","101","17","2","0","0","0","2","16"
"Tlaxcoapan","1430","CONTIGUA 1","187","19","59","0","3","54","15","74","21","0","0","0","0","1","13"
"Tlaxcoapan","1430","CONTIGUA 2","139","34","62","1","2","52","29","94","27","0","0","0","0","0","7"
"Tlaxcoapan","1430","CONTIGUA 3","143","37","55","3","1","47","20","87","18","3","0","1","0","1","12"
"Tlaxcoapan","1431","BASICA","126","34","66","3","2","34","9","96","11","2","0","0","0","0","10"
"Tlaxcoapan","1431","CONTIGUA 1","138","30","57","1","2","25","17","93","14","0","0","0","0","0","7"
"Tlaxcoapan","1431","CONTIGUA 2","116","26","81","1","9","29","14","95","18","0","0","3","0","0","8"
"Tlaxcoapan","1432","BASICA","88","23","50","1","2","49","16","74","14","1","0","0","0","0","12"
"Tlaxcoapan","1432","CONTIGUA 1","96","25","61","0","1","29","20","52","27","0","0","0","0","0","11"
"Tlaxcoapan","1432","CONTIGUA 2","120","21","48","2","2","40","11","63","12","1","0","0","0","0","15"
"Tlaxcoapan","1433","BASICA","116","30","52","1","5","54","15","60","35","2","0","0","0","0","22"
"Tlaxcoapan","1433","CONTIGUA 1","142","28","52","2","1","69","19","86","37","1","0","0","1","0","17"
"Tlaxcoapan","1434","BASICA","135","26","59","1","1","53","11","51","20","1","0","0","0","0","15"
"Tlaxcoapan","1434","CONTIGUA 1","118","37","71","1","1","30","16","61","25","0","0","0","0","0","9"
"Tlaxcoapan","1434","CONTIGUA 2","116","29","74","1","5","34","18","35","27","0","0","0","0","0","11"
"Tlaxcoapan","1435","BASICA","176","53","45","0","2","31","14","68","17","0","0","3","0","0","8"
"Tlaxcoapan","1435","CONTIGUA 1","195","40","67","3","2","18","12","41","39","0","0","1","0","0","7"
"Tlaxcoapan","1436","BASICA","108","45","42","2","6","24","10","41","15","4","0","0","0","0","9"
"Tlaxcoapan","1436","CONTIGUA 1","122","49","54","0","2","19","24","33","11","0","0","0","0","0","14"
"Tlaxcoapan","1436","CONTIGUA 2","139","53","42","2","6","24","16","57","16","0","0","0","0","0","7"
"Tlaxcoapan","1437","BASICA","121","24","36","1","5","33","23","31","74","0","1","1","0","0","12"
"Tlaxcoapan","1437","CONTIGUA 1","121","34","58","1","6","25","24","33","63","0","0","0","0","1","8"
"Tlaxcoapan","1437","CONTIGUA 2","118","46","41","0","6","18","36","29","99","1","0","1","0","0","5"
"Tlaxcoapan","1438","BASICA","119","39","82","3","7","44","30","31","109","0","0","0","0","0","10"
"Tlaxcoapan","1438","CONTIGUA 1","140","37","60","3","2","24","28","37","116","0","0","0","1","0","18"
"Tlaxcoapan","1438","CONTIGUA 2","137","51","63","2","2","26","33","38","111","0","0","0","0","0","9"
"Tlaxcoapan","1439","BASICA","120","25","64","1","2","24","23","35","108","0","0","0","0","0","15"
"Tlaxcoapan","1439","CONTIGUA 1","128","27","59","2","1","20","22","36","149","0","1","0","0","0","12"
"Tlaxcoapan","1440","BASICA","81","54","49","1","2","21","9","38","14","2","0","0","0","0","9"
"Tlaxcoapan","1440","CONTIGUA 1","80","60","70","0","0","29","15","21","13","3","0","0","0","0","0"
