Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 1 - ACUITZIO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,188,133,87,0,2,1,2,,,,,14,,6,,10,,,0,6,449,694
C1,AC,Urna tradicional,177,160,77,2,3,2,2,,,,,9,,5,,6,,,0,16,459,695
Total,,,365,293,164,2,5,3,4,0,0,0,0,23,0,11,0,16,0,0,0,22,908,1389
Sección 2 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,184,106,105,5,1,1,0,,,,,13,,5,,8,,,0,14,442,697
C1,AC,Urna tradicional,211,94,90,2,1,0,1,,,,,9,,8,,12,,,0,21,449,698
Total,,,395,200,195,7,2,1,1,0,0,0,0,22,0,13,0,20,0,0,0,35,891,1395
Sección 3 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,132,82,59,2,2,1,3,,,,,7,,4,,4,,,0,12,308,495
C1,AC,Urna tradicional,149,73,57,2,2,2,0,,,,,7,,4,,4,,,0,12,312,496
Total,,,281,155,116,4,4,3,3,0,0,0,0,14,0,8,0,8,0,0,0,24,620,991
Sección 4 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,145,106,83,0,0,0,0,,,,,11,,4,,11,,,0,13,373,533
C1,AC,Urna tradicional,140,131,58,2,0,2,1,,,,,6,,3,,8,,,0,7,358,533
Total,,,285,237,141,2,0,2,1,0,0,0,0,17,0,7,0,19,0,0,0,20,731,1066
Sección 5 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,180,70,63,2,2,1,1,,,,,17,,1,,12,,,1,16,366,523
C1,AC,Urna tradicional,166,57,72,1,3,2,2,,,,,19,,2,,7,,,0,9,340,523
Total,,,346,127,135,3,5,3,3,0,0,0,0,36,0,3,0,19,0,0,1,25,706,1046
Sección 6 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,155,62,47,8,3,1,1,,,,,7,,0,,1,,,0,8,293,429
Total,,,155,62,47,8,3,1,1,0,0,0,0,7,0,0,0,1,0,0,0,8,293,429
Sección 7 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,190,76,84,6,5,1,3,,,,,7,,0,,12,,,0,12,396,638
Total,,,190,76,84,6,5,1,3,0,0,0,0,7,0,0,0,12,0,0,0,12,396,638
Sección 8 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,156,33,39,4,1,0,0,,,,,8,,4,,6,,,0,10,261,391
Total,,,156,33,39,4,1,0,0,0,0,0,0,8,0,4,0,6,0,0,0,10,261,391
Sección 9 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,83,53,30,7,0,1,1,,,,,0,,0,,0,,,0,9,184,224
Total,,,83,53,30,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,184,224
Sección 10 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,125,57,77,5,1,0,2,,,,,9,,3,,11,,,1,19,310,442
C1,AC,Urna tradicional,155,49,64,8,2,3,0,,,,,7,,2,,8,,,1,27,326,442
Total,,,280,106,141,13,3,3,2,0,0,0,0,16,0,5,0,19,0,0,2,46,636,884
Total municipal,,,2536,1342,1092,56,28,18,19,0,0,0,0,150,0,51,0,120,0,0,3,211,5626,8453
