Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 9 - ARIO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 149 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,147,145,51,17,3,,,,,,,,,1,,,,,0,13,377,594
C1,AC,Urna tradicional,162,138,41,19,0,,,,,,,,,0,,,,,0,12,372,595
Total,,,309,283,92,36,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,749,1189
Sección 150 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,166,82,18,9,0,,,,,,,,,0,,,,,1,10,286,457
C1,AC,Urna tradicional,166,104,16,9,1,,,,,,,,,1,,,,,0,6,303,457
Total,,,332,186,34,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,16,589,914
Sección 151 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,163,124,53,13,0,,,,,,,,,0,,,,,0,13,366,598
C1,AC,Urna tradicional,156,159,40,19,2,,,,,,,,,0,,,,,0,10,386,598
C2,AC,Urna tradicional,189,142,42,6,2,,,,,,,,,4,,,,,0,17,402,599
Total,,,508,425,135,38,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,40,1154,1795
Sección 152 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,194,173,57,32,0,,,,,,,,,5,,,,,0,15,476,713
Total,,,194,173,57,32,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,15,476,713
Sección 153 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,168,122,79,12,0,,,,,,,,,0,,,,,0,10,391,632
C1,AC,Urna tradicional,197,127,56,15,0,,,,,,,,,2,,,,,1,7,405,632
Total,,,365,249,135,27,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,17,796,1264
Sección 154 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,164,132,69,8,1,,,,,,,,,5,,,,,0,5,384,572
C1,AC,Urna tradicional,143,123,69,11,1,,,,,,,,,2,,,,,1,13,363,572
C2,AC,Urna tradicional,142,125,56,13,0,,,,,,,,,3,,,,,1,12,352,572
C3,AC,Urna tradicional,171,118,56,7,0,,,,,,,,,2,,,,,0,11,365,572
Total,,,620,498,250,39,2,0,0,0,0,0,0,0,0,12,0,0,0,0,2,41,1464,2288
Sección 155 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,144,125,45,18,0,,,,,,,,,2,,,,,0,18,352,588
C1,AC,Urna tradicional,160,122,51,19,0,,,,,,,,,0,,,,,0,9,361,588
C2,AC,Urna tradicional,130,125,44,12,3,,,,,,,,,5,,,,,0,17,336,588
Total,,,434,372,140,49,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,44,1049,1764
Sección 156 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,124,122,88,9,1,,,,,,,,,3,,,,,0,12,359,566
C1,AC,Urna tradicional,137,115,64,6,0,,,,,,,,,2,,,,,0,18,342,567
C2,AC,Urna tradicional,148,119,48,18,1,,,,,,,,,1,,,,,2,11,348,567
C3,AC,Urna tradicional,137,133,68,7,2,,,,,,,,,0,,,,,0,13,360,567
Total,,,546,489,268,40,4,0,0,0,0,0,0,0,0,6,0,0,0,0,2,54,1409,2267
Sección 157 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,261,98,37,4,1,,,,,,,,,2,,,,,0,23,426,728
C1,AC,Urna tradicional,217,95,51,7,4,,,,,,,,,2,,,,,0,30,406,729
Total,,,478,193,88,11,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,53,832,1457
Sección 158 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,134,83,103,13,1,,,,,,,,,1,,,,,0,7,342,603
C1,AC,Urna tradicional,97,101,97,9,3,,,,,,,,,1,,,,,0,18,326,604
Total,,,231,184,200,22,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,25,668,1207
Sección 159 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,158,100,70,9,0,,,,,,,,,0,,,,,0,22,359,545
C1,AC,Urna tradicional,181,134,55,8,1,,,,,,,,,2,,,,,0,13,394,545
C2,AC,Urna tradicional,175,132,40,15,3,,,,,,,,,2,,,,,0,16,383,546
Total,,,514,366,165,32,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,51,1136,1636
Sección 160 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,145,271,99,8,0,,,,,,,,,0,,,,,0,29,552,729
C1,AC,Urna tradicional,226,158,104,9,0,,,,,,,,,0,,,,,0,17,514,729
Total,,,371,429,203,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1066,1458
Sección 161 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,122,106,59,15,2,,,,,,,,,1,,,,,0,11,316,524
C1,AC,Urna tradicional,122,125,62,17,1,,,,,,,,,0,,,,,0,11,338,525
C2,AC,Urna tradicional,119,108,47,28,2,,,,,,,,,2,,,,,1,22,329,525
Total,,,363,339,168,60,5,0,0,0,0,0,0,0,0,3,0,0,0,0,1,44,983,1574
Sección 162 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,109,71,16,6,2,,,,,,,,,3,,,,,0,7,214,308
Total,,,109,71,16,6,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,214,308
Sección 163 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,161,71,28,10,2,,,,,,,,,1,,,,,0,11,284,496
C1,AC,Urna tradicional,148,86,28,9,3,,,,,,,,,2,,,,,19,0,295,496
Total,,,309,157,56,19,5,0,0,0,0,0,0,0,0,3,0,0,0,0,19,11,579,992
Sección 164 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,185,147,28,4,3,,,,,,,,,0,,,,,0,15,382,615
Total,,,185,147,28,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,382,615
Sección 165 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,128,76,29,8,0,,,,,,,,,0,,,,,0,5,246,416
C1,AC,Urna tradicional,164,64,29,4,0,,,,,,,,,0,,,,,0,6,267,417
Total,,,292,140,58,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,513,833
Sección 166 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,137,136,66,6,1,,,,,,,,,0,,,,,0,9,355,527
C1,AC,Urna tradicional,112,136,66,5,2,,,,,,,,,0,,,,,0,13,334,528
Total,,,249,272,132,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,689,1055
Sección 167 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,61,135,33,5,5,,,,,,,,,2,,,,,0,8,249,382
Total,,,61,135,33,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,249,382
Sección 168 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,115,133,64,6,0,,,,,,,,,0,,,,,0,11,329,515
Total,,,115,133,64,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,329,515
Sección 169 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,107,55,32,4,0,,,,,,,,,0,,,,,0,34,232,318
Total,,,107,55,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,232,318
Total municipal,,,6692,5296,2354,488,53,0,0,0,0,0,0,0,0,59,0,0,0,0,26,590,15558,24544
