Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 10 - ARTEAGA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 170 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,17,205,,,3,,0,152,,,,0,,5,,,,,0,20,402,648
C1,AC,Urna tradicional,23,212,,,0,,0,111,,,,0,,0,,,,,0,11,357,649
C2,AC,Urna tradicional,28,150,,,0,,0,157,,,,0,,0,,,,,0,0,335,649
C3,AC,Urna tradicional,13,214,,,0,,0,139,,,,0,,0,,,,,0,7,373,649
Total,,,81,781,0,0,3,0,0,559,0,0,0,0,0,5,0,0,0,0,0,38,1467,2595
Sección 171 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,12,208,,,2,,1,143,,,,0,,2,,,,,0,9,377,616
C1,AC,Urna tradicional,9,205,,,2,,0,133,,,,0,,0,,,,,0,8,357,616
C2,AC,Urna tradicional,15,197,,,0,,0,129,,,,0,,0,,,,,0,11,352,617
Total,,,36,610,0,0,4,0,1,405,0,0,0,0,0,2,0,0,0,0,0,28,1086,1849
Sección 172 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,5,224,,,0,,0,162,,,,0,,0,,,,,0,8,399,664
C1,AC,Urna tradicional,5,184,,,1,,1,178,,,,0,,2,,,,,0,8,379,664
C2,AC,Urna tradicional,8,186,,,2,,0,167,,,,0,,0,,,,,0,0,363,664
Total,,,18,594,0,0,3,0,1,507,0,0,0,0,0,2,0,0,0,0,0,16,1141,1992
Sección 173 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,16,183,,,0,,0,178,,,,0,,0,,,,,0,12,389,651
C1,AC,Urna tradicional,7,183,,,0,,0,183,,,,0,,0,,,,,0,11,384,652
C2,AC,Urna tradicional,5,167,,,0,,0,211,,,,0,,0,,,,,1,10,394,652
Total,,,28,533,0,0,0,0,0,572,0,0,0,0,0,0,0,0,0,0,1,33,1167,1955
Sección 174 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,16,239,,,0,,0,168,,,,0,,0,,,,,0,12,435,684
C1,AC,Urna tradicional,19,174,,,4,,0,201,,,,0,,7,,,,,0,12,417,684
Total,,,35,413,0,0,4,0,0,369,0,0,0,0,0,7,0,0,0,0,0,24,852,1368
Sección 175 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,3,174,,,0,,0,104,,,,0,,0,,,,,0,9,290,372
E1,AC,Urna tradicional,0,44,,,0,,0,62,,,,0,,0,,,,,0,0,106,152
Total,,,3,218,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,9,396,524
Sección 176 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,66,198,,,0,,0,127,,,,0,,0,,,,,0,23,414,696
C1,AC,Urna tradicional,38,211,,,0,,0,126,,,,0,,0,,,,,0,6,381,697
E1,AC,Urna tradicional,28,135,,,0,,0,136,,,,0,,0,,,,,0,8,307,479
E2,AC,Urna tradicional,3,77,,,0,,0,23,,,,0,,0,,,,,0,1,104,146
Total,,,135,621,0,0,0,0,0,412,0,0,0,0,0,0,0,0,0,0,0,38,1206,2018
Sección 177 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,18,123,,,0,,0,57,,,,0,,0,,,,,0,5,203,409
E1,AC,Urna tradicional,5,42,,,0,,0,14,,,,0,,0,,,,,0,6,67,128
E2,AC,Urna tradicional,2,44,,,0,,0,31,,,,0,,1,,,,,0,2,80,141
Total,,,25,209,0,0,0,0,0,102,0,0,0,0,0,1,0,0,0,0,0,13,350,678
Sección 178 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,2,242,,,0,,0,162,,,,0,,3,,,,,1,11,421,739
E1,AC,Urna tradicional,2,56,,,0,,0,16,,,,0,,1,,,,,0,2,77,101
Total,,,4,298,0,0,0,0,0,178,0,0,0,0,0,4,0,0,0,0,1,13,498,840
Sección 179 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,1,80,,,0,,0,49,,,,0,,0,,,,,0,4,134,301
Total,,,1,80,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,4,134,301
Sección 180 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,39,254,,,2,,0,107,,,,0,,2,,,,,0,9,413,655
E1,AC,Urna tradicional,6,90,,,0,,0,27,,,,0,,2,,,,,0,3,128,190
Total,,,45,344,0,0,2,0,0,134,0,0,0,0,0,4,0,0,0,0,0,12,541,845
Sección 181 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,21,188,,,1,,0,110,,,,1,,0,,,,,0,2,323,599
C1,AC,Urna tradicional,16,172,,,0,,0,104,,,,0,,0,,,,,0,10,302,599
