Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 26 - CHINICUILA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 397 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,187,,,2,,,124,,,,,,4,,,,,0,2,319,521
C1,AC,Urna tradicional,,203,,,0,,,101,,,,,,3,,,,,0,6,313,521
E1,AC,Urna tradicional,,22,,,1,,,42,,,,,,1,,,,,0,1,67,126
E2,AC,Urna tradicional,,44,,,0,,,31,,,,,,0,,,,,0,1,76,131
Total,,,0,456,0,0,3,0,0,298,0,0,0,0,0,8,0,0,0,0,0,10,775,1299
Sección 398 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,37,,,0,,,159,,,,,,4,,,,,0,5,205,398
E1,AC,Urna tradicional,,28,,,0,,,51,,,,,,0,,,,,0,1,80,130
Total,,,0,65,0,0,0,0,0,210,0,0,0,0,0,4,0,0,0,0,0,6,285,528
Sección 399 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,53,,,0,,,88,,,,,,0,,,,,0,1,142,257
E1,AC,Urna tradicional,,9,,,0,,,51,,,,,,0,,,,,0,0,60,108
Total,,,0,62,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,1,202,365
Sección 400 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,68,,,1,,,33,,,,,,0,,,,,0,0,102,172
E1,AC,Urna tradicional,,29,,,0,,,22,,,,,,2,,,,,0,0,53,70
Total,,,0,97,0,0,1,0,0,55,0,0,0,0,0,2,0,0,0,0,0,0,155,242
Sección 401 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,41,,,0,,,51,,,,,,0,,,,,0,0,92,180
Total,,,0,41,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,92,180
Sección 402 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,115,,,0,,,96,,,,,,0,,,,,0,5,216,338
E1,AC,Urna tradicional,,75,,,1,,,80,,,,,,0,,,,,0,0,156,307
Total,,,0,190,0,0,1,0,0,176,0,0,0,0,0,0,0,0,0,0,0,5,372,645
Sección 403 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,128,,,1,,,118,,,,,,3,,,,,0,4,254,399
E1,AC,Urna tradicional,,54,,,1,,,145,,,,,,2,,,,,0,1,203,351
Total,,,0,182,0,0,2,0,0,263,0,0,0,0,0,5,0,0,0,0,0,5,457,750
Sección 404 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,50,,,1,,,128,,,,,,2,,,,,0,1,182,308
E1,AC,Urna tradicional,,43,,,0,,,14,,,,,,0,,,,,0,1,58,82
E2,AC,Urna tradicional,,77,,,0,,,71,,,,,,0,,,,,0,3,151,218
Total,,,0,170,0,0,1,0,0,213,0,0,0,0,0,2,0,0,0,0,0,5,391,608
Total municipal,,,0,1263,0,0,8,0,0,1405,0,0,0,0,0,21,0,0,0,0,0,32,2729,4617
