Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 71 - PUREPERO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1590 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,45,55,84,137,28,15,11,,,,,3,,,,,,,0,19,397,601
C1,AC,Urna tradicional,63,61,64,131,21,15,8,,,,,5,,,,,,,0,20,388,601
Total,,,108,116,148,268,49,30,19,0,0,0,0,8,0,0,0,0,0,0,0,39,785,1202
Sección 1591 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,36,46,44,163,33,33,10,,,,,4,,,,,,,0,19,388,720
Total,,,36,46,44,163,33,33,10,0,0,0,0,4,0,0,0,0,0,0,0,19,388,720
Sección 1592 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,48,51,49,167,32,16,15,,,,,6,,,,,,,0,10,394,640
C1,AC,Urna tradicional,46,48,54,144,40,32,14,,,,,9,,,,,,,0,14,401,640
C2,AC,Urna tradicional,50,38,57,164,27,26,19,,,,,13,,,,,,,0,24,418,640
Total,,,144,137,160,475,99,74,48,0,0,0,0,28,0,0,0,0,0,0,0,48,1213,1920
Sección 1593 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,60,21,46,129,13,22,9,,,,,5,,,,,,,0,13,318,524
C1,AC,Urna tradicional,28,42,34,151,31,24,4,,,,,6,,,,,,,0,15,335,524
C2,AC,Urna tradicional,54,20,50,128,18,15,11,,,,,3,,,,,,,0,15,314,524
Total,,,142,83,130,408,62,61,24,0,0,0,0,14,0,0,0,0,0,0,0,43,967,1572
Sección 1594 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,37,72,47,153,20,21,4,,,,,3,,,,,,,1,16,374,552
C1,AC,Urna tradicional,42,50,55,127,11,16,8,,,,,1,,,,,,,0,17,327,552
C2,AC,Urna tradicional,31,53,47,145,10,31,5,,,,,3,,,,,,,0,12,337,553
Total,,,110,175,149,425,41,68,17,0,0,0,0,7,0,0,0,0,0,0,1,45,1038,1657
Sección 1595 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,34,47,51,144,11,35,7,,,,,1,,,,,,,0,14,344,537
C1,AC,Urna tradicional,25,66,40,128,17,18,6,,,,,4,,,,,,,2,11,317,537
Total,,,59,113,91,272,28,53,13,0,0,0,0,5,0,0,0,0,0,0,2,25,661,1074
Sección 1596 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,58,44,59,180,38,22,8,,,,,3,,,,,,,0,14,426,689
C1,AC,Urna tradicional,51,47,56,153,17,27,9,,,,,3,,,,,,,0,26,389,689
Total,,,109,91,115,333,55,49,17,0,0,0,0,6,0,0,0,0,0,0,0,40,815,1378
Sección 1597 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,39,43,32,137,32,18,4,,,,,2,,,,,,,0,16,323,528
C1,AC,Urna tradicional,29,51,42,140,17,21,6,,,,,2,,,,,,,0,7,315,528
C2,AC,Urna tradicional,40,48,39,129,25,31,5,,,,,1,,,,,,,0,14,332,529
Total,,,108,142,113,406,74,70,15,0,0,0,0,5,0,0,0,0,0,0,0,37,970,1585
Sección 1598 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,46,57,70,175,29,22,11,,,,,4,,,,,,,0,12,426,693
C1,AC,Urna tradicional,30,100,93,139,28,24,1,,,,,3,,,,,,,0,17,435,693
Total,,,76,157,163,314,57,46,12,0,0,0,0,7,0,0,0,0,0,0,0,29,861,1386
Sección 1599 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,28,36,33,74,13,3,3,,,,,5,,,,,,,2,13,210,470
Total,,,28,36,33,74,13,3,3,0,0,0,0,5,0,0,0,0,0,0,2,13,210,470
Sección 1600 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,47,27,29,64,54,14,6,,,,,0,,,,,,,0,13,254,473
C1,AC,Urna tradicional,40,21,32,79,43,10,7,,,,,4,,,,,,,0,13,249,473
Total,,,87,48,61,143,97,24,13,0,0,0,0,4,0,0,0,0,0,0,0,26,503,946
Total municipal,,,1007,1144,1207,3281,608,511,191,0,0,0,0,93,0,0,0,0,0,0,5,364,8411,13910
