Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 107 - YURECUARO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 2370 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,67,90,98,24,15,0,1,,,,,0,,2,,,0,,0,5,302,496
C1,AC,Urna tradicional,54,89,92,26,4,0,4,,,,,2,,0,,,0,,0,3,274,497
Total,,,121,179,190,50,19,0,5,0,0,0,0,2,0,2,0,0,0,0,0,8,576,993
Sección 2371 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,56,106,79,22,4,1,1,,,,,1,,1,,,2,,0,5,278,450
C1,AC,Urna tradicional,63,92,93,23,9,0,1,,,,,3,,4,,,1,,0,6,295,451
Total,,,119,198,172,45,13,1,2,0,0,0,0,4,0,5,0,0,3,0,0,11,573,901
Sección 2372 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,32,77,88,11,11,0,2,,,,,2,,2,,,0,,0,6,231,391
C1,AC,Urna tradicional,34,61,99,16,4,0,2,,,,,0,,1,,,0,,0,4,221,391
Total,,,66,138,187,27,15,0,4,0,0,0,0,2,0,3,0,0,0,0,0,10,452,782
Sección 2373 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,122,106,115,42,8,0,0,,,,,0,,0,,,0,,0,9,402,741
C1,AC,Urna tradicional,116,98,131,46,6,2,0,,,,,2,,3,,,0,,0,7,411,741
Total,,,238,204,246,88,14,2,0,0,0,0,0,2,0,3,0,0,0,0,0,16,813,1482
Sección 2374 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,169,62,94,38,3,0,1,,,,,5,,5,,,1,,0,8,386,634
C1,AC,Urna tradicional,174,58,97,36,14,0,0,,,,,3,,2,,,0,,0,7,391,634
Total,,,343,120,191,74,17,0,1,0,0,0,0,8,0,7,0,0,1,0,0,15,777,1268
Sección 2375 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,96,94,140,35,9,1,0,,,,,6,,0,,,0,,3,2,386,724
C1,AC,Urna tradicional,117,120,135,36,3,0,0,,,,,4,,5,,,1,,0,15,436,725
Total,,,213,214,275,71,12,1,0,0,0,0,0,10,0,5,0,0,1,0,3,17,822,1449
Sección 2376 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,52,88,72,12,6,1,0,,,,,2,,4,,,0,,0,2,239,389
C1,AC,Urna tradicional,62,59,82,20,3,1,0,,,,,0,,3,,,0,,0,5,235,389
Total,,,114,147,154,32,9,2,0,0,0,0,0,2,0,7,0,0,0,0,0,7,474,778
Sección 2377 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,82,92,79,15,8,1,2,,,,,6,,3,,,1,,1,5,295,501
C1,AC,Urna tradicional,60,98,111,14,18,1,2,,,,,0,,0,,,0,,0,7,311,502
Total,,,142,190,190,29,26,2,4,0,0,0,0,6,0,3,0,0,1,0,1,12,606,1003
Sección 2378 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,44,91,184,36,5,1,4,,,,,4,,3,,,0,,0,12,384,660
C1,AC,Urna tradicional,60,106,153,50,2,1,1,,,,,1,,2,,,1,,0,11,388,660
Total,,,104,197,337,86,7,2,5,0,0,0,0,5,0,5,0,0,1,0,0,23,772,1320
Sección 2379 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,66,69,155,53,4,0,3,,,,,1,,5,,,0,,0,10,366,688
C1,AC,Urna tradicional,61,73,146,71,10,0,2,,,,,3,,2,,,1,,0,9,378,689
C2,AC,Urna tradicional,58,66,181,54,7,1,3,,,,,2,,2,,,1,,0,7,382,689
Total,,,185,208,482,178,21,1,8,0,0,0,0,6,0,9,0,0,2,0,0,26,1126,2066
Sección 2380 ,,,,,,,,,,,,,,,,,,,,,,,,
