Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 109 - ZAMORA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 2436 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,108,91,50,5,2,2,3,,,,,0,,1,3,,,,0,5,270,571
C1,AC,Urna tradicional,99,109,52,3,1,0,1,,,,,4,,1,2,,,,0,8,280,571
C2,AC,Urna tradicional,107,75,45,6,4,1,6,,,,,2,,0,1,,,,0,6,253,571
Total,,,314,275,147,14,7,3,10,0,0,0,0,6,0,2,6,0,0,0,0,19,803,1713
Sección 2437 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,133,67,37,2,2,2,1,,,,,4,,2,1,,,,1,6,258,536
C1,AC,Urna tradicional,165,70,28,2,1,2,3,,,,,4,,3,0,,,,0,3,281,537
Total,,,298,137,65,4,3,4,4,0,0,0,0,8,0,5,1,0,0,0,1,9,539,1073
Sección 2438 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,135,102,59,7,1,1,1,,,,,0,,0,0,,,,0,11,317,592
C1,AC,Urna tradicional,147,73,50,6,4,0,5,,,,,1,,2,2,,,,0,10,300,592
C2,AC,Urna tradicional,163,88,38,5,0,5,2,,,,,1,,4,2,,,,0,8,316,592
C3,AC,Urna tradicional,137,90,46,2,2,3,2,,,,,1,,4,0,,,,1,8,296,593
Total,,,582,353,193,20,7,9,10,0,0,0,0,3,0,10,4,0,0,0,1,37,1229,2369
Sección 2439 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,85,75,31,2,7,3,1,,,,,0,,1,0,,,,0,9,214,416
C1,AC,Urna tradicional,94,80,39,2,9,2,2,,,,,0,,1,1,,,,0,9,239,416
E1,AC,Urna tradicional,53,29,17,0,0,0,2,,,,,1,,0,0,,,,0,2,104,211
Total,,,232,184,87,4,16,5,5,0,0,0,0,1,0,2,1,0,0,0,0,20,557,1043
Sección 2440 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,139,98,46,3,11,2,2,,,,,0,,1,2,,,,0,9,313,636
C1,AC,Urna tradicional,144,127,57,7,3,2,2,,,,,0,,3,0,,,,0,7,352,636
Total,,,283,225,103,10,14,4,4,0,0,0,0,0,0,4,2,0,0,0,0,16,665,1272
Sección 2441 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,103,83,59,0,0,6,0,,,,,0,,0,0,,,,2,12,265,673
C1,AC,Urna tradicional,109,61,60,7,1,0,2,,,,,4,,0,4,,,,0,12,260,673
C2,AC,Urna tradicional,90,84,45,5,1,1,2,,,,,5,,1,6,,,,0,12,252,673
C3,AC,Urna tradicional,90,84,45,5,1,1,2,,,,,5,,1,6,,,,0,12,252,673
Total,,,392,312,209,17,3,8,6,0,0,0,0,14,0,2,16,0,0,0,2,48,1029,2692
Sección 2442 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,73,123,54,2,3,2,1,,,,,5,,1,3,,,,0,11,278,699
C1,AC,Urna tradicional,69,103,54,0,0,0,0,,,,,0,,0,0,,,,1,19,246,699
C2,AC,Urna tradicional,84,122,33,5,4,1,2,,,,,4,,0,0,,,,0,8,263,700
Total,,,226,348,141,7,7,3,3,0,0,0,0,9,0,1,3,0,0,0,1,38,787,2098
Sección 2443 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,97,80,62,9,0,6,0,,,,,0,,0,0,,,,0,10,264,637
C1,AC,Urna tradicional,102,81,70,0,1,1,6,,,,,0,,0,0,,,,2,9,272,638
C2,AC,Urna tradicional,96,100,90,0,0,2,0,,,,,0,,0,0,,,,0,4,292,638
Total,,,295,261,222,9,1,9,6,0,0,0,0,0,0,0,0,0,0,0,2,23,828,1913
Sección 2444 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,98,102,44,9,2,0,3,,,,,2,,1,4,,,,1,13,279,638
C1,AC,Urna tradicional,103,107,42,7,1,3,0,,,,,0,,0,2,,,,1,6,272,639
Total,,,201,209,86,16,3,3,3,0,0,0,0,2,0,1,6,0,0,0,2,19,551,1277
Sección 2445 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,112,78,47,0,0,0,0,,,,,5,,1,4,,,,0,4,251,457
C1,AC,Urna tradicional,120,93,51,0,2,0,2,,,,,0,,0,0,,,,0,5,273,457
E1,AC,Urna tradicional,105,88,44,5,1,5,2,,,,,0,,0,0,,,,0,12,262,599
E1C1,AC,Urna tradicional,96,96,67,6,2,2,1,,,,,1,,0,0,,,,0,2,273,599
E1C2,AC,Urna tradicional,119,74,43,4,3,2,1,,,,,3,,2,5,,,,0,9,265,599
Total,,,552,429,252,15,8,9,6,0,0,0,0,9,0,3,9,0,0,0,0,32,1324,2711
Sección 2446 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,173,83,33,4,5,2,3,,,,,2,,1,2,,,,1,3,312,506
C1,AC,Urna tradicional,141,82,45,5,5,1,1,,,,,0,,1,0,,,,0,7,288,506
Total,,,314,165,78,9,10,3,4,0,0,0,0,2,0,2,2,0,0,0,1,10,600,1012
Sección 2447 ,,,,,,,,,,,,,,,,,,,,,,,,
