Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 111 - ZINAPECUARO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 2538 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,125,47,38,1,2,3,3,,,,,4,,1,4,,,,0,8,236,503
C1,AC,Urna tradicional,147,66,70,0,0,5,0,,,,,0,,0,0,,,,0,4,292,503
C2,AC,Urna tradicional,144,52,44,2,0,0,13,,,,,7,,1,6,,,,0,7,276,504
Total,,,416,165,152,3,2,8,16,0,0,0,0,11,0,2,10,0,0,0,0,19,804,1510
Sección 2539 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,122,50,45,2,1,7,11,,,,,0,,0,0,,,,0,10,248,442
C1,AC,Urna tradicional,105,58,40,1,2,0,7,,,,,5,,2,7,,,,0,12,239,443
Total,,,227,108,85,3,3,7,18,0,0,0,0,5,0,2,7,0,0,0,0,22,487,885
Sección 2540 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,128,59,113,4,0,4,1,,,,,0,,0,0,,,,0,11,320,568
C1,AC,Urna tradicional,146,66,68,2,1,4,1,,,,,0,,0,8,,,,0,10,306,568
C2,AC,Urna tradicional,137,64,98,5,2,1,7,,,,,6,,0,5,,,,0,10,335,569
Total,,,411,189,279,11,3,9,9,0,0,0,0,6,0,0,13,0,0,0,0,31,961,1705
Sección 2541 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,148,74,41,3,4,4,2,,,,,8,,5,4,,,,0,9,302,577
C1,AC,Urna tradicional,174,63,55,2,1,7,5,,,,,5,,1,2,,,,0,13,328,577
Total,,,322,137,96,5,5,11,7,0,0,0,0,13,0,6,6,0,0,0,0,22,630,1154
Sección 2542 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,156,92,45,4,3,2,4,,,,,3,,0,2,,,,0,14,325,624
C1,AC,Urna tradicional,144,75,36,4,1,3,3,,,,,3,,1,5,,,,0,9,284,625
C2,AC,Urna tradicional,156,58,47,3,2,5,3,,,,,5,,3,6,,,,0,13,301,625
Total,,,456,225,128,11,6,10,10,0,0,0,0,11,0,4,13,0,0,0,0,36,910,1874
Sección 2543 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,149,113,40,0,0,2,0,,,,,6,,3,2,,,,0,6,321,639
C1,AC,Urna tradicional,141,120,39,3,0,8,4,,,,,6,,2,4,,,,0,7,334,639
Total,,,290,233,79,3,0,10,4,0,0,0,0,12,0,5,6,0,0,0,0,13,655,1278
Sección 2544 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,152,124,34,1,1,2,6,,,,,6,,4,3,,,,1,8,342,625
C1,AC,Urna tradicional,148,130,61,2,0,3,4,,,,,5,,4,5,,,,0,7,369,626
Total,,,300,254,95,3,1,5,10,0,0,0,0,11,0,8,8,0,0,0,1,15,711,1251
Sección 2545 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,160,109,52,3,2,6,0,,,,,10,,4,3,,,,1,9,359,624
C1,AC,Urna tradicional,156,90,49,2,2,5,4,,,,,3,,2,2,,,,0,14,329,624
C2,AC,Urna tradicional,162,79,46,0,1,3,3,,,,,6,,2,2,,,,0,7,311,625
Total,,,478,278,147,5,5,14,7,0,0,0,0,19,0,8,7,0,0,0,1,30,999,1873
Sección 2546 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,154,104,50,0,0,7,0,,,,,11,,1,7,,,,0,9,343,597
C1,AC,Urna tradicional,154,107,51,2,4,5,5,,,,,3,,2,6,,,,0,6,345,598
C2,AC,Urna tradicional,170,99,53,8,3,4,4,,,,,9,,2,1,,,,1,7,361,598
Total,,,478,310,154,10,7,16,9,0,0,0,0,23,0,5,14,0,0,0,1,22,1049,1793
Sección 2547 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,130,115,29,2,0,2,0,,,,,7,,3,0,,,,0,13,301,562
C1,AC,Urna tradicional,89,105,59,5,2,0,2,,,,,4,,4,4,,,,0,13,287,562
Total,,,219,220,88,7,2,2,2,0,0,0,0,11,0,7,4,0,0,0,0,26,588,1124
Sección 2548 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,99,127,22,1,2,0,1,,,,,4,,7,3,,,,0,16,282,512
C1,AC,Urna tradicional,78,126,22,3,1,0,1,,,,,3,,7,4,,,,0,11,256,513
Total,,,177,253,44,4,3,0,2,0,0,0,0,7,0,14,7,0,0,0,0,27,538,1025
Sección 2549 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,101,143,43,0,2,4,1,,,,,5,,2,0,,,,0,16,317,538
C1,AC,Urna tradicional,111,124,53,3,0,5,5,,,,,2,,6,0,,,,0,11,320,539
C2,AC,Urna tradicional,130,145,27,0,1,1,1,,,,,3,,2,4,,,,0,9,323,539
Total,,,342,412,123,3,3,10,7,0,0,0,0,10,0,10,4,0,0,0,0,36,960,1616
Sección 2550 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,113,73,64,3,2,0,1,,,,,12,,5,5,,,,2,13,293,584
C1,AC,Urna tradicional,149,72,44,3,0,2,0,,,,,17,,0,7,,,,0,6,300,584
C2,AC,Urna tradicional,129,77,34,5,2,1,1,,,,,14,,3,1,,,,0,19,286,585
C3,AC,Urna tradicional,160,73,30,0,0,0,0,,,,,19,,1,0,,,,0,13,296,585
Total,,,551,295,172,11,4,3,2,0,0,0,0,62,0,9,13,0,0,0,2,51,1175,2338
Sección 2551 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,45,68,37,1,1,2,1,,,,,0,,0,0,,,,0,6,161,388
C1,AC,Urna tradicional,50,52,28,2,0,0,0,,,,,0,,0,0,,,,0,7,139,389
Total,,,95,120,65,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,13,300,777
Sección 2552 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,167,84,30,3,1,1,2,,,,,2,,1,3,,,,0,12,306,692
C1,AC,Urna tradicional,190,83,43,2,0,3,1,,,,,6,,1,4,,,,0,11,344,693
Total,,,357,167,73,5,1,4,3,0,0,0,0,8,0,2,7,0,0,0,0,23,650,1385
Sección 2553 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,107,88,59,4,2,0,0,,,,,0,,2,0,,,,0,19,281,551
C1,AC,Urna tradicional,144,75,60,3,2,0,1,,,,,2,,0,0,,,,0,23,310,551
Total,,,251,163,119,7,4,0,1,0,0,0,0,2,0,2,0,0,0,0,0,42,591,1102
Sección 2554 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,68,81,27,1,0,0,1,,,,,0,,5,11,,,,0,3,197,364
Total,,,68,81,27,1,0,0,1,0,0,0,0,0,0,5,11,0,0,0,0,3,197,364
Sección 2555 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,49,219,45,2,2,9,1,,,,,0,,6,2,,,,0,17,352,634
C1,AC,Urna tradicional,52,224,64,2,5,4,1,,,,,0,,5,4,,,,0,10,371,635
Total,,,101,443,109,4,7,13,2,0,0,0,0,0,0,11,6,0,0,0,0,27,723,1269
Sección 2556 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,80,94,73,1,1,2,0,,,,,0,,0,0,,,,1,10,262,494
C1,AC,Urna tradicional,77,105,68,0,0,2,0,,,,,0,,0,0,,,,0,15,267,494
Total,,,157,199,141,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,25,529,988
Sección 2557 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,71,92,65,1,4,2,0,,,,,1,,0,1,,,,0,13,250,568
C1,AC,Urna tradicional,87,103,89,1,1,1,3,,,,,0,,0,6,,,,0,8,299,568
C2,AC,Urna tradicional,101,114,65,3,4,1,0,,,,,101,,118,69,,,,0,5,581,568
Total,,,259,309,219,5,9,4,3,0,0,0,0,102,0,118,76,0,0,0,0,26,1130,1704
