Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 12 - BUENAVISTA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 190 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,278,,,4,,,108,,,,,,3,,,,,0,7,400,742
C1,AC,Urna tradicional,,256,,,3,,,119,,,,,,3,,,,,0,8,389,742
C2,AC,Urna tradicional,,249,,,6,,,131,,,,,,4,,,,,0,8,398,742
C3,AC,Urna tradicional,,249,,,2,,,137,,,,,,6,,,,,0,7,401,743
Total,,,0,1032,0,0,15,0,0,495,0,0,0,0,0,16,0,0,0,0,0,30,1588,2969
Sección 191 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,216,,,0,,,140,,,,,,0,,,,,0,4,360,684
C1,AC,Urna tradicional,,222,,,2,,,128,,,,,,0,,,,,0,11,363,684
C2,AC,Urna tradicional,,216,,,2,,,147,,,,,,3,,,,,0,6,374,684
C3,AC,Urna tradicional,,258,,,3,,,110,,,,,,3,,,,,1,5,380,685
C4,AC,Urna tradicional,,227,,,1,,,106,,,,,,2,,,,,0,6,342,685
Total,,,0,1139,0,0,8,0,0,631,0,0,0,0,0,8,0,0,0,0,1,32,1819,3422
Sección 192 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,255,,,3,,,126,,,,,,2,,,,,0,8,394,654
C1,AC,Urna tradicional,,289,,,2,,,77,,,,,,0,,,,,0,10,378,654
Total,,,0,544,0,0,5,0,0,203,0,0,0,0,0,2,0,0,0,0,0,18,772,1308
Sección 193 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,260,,,2,,,117,,,,,,5,,,,,0,2,386,738
Total,,,0,260,0,0,2,0,0,117,0,0,0,0,0,5,0,0,0,0,0,2,386,738
Sección 194 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,168,,,4,,,92,,,,,,3,,,,,0,2,269,627
Total,,,0,168,0,0,4,0,0,92,0,0,0,0,0,3,0,0,0,0,0,2,269,627
Sección 195 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,64,,,1,,,90,,,,,,2,,,,,1,4,162,415
C1,AC,Urna tradicional,,85,,,1,,,97,,,,,,1,,,,,1,3,188,416
Total,,,0,149,0,0,2,0,0,187,0,0,0,0,0,3,0,0,0,0,2,7,350,831
Sección 196 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,22,,,2,,,51,,,,,,1,,,,,0,0,76,133
Total,,,0,22,0,0,2,0,0,51,0,0,0,0,0,1,0,0,0,0,0,0,76,133
Sección 197 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,197,,,1,,,29,,,,,,1,,,,,0,7,235,438
Total,,,0,197,0,0,1,0,0,29,0,0,0,0,0,1,0,0,0,0,0,7,235,438
Sección 198 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,160,,,6,,,106,,,,,,5,,,,,0,9,286,565
C1,AC,Urna tradicional,,184,,,0,,,90,,,,,,0,,,,,0,0,274,565
C2,AC,Urna tradicional,,170,,,0,,,94,,,,,,0,,,,,0,9,273,565
Total,,,0,514,0,0,6,0,0,290,0,0,0,0,0,5,0,0,0,0,0,18,833,1695
Sección 199 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,179,,,1,,,74,,,,,,2,,,,,1,6,263,534
C1,AC,Urna tradicional,,175,,,3,,,81,,,,,,5,,,,,1,9,274,535
C2,AC,Urna tradicional,,166,,,0,,,105,,,,,,0,,,,,0,2,273,535
Total,,,0,520,0,0,4,0,0,260,0,0,0,0,0,7,0,0,0,0,2,17,810,1604
Sección 200 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,224,,,5,,,102,,,,,,2,,,,,1,5,339,681
C1,AC,Urna tradicional,,206,,,5,,,102,,,,,,4,,,,,1,7,325,682
C2,AC,Urna tradicional,,212,,,2,,,113,,,,,,6,,,,,0,4,337,682
Total,,,0,642,0,0,12,0,0,317,0,0,0,0,0,12,0,0,0,0,2,16,1001,2045
Sección 201 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,249,,,3,,,93,,,,,,5,,,,,0,4,354,642
C1,AC,Urna tradicional,,230,,,0,,,86,,,,,,0,,,,,1,7,324,643
C2,AC,Urna tradicional,,247,,,4,,,94,,,,,,4,,,,,0,5,354,643
Total,,,0,726,0,0,7,0,0,273,0,0,0,0,0,9,0,0,0,0,1,16,1032,1928
Sección 202 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,225,,,1,,,118,,,,,,2,,,,,0,3,349,616
C1,AC,Urna tradicional,,243,,,0,,,102,,,,,,0,,,,,0,7,352,616
C2,AC,Urna tradicional,,194,,,3,,,84,,,,,,8,,,,,0,5,294,617
Total,,,0,662,0,0,4,0,0,304,0,0,0,0,0,10,0,0,0,0,0,15,995,1849
Sección 203 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,189,,,0,,,95,,,,,,0,,,,,0,10,294,560
C1,AC,Urna tradicional,,186,,,5,,,106,,,,,,5,,,,,0,9,311,560
C2,AC,Urna tradicional,,198,,,3,,,94,,,,,,3,,,,,0,2,300,561
Total,,,0,573,0,0,8,0,0,295,0,0,0,0,0,8,0,0,0,0,0,21,905,1681
Sección 204 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,266,,,3,,,117,,,,,,0,,,,,2,4,392,677
C1,AC,Urna tradicional,,278,,,0,,,73,,,,,,2,,,,,0,7,360,677
C2,AC,Urna tradicional,,279,,,2,,,99,,,,,,6,,,,,0,4,390,678
Total,,,0,823,0,0,5,0,0,289,0,0,0,0,0,8,0,0,0,0,2,15,1142,2032
Sección 205 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,211,,,4,,,89,,,,,,0,,,,,0,8,312,638
C1,AC,Urna tradicional,,220,,,0,,,72,,,,,,0,,,,,0,5,297,638
C2,AC,Urna tradicional,,179,,,3,,,88,,,,,,4,,,,,1,6,281,638
Total,,,0,610,0,0,7,0,0,249,0,0,0,0,0,4,0,0,0,0,1,19,890,1914
Sección 206 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,91,,,3,,,101,,,,,,0,,,,,0,4,199,398
C1,AC,Urna tradicional,,80,,,3,,,121,,,,,,1,,,,,0,6,211,399
Total,,,0,171,0,0,6,0,0,222,0,0,0,0,0,1,0,0,0,0,0,10,410,797
Sección 207 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,193,,,1,,,48,,,,,,5,,,,,0,2,249,449
C1,AC,Urna tradicional,,200,,,3,,,50,,,,,,2,,,,,0,6,261,450
Total,,,0,393,0,0,4,0,0,98,0,0,0,0,0,7,0,0,0,0,0,8,510,899
Sección 208 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,122,,,3,,,165,,,,,,4,,,,,0,17,311,526
C1,AC,Urna tradicional,,112,,,3,,,141,,,,,,4,,,,,0,5,265,527
C2,AC,Urna tradicional,,100,,,6,,,162,,,,,,2,,,,,0,12,282,527
Total,,,0,334,0,0,12,0,0,468,0,0,0,0,0,10,0,0,0,0,0,34,858,1580
Sección 209 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,185,,,5,,,148,,,,,,0,,,,,0,3,341,681
C1,AC,Urna tradicional,,204,,,0,,,150,,,,,,1,,,,,0,2,357,681
C2,AC,Urna tradicional,,161,,,3,,,162,,,,,,2,,,,,1,8,337,682
Total,,,0,550,0,0,8,0,0,460,0,0,0,0,0,3,0,0,0,0,1,13,1035,2044
Sección 210 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,133,,,7,,,134,,,,,,3,,,,,0,10,287,708
Total,,,0,133,0,0,7,0,0,134,0,0,0,0,0,3,0,0,0,0,0,10,287,708
Sección 211 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,85,,,2,,,129,,,,,,0,,,,,0,6,222,486
C1,AC,Urna tradicional,,107,,,4,,,120,,,,,,0,,,,,0,6,237,486
Total,,,0,192,0,0,6,0,0,249,0,0,0,0,0,0,0,0,0,0,0,12,459,972
Sección 212 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,160,,,0,,,106,,,,,,0,,,,,0,2,268,431
Total,,,0,160,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,2,268,431
Total municipal,,,0,10514,0,0,135,0,0,5819,0,0,0,0,0,126,0,0,0,0,12,324,16930,32645
