Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 46 - JOSE SIXTO VERDUZCO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 756 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,155,26,224,11,0,0,2,,,,,4,,1,,,2,,0,16,441,648
C1,AC,Urna tradicional,178,23,178,25,0,0,3,,,,,5,,0,,,2,,0,10,424,649
Total,,,333,49,402,36,0,0,5,0,0,0,0,9,0,1,0,0,4,0,0,26,865,1297
Sección 757 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,116,32,103,11,1,0,1,,,,,1,,1,,,1,,0,6,273,422
C1,AC,Urna tradicional,105,17,104,17,0,0,0,,,,,2,,0,,,0,,0,5,250,423
Total,,,221,49,207,28,1,0,1,0,0,0,0,3,0,1,0,0,1,0,0,11,523,845
Sección 758 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,190,29,218,7,0,1,3,,,,,0,,1,,,2,,0,16,467,741
C1,AC,Urna tradicional,158,29,236,19,1,2,3,,,,,0,,1,,,0,,0,10,459,741
C2,AC,Urna tradicional,183,35,229,18,1,0,1,,,,,0,,1,,,3,,0,9,480,741
Total,,,531,93,683,44,2,3,7,0,0,0,0,0,0,3,0,0,5,0,0,35,1406,2223
Sección 759 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,122,13,133,15,1,0,2,,,,,0,,1,,,2,,0,5,294,488
C1,AC,Urna tradicional,119,18,161,12,0,0,0,,,,,0,,0,,,0,,0,11,321,488
E1,AC,Urna tradicional,67,25,59,30,1,0,2,,,,,0,,0,,,1,,0,6,191,321
Total,,,308,56,353,57,2,0,4,0,0,0,0,0,0,1,0,0,3,0,0,22,806,1297
Sección 760 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,146,20,162,13,2,2,0,,,,,0,,0,,,0,,0,8,353,612
C1,AC,Urna tradicional,119,17,159,30,0,0,1,,,,,2,,0,,,1,,0,12,341,613
C2,AC,Urna tradicional,117,20,151,23,0,1,0,,,,,0,,0,,,0,,0,24,336,613
E1,AC,Urna tradicional,100,53,63,29,0,0,1,,,,,0,,3,,,2,,0,8,259,399
Total,,,482,110,535,95,2,3,2,0,0,0,0,2,0,3,0,0,3,0,0,52,1289,2237
Sección 761 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,86,10,121,197,1,1,4,,,,,3,,0,,,0,,0,13,436,711
C1,AC,Urna tradicional,101,3,110,212,0,1,2,,,,,4,,2,,,2,,0,11,448,711
Total,,,187,13,231,409,1,2,6,0,0,0,0,7,0,2,0,0,2,0,0,24,884,1422
Sección 762 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,39,17,128,211,1,3,1,,,,,1,,0,,,0,,0,16,417,726
C1,AC,Urna tradicional,60,6,118,225,2,0,1,,,,,1,,0,,,1,,0,15,429,726
Total,,,99,23,246,436,3,3,2,0,0,0,0,2,0,0,0,0,1,0,0,31,846,1452
Sección 763 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,79,66,94,4,0,0,1,,,,,0,,0,,,0,,0,3,247,477
C1,AC,Urna tradicional,75,71,110,8,0,1,1,,,,,0,,0,,,1,,0,11,278,477
Total,,,154,137,204,12,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,14,525,954
Sección 764 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,85,66,192,5,0,1,0,,,,,1,,1,,,2,,0,4,357,672
C1,AC,Urna tradicional,93,71,187,4,4,0,0,,,,,1,,1,,,0,,0,14,375,672
E1,AC,Urna tradicional,42,58,139,5,0,5,0,,,,,0,,0,,,1,,0,6,256,462
Total,,,220,195,518,14,4,6,0,0,0,0,0,2,0,2,0,0,3,0,0,24,988,1806
Sección 765 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,84,73,157,29,1,2,2,,,,,0,,0,,,0,,0,12,360,605
C1,AC,Urna tradicional,92,51,157,56,1,1,0,,,,,0,,0,,,0,,0,18,376,606
Total,,,176,124,314,85,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,30,736,1211
Sección 766 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,142,30,145,45,0,0,6,,,,,0,,0,,,0,,0,9,377,737
C1,AC,Urna tradicional,96,30,188,50,1,0,2,,,,,1,,1,,,0,,0,13,382,737
Total,,,238,60,333,95,1,0,8,0,0,0,0,1,0,1,0,0,0,0,0,22,759,1474
Sección 767 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,24,27,67,20,1,0,0,,,,,0,,0,,,2,,1,7,149,279
Total,,,24,27,67,20,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,149,279
Sección 768 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,53,31,175,26,0,0,12,,,,,0,,0,,,0,,0,5,302,544
