Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 85 - TANGAMANDAPIO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1898 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,72,42,28,3,6,137,2,,,,,1,,1,3,,,,0,11,306,502
C1,AC,Urna tradicional,84,51,34,2,11,118,2,,,,,1,,0,2,,,,0,8,313,502
Total,,,156,93,62,5,17,255,4,0,0,0,0,2,0,1,5,0,0,0,0,19,619,1004
Sección 1899 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,89,135,76,0,7,127,1,,,,,0,,1,3,,,,0,10,449,741
C1,AC,Urna tradicional,163,105,50,3,11,118,2,,,,,3,,2,5,,,,1,12,475,741
Total,,,252,240,126,3,18,245,3,0,0,0,0,3,0,3,8,0,0,0,1,22,924,1482
Sección 1900 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,143,123,36,1,10,128,11,,,,,1,,0,1,,,,0,9,463,699
C1,AC,Urna tradicional,159,120,45,2,10,109,3,,,,,1,,1,3,,,,1,12,466,699
C2,AC,Urna tradicional,129,111,46,0,6,133,3,,,,,2,,1,1,,,,1,9,442,699
Total,,,431,354,127,3,26,370,17,0,0,0,0,4,0,2,5,0,0,0,2,30,1371,2097
Sección 1901 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,108,72,57,2,7,100,0,,,,,1,,4,3,,,,0,13,367,539
C1,AC,Urna tradicional,94,74,41,3,8,94,1,,,,,1,,2,2,,,,0,11,331,539
E1,AC,Urna tradicional,39,68,23,1,8,13,0,,,,,0,,0,1,,,,0,6,159,220
Total,,,241,214,121,6,23,207,1,0,0,0,0,2,0,6,6,0,0,0,0,30,857,1298
Sección 1902 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,122,59,37,3,18,118,0,,,,,0,,2,0,,,,2,10,371,612
C1,AC,Urna tradicional,140,59,36,2,10,98,0,,,,,1,,0,1,,,,0,10,357,612
Total,,,262,118,73,5,28,216,0,0,0,0,0,1,0,2,1,0,0,0,2,20,728,1224
Sección 1903 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,170,70,93,3,12,117,2,,,,,3,,1,7,,,,0,14,492,700
C1,AC,Urna tradicional,181,55,69,5,7,108,1,,,,,2,,0,7,,,,0,12,447,700
Total,,,351,125,162,8,19,225,3,0,0,0,0,5,0,1,14,0,0,0,0,26,939,1400
Sección 1904 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,34,48,66,3,7,75,2,,,,,0,,3,2,,,,0,13,253,454
C1,AC,Urna tradicional,24,35,66,2,10,112,0,,,,,0,,3,0,,,,0,15,267,454
E1,AC,Urna tradicional,62,64,81,5,2,65,1,,,,,1,,0,4,,,,0,0,285,517
Total,,,120,147,213,10,19,252,3,0,0,0,0,1,0,6,6,0,0,0,0,28,805,1425
Sección 1905 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,40,77,105,3,8,132,1,,,,,0,,4,2,,,,1,14,387,633
C1,AC,Urna tradicional,31,79,94,5,16,113,1,,,,,0,,0,3,,,,2,13,357,633
C2,AC,Urna tradicional,42,50,124,4,5,134,1,,,,,1,,0,3,,,,0,12,376,633
Total,,,113,206,323,12,29,379,3,0,0,0,0,1,0,4,8,0,0,0,3,39,1120,1899
Sección 1906 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,145,61,34,5,28,21,1,,,,,0,,3,1,,,,0,6,305,643
C1,AC,Urna tradicional,129,65,42,2,44,17,1,,,,,1,,8,2,,,,0,7,318,643
Total,,,274,126,76,7,72,38,2,0,0,0,0,1,0,11,3,0,0,0,0,13,623,1286
Sección 1907 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,68,73,30,4,60,8,1,,,,,1,,7,0,,,,1,9,262,517
C1,AC,Urna tradicional,63,82,29,7,58,9,0,,,,,0,,8,1,,,,0,10,267,518
C2,AC,Urna tradicional,58,87,23,1,73,15,0,,,,,0,,3,0,,,,0,10,270,518
Total,,,189,242,82,12,191,32,1,0,0,0,0,1,0,18,1,0,0,0,1,29,799,1553
Sección 1908 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,61,75,61,1,39,18,0,,,,,1,,7,1,,,,0,7,271,542
C1,AC,Urna tradicional,50,66,54,0,57,19,0,,,,,0,,5,2,,,,2,6,261,542
C2,AC,Urna tradicional,67,69,46,0,56,18,0,,,,,0,,7,0,,,,0,13,276,542
Total,,,178,210,161,1,152,55,0,0,0,0,0,1,0,19,3,0,0,0,2,26,808,1626
Sección 1909 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,41,60,47,4,29,13,1,,,,,0,,4,3,,,,0,6,208,559
C1,AC,Urna tradicional,49,76,50,6,48,15,0,,,,,0,,3,0,,,,0,5,252,560
C2,AC,Urna tradicional,57,99,51,3,34,13,0,,,,,1,,4,1,,,,0,8,271,560
E1,AC,Urna tradicional,79,41,57,1,33,31,0,,,,,0,,5,0,,,,0,5,252,386
Total,,,226,276,205,14,144,72,1,0,0,0,0,1,0,16,4,0,0,0,0,24,983,2065
Sección 1910 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,173,79,23,0,3,64,1,,,,,3,,0,0,,,,0,11,357,617
E1,AC,Urna tradicional,133,30,78,3,21,238,2,,,,,2,,1,2,,,,0,15,525,749
Total,,,306,109,101,3,24,302,3,0,0,0,0,5,0,1,2,0,0,0,0,26,882,1366
Sección 1911 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,70,25,89,1,28,27,0,,,,,0,,1,7,,,,0,10,258,562
C1,AC,Urna tradicional,45,25,116,3,21,41,0,,,,,0,,2,9,,,,1,7,270,563
