Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 87 - TANHUATO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1939 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,201,93,62,18,2,6,1,,,,,3,,0,,,,,0,10,396,679
C1,AC,Urna tradicional,194,93,55,23,0,11,1,,,,,5,,0,,,,,0,11,393,679
C2,AC,Urna tradicional,173,99,68,19,0,9,7,,,,,3,,2,,,,,0,2,382,680
Total,,,568,285,185,60,2,26,9,0,0,0,0,11,0,2,0,0,0,0,0,23,1171,2038
Sección 1940 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,176,50,68,15,0,10,0,,,,,0,,0,,,,,0,23,342,553
E1,AC,Urna tradicional,48,14,32,3,0,8,0,,,,,0,,0,,,,,0,0,105,160
Total,,,224,64,100,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,23,447,713
Sección 1941 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,213,24,51,8,0,6,1,,,,,2,,2,,,,,0,10,317,535
C1,AC,Urna tradicional,179,25,49,2,0,7,1,,,,,0,,0,,,,,0,3,266,535
Total,,,392,49,100,10,0,13,2,0,0,0,0,2,0,2,0,0,0,0,0,13,583,1070
Sección 1942 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,190,45,53,11,0,12,0,,,,,2,,1,,,,,0,8,322,504
C1,AC,Urna tradicional,162,52,44,11,0,12,3,,,,,2,,0,,,,,0,7,293,505
C2,AC,Urna tradicional,150,49,50,13,1,18,3,,,,,1,,0,,,,,0,5,290,505
Total,,,502,146,147,35,1,42,6,0,0,0,0,5,0,1,0,0,0,0,0,20,905,1514
Sección 1943 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,145,45,48,16,0,11,3,,,,,4,,0,,,,,0,7,279,490
C1,AC,Urna tradicional,177,42,33,14,0,11,5,,,,,2,,0,,,,,0,6,290,490
Total,,,322,87,81,30,0,22,8,0,0,0,0,6,0,0,0,0,0,0,0,13,569,980
Sección 1944 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,42,177,39,4,0,4,3,,,,,0,,0,,,,,0,3,272,380
C1,AC,Urna tradicional,41,148,65,4,1,5,12,,,,,0,,0,,,,,0,10,286,380
E1,AC,Urna tradicional,57,94,76,12,0,32,0,,,,,1,,0,,,,,0,7,279,491
Total,,,140,419,180,20,1,41,15,0,0,0,0,1,0,0,0,0,0,0,0,20,837,1251
Sección 1945 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,49,75,127,10,3,68,0,,,,,2,,1,,,,,0,3,338,614
C1,AC,Urna tradicional,65,86,132,3,1,53,1,,,,,2,,0,,,,,0,4,347,615
Total,,,114,161,259,13,4,121,1,0,0,0,0,4,0,1,0,0,0,0,0,7,685,1229
Sección 1946 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,47,29,36,6,1,71,1,,,,,1,,0,,,,,0,8,200,377
C1,AC,Urna tradicional,54,22,33,6,0,67,1,,,,,1,,0,,,,,0,7,191,377
E1,AC,Urna tradicional,81,16,13,2,0,20,2,,,,,0,,0,,,,,0,5,139,254
Total,,,182,67,82,14,1,158,4,0,0,0,0,2,0,0,0,0,0,0,0,20,530,1008
Sección 1947 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,27,7,293,2,0,12,5,,,,,0,,0,,,,,0,13,359,527
C1,AC,Urna tradicional,20,20,276,1,0,3,3,,,,,0,,0,,,,,0,8,331,527
Total,,,47,27,569,3,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0,21,690,1054
Sección 1948 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,90,40,64,13,3,110,0,,,,,0,,0,,,,,0,18,338,749
Total,,,90,40,64,13,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,18,338,749
Sección 1949 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,66,42,50,3,3,7,0,,,,,0,,0,,,,,0,4,175,591
Total,,,66,42,50,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,175,591
Total municipal,,,2647,1387,1817,219,15,573,53,0,0,0,0,31,0,6,0,0,0,0,0,182,6930,12197
