Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 90 - TEPALCATEPEC,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1979 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,86,136,,,0,,0,72,,,,0,,0,,,,,0,15,309,595
C1,AC,Urna tradicional,100,134,,,0,,3,80,,,,8,,5,,,,,0,13,343,595
C2,AC,Urna tradicional,101,140,,,1,,0,50,,,,5,,2,,,,,0,9,308,595
Total,,,287,410,0,0,1,0,3,202,0,0,0,13,0,7,0,0,0,0,0,37,960,1785
Sección 1980 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,73,135,,,3,,0,101,,,,1,,8,,,,,1,8,330,652
Total,,,73,135,0,0,3,0,0,101,0,0,0,1,0,8,0,0,0,0,1,8,330,652
Sección 1981 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,101,79,,,0,,5,112,,,,0,,0,,,,,0,7,304,583
C1,AC,Urna tradicional,87,92,,,0,,0,130,,,,0,,0,,,,,0,9,318,584
C2,AC,Urna tradicional,94,98,,,1,,3,103,,,,8,,2,,,,,0,10,319,584
Total,,,282,269,0,0,1,0,8,345,0,0,0,8,0,2,0,0,0,0,0,26,941,1751
Sección 1982 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,110,129,,,0,,1,85,,,,0,,0,,,,,0,4,329,592
C1,AC,Urna tradicional,85,123,,,1,,1,98,,,,3,,1,,,,,0,4,316,593
C2,AC,Urna tradicional,89,97,,,1,,1,97,,,,1,,1,,,,,0,4,291,593
Total,,,284,349,0,0,2,0,3,280,0,0,0,4,0,2,0,0,0,0,0,12,936,1778
Sección 1983 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,112,132,,,1,,4,108,,,,0,,0,,,,,0,16,373,656
C1,AC,Urna tradicional,86,166,,,0,,0,109,,,,0,,0,,,,,0,11,372,657
Total,,,198,298,0,0,1,0,4,217,0,0,0,0,0,0,0,0,0,0,0,27,745,1313
Sección 1984 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,104,87,,,0,,0,121,,,,0,,0,,,,,0,13,325,595
C1,AC,Urna tradicional,104,96,,,3,,2,104,,,,11,,3,,,,,0,9,332,596
Total,,,208,183,0,0,3,0,2,225,0,0,0,11,0,3,0,0,0,0,0,22,657,1191
Sección 1985 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,102,107,,,0,,0,58,,,,2,,4,,,,,0,7,280,566
C1,AC,Urna tradicional,82,133,,,2,,2,75,,,,0,,0,,,,,0,11,305,566
C2,AC,Urna tradicional,83,98,,,1,,1,59,,,,7,,3,,,,,0,2,254,566
Total,,,267,338,0,0,3,0,3,192,0,0,0,9,0,7,0,0,0,0,0,20,839,1698
Sección 1986 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,88,119,,,0,,0,141,,,,0,,0,,,,,0,8,356,699
C1,AC,Urna tradicional,94,97,,,0,,0,144,,,,0,,0,,,,,0,12,347,699
C2,AC,Urna tradicional,86,112,,,2,,1,141,,,,0,,2,,,,,0,14,358,699
Total,,,268,328,0,0,2,0,1,426,0,0,0,0,0,2,0,0,0,0,0,34,1061,2097
Sección 1987 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,92,110,,,1,,2,55,,,,11,,3,,,,,0,5,279,535
