Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 11 - BRISE¿AS,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 184 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,18,271,38,32,0,9,0,,,,,0,,0,,5,,,0,9,382,615
C1,AC,Urna tradicional,44,244,43,29,2,7,2,,,,,0,,5,,6,,,0,4,386,616
Total,,,62,515,81,61,2,16,2,0,0,0,0,0,0,5,0,11,0,0,0,13,768,1231
Sección 185 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,15,233,37,73,1,11,1,,,,,1,,5,,13,,,1,10,401,643
C1,AC,Urna tradicional,39,235,47,65,0,14,0,,,,,0,,0,,0,,,0,9,409,643
C2,AC,Urna tradicional,41,233,67,58,0,9,0,,,,,2,,0,,16,,,0,9,435,644
Total,,,95,701,151,196,1,34,1,0,0,0,0,3,0,5,0,29,0,0,1,28,1245,1930
Sección 186 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,34,77,53,47,0,3,0,,,,,0,,1,,10,,,0,3,228,402
C1,AC,Urna tradicional,41,70,68,61,2,5,0,,,,,0,,1,,19,,,1,4,272,402
Total,,,75,147,121,108,2,8,0,0,0,0,0,0,0,2,0,29,0,0,1,7,500,804
Sección 187 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,19,71,40,89,0,0,0,,,,,1,,1,,10,,,0,6,237,385
C1,AC,Urna tradicional,29,60,57,74,0,6,0,,,,,0,,0,,10,,,0,8,244,385
Total,,,48,131,97,163,0,6,0,0,0,0,0,1,0,1,0,20,0,0,0,14,481,770
Sección 188 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,23,164,88,40,0,13,0,,,,,0,,0,,13,,,0,6,347,565
C1,AC,Urna tradicional,32,165,89,47,1,5,1,,,,,0,,1,,11,,,0,6,358,565
C2,AC,Urna tradicional,50,150,81,48,1,4,1,,,,,0,,0,,12,,,0,6,353,565
Total,,,105,479,258,135,2,22,2,0,0,0,0,0,0,1,0,36,0,0,0,18,1058,1695
Sección 189 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,22,177,75,55,1,3,1,,,,,1,,1,,8,,,1,8,353,627
C1,AC,Urna tradicional,49,157,64,45,2,2,1,,,,,0,,0,,9,,,1,10,340,628
Total,,,71,334,139,100,3,5,2,0,0,0,0,1,0,1,0,17,0,0,2,18,693,1255
Total municipal,,,456,2307,847,763,10,91,7,0,0,0,0,5,0,15,0,142,0,0,4,98,4745,7685
