Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 22 - CHARO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 346 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,124,95,,,5,,0,236,,,,4,,5,,,,,0,6,475,645
C1,AC,Urna tradicional,124,147,,,2,,0,149,,,,3,,7,,,,,0,12,444,645
C2,AC,Urna tradicional,93,110,,,5,,1,214,,,,0,,2,,,,,0,7,432,645
C3,AC,Urna tradicional,105,158,,,1,,0,156,,,,0,,3,,,,,0,11,434,645
Total,,,446,510,0,0,13,0,1,755,0,0,0,7,0,17,0,0,0,0,0,36,1785,2580
Sección 347 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,78,139,,,1,,0,215,,,,0,,2,,,,,0,15,450,684
C1,AC,Urna tradicional,59,94,,,3,,1,254,,,,3,,8,,,,,0,13,435,684
C2,AC,Urna tradicional,88,120,,,3,,0,221,,,,1,,0,,,,,0,8,441,685
C3,AC,Urna tradicional,87,125,,,0,,0,240,,,,1,,7,,,,,0,12,472,685
Total,,,312,478,0,0,7,0,1,930,0,0,0,5,0,17,0,0,0,0,0,48,1798,2738
Sección 348 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,117,127,,,1,,0,196,,,,5,,10,,,,,0,16,472,746
