Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 23 - CHAVINDA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 361 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,110,40,14,4,21,9,0,,,,,3,,,0,,,,0,5,206,452
C1,AC,Urna tradicional,88,78,11,0,29,11,0,,,,,0,,,0,,,,0,13,230,453
Total,,,198,118,25,4,50,20,0,0,0,0,0,3,0,0,0,0,0,0,0,18,436,905
Sección 362 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,93,82,16,0,20,19,3,,,,,2,,,0,,,,0,3,238,462
C1,AC,Urna tradicional,90,89,16,0,11,10,0,,,,,1,,,0,,,,0,3,220,462
Total,,,183,171,32,0,31,29,3,0,0,0,0,3,0,0,0,0,0,0,0,6,458,924
Sección 363 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,64,72,20,1,27,9,1,,,,,2,,,0,,,,0,11,207,397
C1,AC,Urna tradicional,46,83,10,1,43,12,1,,,,,1,,,1,,,,0,10,208,398
Total,,,110,155,30,2,70,21,2,0,0,0,0,3,0,0,1,0,0,0,0,21,415,795
Sección 364 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,88,108,25,1,84,37,7,,,,,2,,,0,,,,0,10,362,677
E1,AC,Urna tradicional,105,36,36,2,11,22,1,,,,,2,,,0,,,,0,6,221,424
Total,,,193,144,61,3,95,59,8,0,0,0,0,4,0,0,0,0,0,0,0,16,583,1101
Sección 365 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,73,51,32,0,30,23,7,,,,,2,,,1,,,,0,11,230,444
C1,AC,Urna tradicional,73,61,32,0,25,24,6,,,,,1,,,0,,,,0,12,234,444
Total,,,146,112,64,0,55,47,13,0,0,0,0,3,0,0,1,0,0,0,0,23,464,888
Sección 366 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,131,118,25,2,37,35,1,,,,,1,,,0,,,,0,11,361,705
Total,,,131,118,25,2,37,35,1,0,0,0,0,1,0,0,0,0,0,0,0,11,361,705
Sección 367 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,53,49,5,1,27,15,1,,,,,2,,,0,,,,0,12,165,384
C1,AC,Urna tradicional,68,63,4,0,22,18,2,,,,,3,,,0,,,,0,5,185,384
Total,,,121,112,9,1,49,33,3,0,0,0,0,5,0,0,0,0,0,0,0,17,350,768
Sección 368 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,104,156,28,2,37,33,1,,,,,2,,,1,,,,1,13,378,711
Total,,,104,156,28,2,37,33,1,0,0,0,0,2,0,0,1,0,0,0,1,13,378,711
Sección 369 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,42,88,58,1,25,13,0,,,,,42,,,59,,,,1,6,335,532
C1,AC,Urna tradicional,41,114,31,0,12,19,1,,,,,1,,,1,,,,0,9,229,533
E1,AC,Urna tradicional,38,17,31,1,6,4,0,,,,,41,,,33,,,,0,10,181,370
E2,AC,Urna tradicional,14,28,38,0,14,21,0,,,,,1,,,3,,,,0,7,126,230
Total,,,135,247,158,2,57,57,1,0,0,0,0,85,0,0,96,0,0,0,1,32,871,1665
Sección 370 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,109,112,25,1,4,42,0,,,,,0,,,0,,,,0,9,302,736
Total,,,109,112,25,1,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,9,302,736
Sección 371 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,103,42,44,1,25,95,0,,,,,3,,,1,,,,0,10,324,615
C1,AC,Urna tradicional,113,70,32,0,39,81,0,,,,,2,,,0,,,,0,14,351,615
Total,,,216,112,76,1,64,176,0,0,0,0,0,5,0,0,1,0,0,0,0,24,675,1230
Total municipal,,,1646,1557,533,18,549,552,32,0,0,0,0,114,0,0,100,0,0,0,2,190,5293,10428
