Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 75 - REGULES,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1675 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,10,177,,,0,,1,108,,,,0,,0,,,,,0,8,304,479
C1,AC,Urna tradicional,10,180,,,2,,3,106,,,,0,,5,,,,,0,5,311,479
Total,,,20,357,0,0,2,0,4,214,0,0,0,0,0,5,0,0,0,0,0,13,615,958
Sección 1676 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,10,167,,,1,,0,81,,,,0,,2,,,,,0,7,268,435
C1,AC,Urna tradicional,8,156,,,1,,0,95,,,,0,,1,,,,,0,3,264,435
Total,,,18,323,0,0,2,0,0,176,0,0,0,0,0,3,0,0,0,0,0,10,532,870
Sección 1677 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,10,224,,,0,,0,196,,,,0,,0,,,,,0,8,438,715
Total,,,10,224,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,8,438,715
Sección 1678 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,14,121,,,0,,0,138,,,,0,,0,,,,,0,12,285,441
C1,AC,Urna tradicional,1,134,,,2,,3,129,,,,0,,0,,,,,0,2,271,442
Total,,,15,255,0,0,2,0,3,267,0,0,0,0,0,0,0,0,0,0,0,14,556,883
Sección 1679 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,3,127,,,1,,0,203,,,,0,,1,,,,,0,8,343,495
C1,AC,Urna tradicional,6,117,,,0,,1,213,,,,1,,0,,,,,0,4,342,495
E1,AC,Urna tradicional,0,23,,,0,,1,85,,,,0,,0,,,,,0,3,112,153
E2,AC,Urna tradicional,5,20,,,0,,0,77,,,,0,,0,,,,,0,4,106,144
Total,,,14,287,0,0,1,0,2,578,0,0,0,1,0,1,0,0,0,0,0,19,903,1287
Sección 1680 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,10,159,,,0,,0,279,,,,0,,0,,,,,0,14,462,710
C1,AC,Urna tradicional,10,177,,,0,,2,252,,,,0,,0,,,,,0,10,451,710
Total,,,20,336,0,0,0,0,2,531,0,0,0,0,0,0,0,0,0,0,0,24,913,1420
Sección 1681 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,2,58,,,0,,1,174,,,,3,,58,,,,,0,10,306,523
C1,AC,Urna tradicional,4,80,,,1,,0,149,,,,0,,0,,,,,0,5,239,524
Total,,,6,138,0,0,1,0,1,323,0,0,0,3,0,58,0,0,0,0,0,15,545,1047
Sección 1682 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,3,120,,,0,,0,91,,,,0,,0,,,,,0,1,215,328
E1,AC,Urna tradicional,4,180,,,0,,0,110,,,,0,,0,,,,,0,3,297,456
Total,,,7,300,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,4,512,784
Sección 1683 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,8,63,,,0,,0,210,,,,0,,0,,,,,0,5,286,550
C1,AC,Urna tradicional,5,78,,,1,,1,229,,,,0,,1,,,,,0,10,325,551
Total,,,13,141,0,0,1,0,1,439,0,0,0,0,0,1,0,0,0,0,0,15,611,1101
Total municipal,,,123,2361,0,0,9,0,13,2925,0,0,0,4,0,68,0,0,0,0,0,122,5625,9065
