SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,coal_prd_pri,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
24,B1,0,7,9,3,5,81,100,0,37,60,77,1,0,0,0,0,1,1,2,0,0,3,0,0,0,14,401,638
24,C1,0,4,1,7,7,106,90,1,36,1,90,1,0,0,0,0,1,1,3,3,1,3,0,0,0,12,368,637
24,C2,0,6,3,3,2,74,92,1,43,21,79,0,0,1,0,0,3,3,2,0,0,6,1,1,0,18,359,637
25,B1,2,0,2,6,1,105,89,1,9,0,80,0,1,1,0,1,0,0,1,2,0,13,1,0,0,8,323,521
25,C1,1,0,2,5,2,91,117,0,14,1,65,0,0,0,0,0,1,1,0,3,0,9,1,0,0,7,320,521
26,B1,0,2,7,22,3,113,117,1,28,1,112,0,0,0,0,0,5,0,1,0,0,6,0,0,1,9,428,710
26,C1,0,5,10,13,2,110,121,0,29,4,68,0,0,1,0,3,0,2,5,1,0,7,0,0,0,10,391,710
26,C2,0,5,3,6,5,103,113,1,29,1,88,1,0,0,0,0,2,1,3,0,0,8,0,1,0,11,381,709
26,C3,0,4,3,13,2,96,126,0,24,3,78,1,1,0,0,0,3,2,5,0,0,8,1,0,0,11,381,709
27,B1,0,4,13,13,0,108,126,0,22,1,72,0,0,0,0,0,5,1,0,0,0,8,1,0,0,10,384,618
27,C1,0,1,16,5,0,131,126,0,28,3,53,1,1,0,0,0,5,1,2,1,1,9,0,0,0,9,393,617
28,B1,1,2,2,4,2,102,126,0,11,1,51,0,2,2,0,5,2,1,3,1,0,12,0,0,0,14,344,583
28,C1,0,0,5,6,1,109,122,0,20,1,57,0,1,0,0,0,2,2,1,0,0,11,0,0,0,5,343,582
29,B1,2,2,7,6,2,86,92,0,23,0,64,1,0,0,0,1,2,0,9,0,0,8,0,0,0,5,310,577
29,C1,1,4,6,6,2,70,95,0,28,0,52,0,1,1,0,0,1,0,22,0,0,16,0,1,0,9,315,577
29,C2,0,5,9,3,2,72,105,0,23,2,63,1,0,1,0,0,1,0,7,0,0,15,0,1,0,7,317,576
29,C3,0,4,14,5,3,78,140,0,25,1,35,1,0,0,1,0,6,1,11,1,0,9,1,0,0,9,345,576
30,B1,0,1,0,6,2,111,78,1,25,2,52,1,0,1,0,1,6,0,0,0,0,15,0,0,0,4,306,505
30,C1,0,5,1,5,0,80,104,2,39,1,57,1,1,0,0,0,3,0,2,1,0,15,0,0,0,5,322,505
30,C2,0,1,2,5,2,84,91,0,44,2,56,0,0,0,0,0,6,0,3,0,0,12,0,0,0,7,315,505
31,B1,1,3,3,2,0,104,145,0,32,1,85,1,0,1,0,0,6,6,1,1,0,3,1,0,0,5,401,687
31,C1,0,4,0,4,3,140,129,0,33,2,84,0,0,0,0,0,4,2,1,1,0,4,0,0,0,8,419,687
31,C2,1,1,4,3,1,120,133,0,39,0,72,2,0,0,0,3,3,4,3,0,0,5,1,0,0,17,412,686
32,B1,1,4,6,13,5,91,117,2,42,1,36,1,0,0,0,2,7,1,9,0,0,10,0,1,0,10,359,615
32,C1,0,3,3,16,4,97,107,1,47,2,32,0,0,1,0,0,5,1,1,0,0,6,0,0,0,12,338,615
33,B1,1,9,4,34,32,56,84,1,15,0,5,0,25,3,0,4,4,7,2,0,0,98,0,1,0,7,392,569
33,C1,0,3,3,32,26,83,90,2,9,0,14,1,11,0,0,0,6,12,0,0,0,67,0,0,0,2,361,568
33,C2,0,4,7,18,40,51,100,0,19,0,18,0,3,0,0,1,7,3,3,0,0,87,0,0,0,15,376,568
34,B1,0,2,9,26,10,14,34,0,8,1,21,0,0,0,0,0,2,0,0,0,0,52,0,11,0,1,191,262
35,B1,0,0,1,17,93,6,24,2,16,1,5,1,0,1,0,0,0,3,0,1,0,246,0,0,0,7,424,663
35,C1,0,0,1,9,116,3,13,5,11,0,4,0,0,1,0,1,0,0,0,0,0,263,0,0,0,2,429,662
36,B1,0,0,1,20,114,5,34,2,7,1,7,1,0,0,0,0,0,5,1,0,0,210,0,0,0,8,416,588
36,C1,0,1,0,20,90,7,24,2,4,0,7,0,0,0,0,1,4,0,0,2,0,195,0,0,0,3,360,588
37,B1,0,0,1,21,109,7,18,0,11,1,5,0,0,0,0,0,0,0,0,1,0,185,1,0,0,2,362,589
37,C1,1,2,3,25,106,10,12,1,14,1,3,0,0,1,0,0,1,0,0,0,0,186,0,0,0,2,368,588
38,B1,0,11,3,52,16,65,81,2,30,0,31,1,2,0,1,1,1,1,22,1,1,19,0,0,0,10,351,623
38,C1,1,7,10,58,16,47,70,1,27,2,29,2,1,0,0,1,0,5,24,0,0,16,0,0,0,12,329,623
38,C2,2,3,5,39,26,56,67,1,28,3,20,1,2,0,0,1,2,0,20,2,0,19,0,0,0,8,305,623
39,B1,1,7,4,36,32,79,79,2,33,2,24,0,0,0,0,0,0,5,8,0,0,19,0,0,0,10,341,610
39,C1,0,7,5,53,28,69,72,0,25,1,14,0,4,0,0,0,1,8,14,0,0,21,0,1,0,6,329,610
40,B1,1,1,0,84,3,61,63,0,5,1,9,0,0,0,0,0,2,0,6,0,0,35,1,0,0,7,279,479
40,C1,2,0,1,77,1,69,64,0,1,0,5,2,0,1,0,0,1,0,11,0,0,62,0,0,0,4,301,479
41,B1,0,1,0,88,3,63,58,1,2,1,12,0,1,0,0,0,0,0,22,1,0,43,0,0,0,6,302,492
41,C1,3,0,0,101,1,63,81,1,3,0,6,0,0,0,0,0,0,0,21,0,0,38,0,0,0,4,322,492
42,B1,0,3,2,7,1,35,147,0,1,0,14,0,0,0,0,0,0,0,15,0,0,16,0,1,0,1,243,347
43,B1,0,5,1,4,2,31,144,0,1,0,31,0,0,0,0,0,0,0,8,0,0,15,0,0,0,5,247,399
43,C1,1,1,2,8,1,45,110,0,3,0,37,1,1,0,0,0,0,0,7,0,0,21,0,0,0,3,241,399
Totales,,23,144,194,1009,924,3387,4270,34,1003,127,1979,24,58,17,2,26,111,80,281,23,3,2134,10,19,1,361,16244,27124
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,O,T,A,C,I,Ó,N,,P,O,R,,C,A,N,D,I,D,A,T,O,,,,,,
,,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,coal_prd_pri,no_registrados,num_votos_nulos,Tot.Votos,
,,23,,,1009,924,3387,4270,34,1003,127,1979,24,58,17,2,26,111,80,281,23,3,2134,10,357,1,361,16244,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,O,T,A,C,I,Ó,N,,P,O,R,,P,A,R,T,I,D,O,S,,,,,,,
,,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,,no_registrados,num_votos_nulos,Tot.Votos,
,,23,153,204,1009,924,3387,4270,34,1003,127,1979,24,58,17,2,26,111,80,281,23,3,2134,10,,1,361,16244,
,,0.14%,0.94%,1.26%,6.21%,5.69%,20.85%,26.29%,0.21%,6.17%,0.78%,12.18%,0.15%,0.36%,0.10%,0.01%,0.16%,0.68%,0.49%,1.73%,0.14%,0.02%,13.14%,0.06%,,0.01%,2.22%,100%,
