SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,cc_pan_humanista,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
97,B1,25,14,5,5,6,114,82,38,3,6,36,6,4,0,3,5,10,0,0,0,0,2,0,2,0,15,381,738
97,C1,17,21,8,3,5,79,81,43,5,8,66,1,0,0,1,4,12,0,0,0,0,0,1,1,0,10,366,738
97,C2,28,23,9,1,9,77,83,28,6,7,37,2,0,1,3,5,9,1,1,1,1,1,1,0,0,12,346,738
97,C3,21,17,2,3,5,77,94,27,7,7,33,2,2,1,5,3,18,1,0,0,0,0,2,1,0,12,340,738
97,C4,25,18,4,4,3,132,63,32,2,5,30,5,6,0,0,6,10,2,0,0,0,0,2,0,0,5,354,738
97,C5,32,11,6,1,6,90,72,52,5,17,50,1,0,0,4,8,4,0,1,0,0,2,1,1,0,12,376,738
98,B1,81,11,1,2,56,12,82,7,11,1,13,0,0,1,3,5,7,0,7,0,1,14,0,0,0,5,320,551
98,C1,31,18,5,6,4,43,79,58,6,7,49,3,1,1,1,0,16,0,0,2,0,1,1,0,0,9,341,551
99,B1,27,13,5,6,6,110,93,34,6,14,48,0,5,0,5,1,12,0,2,1,2,1,1,0,0,6,398,715
99,C1,40,14,4,3,6,100,84,34,2,20,49,7,2,0,1,1,14,0,1,0,2,0,0,0,0,5,389,715
99,C2,30,9,4,11,18,130,80,35,5,22,64,1,2,0,0,1,6,0,0,0,0,0,0,0,0,16,434,715
100,B1,19,13,2,4,4,103,100,47,2,16,57,4,1,0,2,1,4,0,0,0,0,0,0,0,0,9,388,704
100,C1,22,21,2,4,4,83,67,29,1,13,63,2,0,0,2,0,7,0,1,0,1,1,1,1,0,5,330,704
100,C2,16,10,3,3,8,85,70,26,2,11,36,3,0,0,2,0,4,0,1,0,0,0,0,0,0,9,289,704
100,C3,22,11,3,2,3,72,79,32,3,16,43,0,2,0,2,0,13,1,1,1,0,1,6,0,0,5,318,703
101,B1,34,29,4,5,5,63,76,60,0,13,27,9,1,0,2,1,7,0,0,3,0,1,0,1,0,14,355,586
101,C1,37,16,5,6,9,61,68,49,3,14,46,2,1,0,0,1,7,2,0,0,1,1,0,0,0,11,340,585
102,B1,32,18,1,6,6,56,93,23,5,13,32,2,0,1,1,0,1,1,1,0,0,1,1,1,0,6,301,676
102,C1,35,15,8,5,8,51,109,16,3,7,32,1,1,0,4,0,5,1,0,0,0,1,0,0,0,15,317,675
102,C2,30,16,5,3,8,50,86,19,2,11,20,7,2,0,1,1,10,0,2,0,2,2,2,0,0,11,290,675
102,C3,30,12,2,6,5,30,76,25,3,12,29,1,3,0,2,1,4,2,1,1,1,0,0,0,0,12,258,675
102,C4,34,19,4,3,5,46,102,22,2,13,36,3,1,0,2,0,5,0,0,0,1,0,3,1,0,11,313,675
102,C5,29,18,5,10,5,46,81,27,5,7,29,3,1,0,3,0,5,0,1,0,0,0,0,2,0,12,289,675
102,S1,3,3,3,0,0,5,10,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,0
103,B1,65,14,3,4,6,66,94,36,4,12,43,6,2,0,0,0,9,1,0,0,5,1,1,0,0,5,377,694
103,C1,48,29,4,2,6,45,96,40,6,15,52,4,3,0,1,0,4,2,3,2,1,2,0,0,0,10,375,694
104,B1,33,20,1,0,12,51,39,21,0,8,19,6,0,0,1,2,9,1,1,0,1,0,5,1,1,8,240,433
104,C1,33,17,2,1,7,46,46,16,1,6,21,8,0,0,2,1,5,1,0,0,2,0,3,0,0,6,224,432
105,B1,31,18,4,4,6,39,45,37,6,7,41,4,3,0,0,1,11,0,0,0,0,3,0,0,0,7,267,609
106,B1,46,25,9,3,4,42,64,20,4,5,14,6,1,0,3,0,15,1,1,0,0,1,3,2,2,9,280,581
106,C1,52,23,11,4,5,39,68,24,5,4,20,9,1,0,0,15,0,0,1,0,2,0,3,0,0,8,294,581
107,B1,33,25,12,6,7,32,51,35,6,8,25,3,0,0,1,2,10,1,0,0,2,1,1,0,0,6,267,544
107,C1,32,29,7,4,5,39,64,21,3,5,22,4,3,0,2,0,16,0,0,0,0,1,1,0,0,9,267,544
108,B1,23,19,7,10,9,33,69,25,6,11,28,3,2,1,2,0,10,0,1,0,1,1,0,1,0,18,280,588
108,C1,9,21,6,7,6,28,72,26,4,6,19,0,2,0,2,2,8,1,3,1,2,0,2,0,0,5,232,587
108,C2,19,26,15,4,11,27,84,21,3,11,17,0,0,0,0,0,13,0,1,0,2,7,0,0,0,0,261,587
109,B1,19,22,9,3,8,22,102,21,4,6,30,2,2,0,3,0,5,0,1,0,0,1,2,0,1,17,280,748
109,C1,32,23,7,9,10,39,94,23,6,8,25,0,2,1,1,4,8,1,1,0,0,0,2,0,0,8,304,747
109,C2,25,23,6,6,6,37,99,18,3,6,22,2,3,0,3,1,4,1,3,0,1,0,0,3,0,11,283,747
109,C3,25,22,5,7,8,44,94,17,2,7,27,2,2,0,4,3,3,0,0,1,1,0,1,0,0,14,289,747
109,C4,28,23,4,4,13,17,96,18,2,4,27,4,5,1,4,0,5,1,1,0,0,2,0,1,0,14,274,747
110,B1,20,24,9,11,3,30,78,31,6,5,26,6,4,0,1,0,4,0,1,1,3,2,0,0,0,7,272,613
110,C1,15,14,8,7,5,38,93,36,6,12,15,1,3,0,1,1,8,1,2,0,0,2,0,0,0,14,282,612
110,C2,22,12,9,16,5,50,91,23,4,11,17,3,3,0,1,0,7,1,1,0,0,0,0,0,0,6,282,612
111,B1,17,30,5,5,10,38,91,49,4,9,35,4,1,1,1,3,11,3,0,1,1,3,2,0,0,7,331,718
111,C1,25,27,9,4,8,49,114,26,7,7,35,4,2,1,4,1,6,4,3,0,0,2,1,0,0,11,350,718
111,C2,24,26,5,4,7,36,101,39,6,11,32,3,1,0,2,0,7,1,2,0,2,2,1,0,0,9,321,717
112,B1,16,20,9,1,3,43,52,29,8,4,27,4,2,1,4,0,11,0,0,1,0,0,2,0,0,13,250,553
112,C1,21,17,5,3,5,27,68,26,11,6,23,8,0,0,5,0,4,0,1,0,0,0,2,0,0,6,238,553
112,C2,28,32,4,2,2,36,76,33,9,8,16,5,0,0,0,0,5,0,4,0,0,1,4,0,0,10,275,553
113,B1,38,25,10,1,4,25,71,23,4,5,18,9,4,0,5,2,7,4,0,1,1,1,0,1,0,14,273,709
113,C1,33,14,9,4,7,27,75,22,2,6,22,9,2,0,7,0,5,1,0,0,1,0,5,4,0,14,269,709
113,C2,46,22,16,4,5,40,80,14,1,2,26,7,1,0,6,3,3,4,0,1,0,0,2,1,0,13,297,709
113,C3,48,12,28,2,3,20,75,21,2,9,9,3,4,0,4,1,8,0,0,1,1,1,3,3,0,11,269,708
113,C4,56,23,12,2,5,21,90,32,2,6,16,8,0,1,2,0,13,2,0,0,0,2,0,1,1,9,304,708
113,C5,51,15,11,2,4,21,92,25,5,5,21,8,1,0,6,0,5,0,1,1,0,0,0,2,1,13,290,708
114,B1,50,19,6,3,6,39,54,22,11,17,27,5,0,0,4,1,4,1,1,0,1,1,1,5,0,8,286,608
114,C1,40,14,6,2,2,52,49,31,11,9,16,1,3,0,0,0,4,2,8,0,0,0,1,0,0,4,255,607
114,C2,25,16,7,1,3,31,63,29,7,8,22,3,2,0,2,1,4,1,2,1,0,2,0,4,0,11,245,607
114,C3,38,33,8,5,4,31,65,19,12,12,23,5,2,0,5,0,3,2,0,0,0,1,2,1,1,5,277,607
114,C4,57,14,4,0,7,32,66,20,11,11,15,2,3,0,2,1,6,6,2,0,1,0,1,2,0,18,281,607
115,B1,25,16,7,2,11,44,95,30,7,6,32,6,1,0,2,0,11,0,0,0,0,1,0,0,0,9,305,658
115,C1,21,19,12,4,4,45,68,32,8,8,22,7,2,1,3,1,9,0,0,0,0,1,0,0,0,7,274,657
116,B1,28,26,12,8,5,53,102,22,6,14,33,1,3,1,3,1,11,3,2,1,3,1,3,0,0,8,350,669
116,C1,21,23,5,3,3,31,95,28,5,11,24,4,2,0,1,2,17,1,1,1,3,3,10,0,1,10,305,668
117,B1,20,19,5,0,5,42,76,24,3,8,27,2,1,1,4,0,10,0,4,0,1,0,0,0,0,5,257,536
117,C1,19,27,6,4,6,55,53,23,3,5,34,2,4,1,1,0,6,0,4,0,1,2,0,0,0,5,261,535
118,B1,22,14,8,0,9,32,67,33,5,2,28,2,0,1,2,0,13,2,0,1,3,0,1,0,2,6,253,510
118,C1,23,14,2,2,3,39,55,35,7,11,17,5,0,0,3,3,9,1,3,1,2,1,0,0,1,3,240,509
118,C2,28,19,5,1,3,53,60,43,4,1,19,5,3,0,0,1,8,1,0,0,2,0,0,0,1,3,260,509
119,B1,28,16,8,3,4,57,66,29,6,10,31,3,2,1,5,1,10,1,2,0,7,1,0,0,0,6,297,620
119,C1,29,20,6,4,1,69,63,26,5,4,33,5,0,0,3,0,15,0,0,0,0,0,3,0,0,8,294,620
120,B1,29,21,8,3,12,36,78,26,5,14,30,10,4,0,6,0,19,2,3,2,0,4,0,0,0,15,327,669
120,C1,21,21,2,1,21,39,89,41,6,10,40,7,6,1,4,2,20,1,1,2,1,4,1,0,0,17,358,669
121,B1,11,18,5,0,12,11,60,22,2,4,13,1,2,0,2,1,7,0,1,0,0,0,1,0,0,12,185,388
121,C1,11,9,5,2,6,12,64,14,3,8,13,6,0,0,0,3,8,1,1,1,0,2,0,1,0,10,180,387
122,B1,15,18,2,3,9,38,91,22,2,5,23,3,3,0,3,0,16,2,5,0,0,1,3,0,0,3,267,525
122,C1,13,12,3,2,5,27,90,24,4,5,19,6,1,0,5,1,12,0,1,0,0,2,1,0,0,10,243,524
123,B1,28,12,4,11,8,39,88,30,12,13,22,10,6,0,3,1,21,5,3,0,1,1,2,0,1,11,332,623
123,C1,21,15,3,5,9,36,60,30,0,6,37,6,1,0,0,0,22,1,0,1,1,3,3,1,1,11,273,623
123,C2,22,28,3,0,14,39,86,28,4,11,20,4,2,0,4,1,24,1,4,0,0,0,1,0,0,16,312,623
124,B1,27,30,10,2,22,36,48,40,4,6,22,2,2,1,5,0,5,2,1,0,1,0,1,3,0,26,296,575
124,C1,28,25,8,5,13,33,80,28,0,6,20,3,2,0,0,2,16,2,1,2,1,0,0,0,0,16,291,575
125,B1,25,14,8,1,9,40,68,34,1,6,31,5,0,1,4,0,6,3,2,0,1,3,1,0,0,16,279,619
125,C1,18,19,5,2,3,36,88,32,2,8,33,2,2,0,1,1,7,6,0,0,2,2,1,0,0,5,275,618
125,C2,28,24,8,1,13,51,80,34,0,7,23,6,0,0,3,0,11,2,0,0,0,1,0,0,0,10,302,618
125,C3,21,17,5,2,7,53,87,41,3,3,21,4,2,1,2,0,10,1,2,0,0,3,3,0,0,9,297,618
125,C4,21,12,2,0,9,51,68,37,3,4,21,5,1,1,2,0,9,0,1,0,2,1,6,0,0,10,266,618
126,B1,44,24,9,2,16,31,75,20,3,5,34,10,3,2,1,1,9,0,2,2,1,1,1,3,0,17,316,626
126,C1,34,28,10,2,9,25,32,18,3,5,31,10,2,0,4,1,12,2,0,0,3,0,0,0,0,12,243,625
126,C2,37,25,8,3,9,35,62,30,5,6,32,12,3,0,3,1,9,1,1,0,2,5,2,0,0,10,301,625
126,C3,13,26,3,0,42,11,78,14,5,12,15,19,1,2,1,0,17,2,0,6,2,1,1,0,0,31,302,625
127,B1,31,25,5,4,13,31,67,28,4,4,27,7,3,0,4,1,1,0,0,0,1,0,1,0,0,12,269,508
