SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
501,B1,2,14,2,1,2,2,251,1,7,3,8,3,8,74,28,1,5,2,0,0,0,0,0,0,8,422,738
501,C1,2,3,2,1,0,1,253,0,3,0,21,5,5,48,38,1,6,4,0,2,0,0,0,0,6,401,738
501,C2,5,6,2,3,0,1,248,0,4,1,22,4,4,62,41,1,5,2,2,0,0,0,0,0,8,421,738
502,B1,1,11,1,4,3,0,162,0,2,0,12,5,3,75,33,1,0,4,0,0,0,0,0,0,4,321,556
502,C1,2,7,0,10,3,1,196,1,2,0,19,6,2,47,25,0,0,2,1,0,0,1,0,1,9,335,555
503,B1,3,4,1,1,1,0,139,2,0,1,17,4,10,60,24,0,3,0,0,0,0,0,0,0,4,274,386
504,B1,3,9,1,8,2,2,211,0,4,2,14,6,5,51,47,2,1,2,1,0,0,0,0,0,11,382,710
504,C1,2,7,1,6,2,2,199,2,5,0,17,2,7,84,35,3,1,2,0,1,0,1,0,0,6,385,710
504,C2,4,3,1,4,2,0,229,2,6,0,17,2,7,76,44,1,1,2,0,0,0,0,0,0,3,404,709
505,B1,3,5,2,2,2,2,166,0,4,0,14,4,5,62,16,0,0,0,0,1,0,0,0,0,9,297,536
505,C1,1,9,0,3,3,0,162,1,7,1,5,8,8,54,41,2,2,1,1,0,0,1,0,0,11,321,536
505,C2,1,6,1,0,2,0,202,1,3,1,9,3,1,56,21,0,0,1,0,1,0,0,0,0,5,314,536
506,B1,5,8,2,4,2,0,219,0,2,0,20,9,7,59,57,0,1,1,0,0,0,0,0,1,8,405,650
506,S1,1,0,1,1,0,0,49,2,2,1,1,1,0,7,10,1,1,1,0,2,0,0,0,0,5,86,0
507,B1,7,18,0,4,3,1,258,0,0,0,19,19,4,45,35,2,6,0,1,5,0,1,0,0,6,434,675
508,B1,2,14,1,3,0,1,143,0,1,0,24,3,1,42,25,0,1,2,1,0,0,1,0,0,5,270,450
508,C1,4,10,1,1,0,1,142,1,2,1,12,4,3,23,30,0,0,6,0,2,0,0,0,0,8,251,450
509,B1,4,1,0,0,0,0,46,0,0,0,7,5,0,8,13,0,0,0,0,1,0,0,0,0,0,85,114
510,B1,5,11,0,2,0,0,248,0,3,0,10,5,5,82,36,0,2,0,0,0,0,3,0,0,5,417,741
510,C1,5,1,0,2,0,2,250,2,3,1,4,4,4,89,27,1,1,1,1,3,0,1,0,0,5,407,741
511,B1,8,14,0,0,0,0,211,1,4,0,7,9,6,31,34,0,0,3,1,0,0,2,0,0,4,335,579
511,C1,6,14,1,3,1,1,241,0,5,0,13,7,8,32,21,0,1,7,0,2,0,1,0,0,5,369,578
512,B1,4,5,4,5,1,2,220,3,6,1,11,1,8,68,23,1,3,3,0,0,0,0,0,0,7,376,674
513,B1,5,9,1,6,0,0,221,0,5,0,24,6,6,48,29,0,2,2,0,1,0,1,0,0,2,368,666
513,C1,5,5,3,1,0,0,222,0,5,1,9,4,5,53,34,0,0,0,1,0,0,1,0,0,11,360,665
514,B1,3,6,0,1,3,1,158,0,3,1,8,0,14,36,16,0,1,2,0,0,0,0,0,0,4,257,426
514,C1,3,21,1,3,45,2,68,0,2,2,22,16,0,40,4,1,1,1,0,0,0,1,1,0,17,251,425
515,B1,3,17,0,1,2,0,248,1,1,0,12,5,13,26,50,0,2,1,2,0,0,0,0,2,3,389,664
516,B1,1,4,4,2,3,1,187,2,3,1,13,1,4,70,38,0,1,1,0,0,0,0,0,1,7,344,610
516,C1,2,6,0,5,1,2,233,1,0,0,4,5,4,59,33,0,0,1,0,0,1,2,0,1,7,367,609
516,C2,2,9,3,2,1,2,229,2,4,1,11,3,6,69,24,0,2,1,0,0,0,0,0,0,8,379,609
517,B1,0,2,0,3,0,0,111,0,7,0,4,6,3,32,7,0,0,0,0,1,0,0,0,0,1,177,271
518,B1,7,10,1,1,2,1,188,4,4,1,6,3,6,59,27,1,2,0,1,3,0,0,0,0,13,340,682
518,C1,5,6,1,5,5,1,224,3,7,0,2,2,2,64,24,0,1,1,0,2,0,0,0,0,4,359,682
519,B1,14,23,1,2,1,1,187,1,5,0,10,6,0,61,28,0,0,1,0,1,0,1,0,0,9,352,668
519,C1,4,18,2,2,5,2,211,4,7,1,15,3,2,56,28,0,3,0,0,1,0,0,0,0,2,366,668
520,B1,8,4,1,3,2,5,190,2,7,5,11,3,3,36,43,1,0,1,0,0,0,0,0,0,12,337,634
520,C1,9,9,5,4,3,0,192,0,5,4,1,5,2,26,44,0,3,2,0,0,0,2,0,0,11,327,633
521,B1,1,3,0,2,3,1,163,0,4,1,8,7,10,49,12,0,0,0,0,0,0,0,0,0,6,270,498
