SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,coal_prd_pri,cc_morena_na_es,config_cc_morena_na,config_cc_morena_es,config_cc_na_es,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
695,B1,1,0,0,6,3,119,68,89,70,0,1,39,50,44,1,0,0,3,1,0,0,0,0,0,4,1,5,1,1,12,519,660
695,C1,2,1,0,16,4,122,61,95,52,0,1,40,42,42,10,0,1,2,2,0,0,0,0,0,6,0,4,0,0,10,513,660
695,C2,1,0,1,3,4,127,48,140,64,0,2,24,40,48,0,0,0,4,1,0,0,0,0,0,6,0,1,1,0,7,522,660
695,C3,1,0,0,5,3,137,79,127,38,0,2,22,34,47,1,0,0,7,0,0,0,0,0,0,8,2,7,1,0,3,524,659
696,B1,0,0,1,15,0,151,65,97,72,0,1,22,28,44,6,0,0,10,0,1,0,0,0,0,9,4,5,3,0,10,544,739
696,C1,3,1,1,10,3,193,56,109,51,0,0,20,37,35,7,0,0,9,0,3,0,0,0,0,7,1,2,0,0,8,556,739
696,C2,2,1,0,7,1,160,58,123,39,0,0,31,36,47,1,0,0,8,0,4,0,0,0,0,10,1,3,0,0,8,540,738
697,B1,0,1,0,12,3,126,57,60,43,0,1,50,32,45,1,1,0,13,3,0,0,0,0,0,15,1,1,2,0,3,470,634
697,C1,0,2,0,11,2,121,43,45,78,0,0,46,39,33,2,0,0,11,0,2,0,0,0,0,11,4,2,1,0,6,459,634
697,C2,0,1,0,7,2,150,48,59,44,0,0,51,29,28,2,0,0,17,1,0,0,0,0,1,12,3,1,1,0,2,459,634
697,C3,1,0,0,12,6,124,51,69,69,0,0,37,31,40,4,2,0,7,2,2,0,0,0,0,10,0,2,0,1,5,475,634
697,C4,0,1,0,12,4,144,41,38,39,2,0,25,44,33,0,0,0,22,1,0,0,0,0,0,11,4,3,1,0,6,431,633
697,C5,4,0,0,8,3,129,51,57,75,0,0,48,27,41,1,0,0,6,0,2,0,0,0,0,4,0,0,0,0,7,463,633
698,B1,3,3,0,5,3,139,33,79,149,0,7,9,54,26,1,0,0,4,0,0,0,0,0,0,4,1,2,2,0,12,536,645
698,C1,1,3,2,4,6,117,55,97,130,0,0,10,39,27,0,0,0,0,3,0,0,0,0,0,3,0,2,0,0,9,508,644
Totales,,19,14,5,133,47,2059,814,1284,1013,2,15,474,562,580,37,3,1,123,14,14,0,0,0,1,120,22,40,13,2,108,7519,9946
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,O,T,A,C,I,Ó,N,,P,O,R,,C,A,N,D,I,D,A,T,O,,,,,,,,,,
,,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,coal_prd_pri,cc_morena_na_es,,,,no_registrados,num_votos_nulos,Tot.Votos,
,,19,,,133,47,2059,,1284,1013,2,15,474,,,37,3,1,123,14,14,0,0,0,20,2151,,,,2,108,7519,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,O,T,A,C,I,Ó,N,,P,O,R,,P,A,R,T,I,D,O,S,,,,,,,,,,,
,,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,,,,,,no_registrados,num_votos_nulos,Tot.Votos,
,,19,15,5,133,47,2059,885,1284,1013,2,15,474,619,647,37,3,1,123,14,14,0,0,0,,,,,,2,108,7519,
,,0.25%,0.20%,0.07%,1.77%,0.63%,27.38%,11.77%,17.08%,13.47%,0.03%,0.20%,6.30%,8.23%,8.60%,0.49%,0.04%,0.01%,1.64%,0.19%,0.19%,0.00%,0.00%,0.00%,,,,,,0.03%,1.44%,100%,
