SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,cc_pan_humanista,coal_prd_pri,cand_ind_pedro_antonio_montenegro_morgado,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
760,B1,3,4,1,2,0,4,59,1,18,4,0,0,0,1,17,18,120,7,34,0,154,0,0,0,0,87,0,2,536,691
760,C1,0,1,0,1,1,2,73,0,21,9,0,0,0,1,6,12,146,10,23,0,119,0,0,0,1,129,1,2,558,690
761,B1,8,0,3,2,0,2,49,0,21,1,0,0,0,0,21,7,86,9,30,0,95,1,0,0,0,101,0,7,443,593
761,C1,5,2,4,4,0,3,63,1,16,4,0,0,0,0,9,6,105,4,24,0,104,0,1,0,0,102,0,3,460,593
761,C2,2,4,2,0,0,5,65,0,18,4,0,0,0,0,9,14,103,17,22,0,98,1,0,0,0,106,0,3,473,593
761,C3,3,2,1,0,0,0,69,1,25,1,0,0,1,0,5,15,86,5,30,0,119,0,1,0,0,100,0,3,467,593
762,B1,1,0,2,4,1,0,60,0,14,1,0,0,1,0,13,8,63,16,17,0,126,0,0,0,1,100,1,4,433,614
762,C1,1,3,2,4,0,0,68,0,12,5,0,0,0,0,9,5,75,11,26,0,114,0,0,0,2,94,0,2,433,614
762,C2,3,0,5,6,0,2,85,1,12,1,0,0,0,0,19,8,78,7,14,0,125,0,0,0,0,93,0,3,462,613
763,B1,1,3,0,2,1,5,46,4,9,0,0,0,0,0,8,3,68,5,44,0,172,0,0,0,0,79,0,10,460,596
763,C1,0,3,2,1,2,1,44,0,4,2,2,0,0,0,8,6,81,7,42,0,152,0,0,0,0,109,0,7,473,596
764,B1,4,3,3,1,0,7,53,1,10,26,0,1,0,1,59,4,48,2,51,0,62,1,0,0,0,92,0,11,440,566
764,C1,1,2,3,1,2,1,66,3,4,34,1,2,0,0,59,2,20,10,37,0,91,0,0,1,1,96,0,8,445,566
765,B1,3,0,0,11,1,1,93,0,23,24,0,2,1,0,16,24,54,8,20,1,96,0,0,0,1,142,0,9,530,732
766,B1,3,2,5,11,4,10,65,0,17,24,0,1,1,0,21,1,73,0,13,0,70,0,0,0,0,65,0,5,391,573
766,C1,2,4,9,2,0,1,57,3,12,11,0,1,0,1,12,1,80,8,6,0,71,0,0,0,2,100,0,5,388,573
766,C2,4,8,7,6,0,6,61,1,16,21,0,1,1,1,11,3,48,6,7,0,89,0,0,0,0,83,0,3,383,573
767,B1,7,5,4,8,0,4,65,3,18,5,0,0,2,0,28,13,64,7,14,0,78,0,1,0,1,50,0,14,391,627
767,C1,1,6,2,7,3,1,80,0,5,5,0,1,1,0,20,11,76,6,14,0,71,0,0,0,0,34,0,9,353,626
767,C2,8,3,0,6,2,0,74,0,13,3,0,1,1,1,34,9,63,11,9,0,83,1,1,0,0,49,0,9,381,626
768,B1,3,3,7,2,3,6,52,7,10,4,0,0,2,0,26,7,61,6,4,0,46,1,0,0,0,58,0,10,318,580
768,C1,0,5,2,3,2,2,49,1,9,2,0,1,1,2,26,2,56,4,16,0,50,0,0,0,0,80,0,11,324,580
768,C2,5,3,2,2,1,2,36,2,8,8,1,1,0,0,36,4,73,8,19,0,29,0,1,0,0,54,0,8,303,579
768,C3,2,4,2,4,0,3,51,0,14,4,0,1,1,2,34,3,82,4,23,0,34,0,0,0,0,48,0,18,334,579
Totales,,70,70,68,90,23,68,1483,29,329,203,4,13,13,10,506,186,1809,178,539,1,2248,5,5,1,9,2051,2,166,10179,14566
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,O,T,A,C,I,Ó,N,,P,O,R,,C,A,N,D,I,D,A,T,O,,,,,,,,
,,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,cc_pan_humanista,coal_prd_pri,cand_ind_pedro_antonio_montenegro_morgado,no_registrados,num_votos_nulos,Tot.Votos,
,,,,,90,23,68,1483,29,329,203,4,,13,10,506,186,1809,178,539,1,2248,5,5,84,147,2051,2,166,10179,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,V,O,T,A,C,I,Ó,N,,P,O,R,,P,A,R,T,I,D,O,S,,,,,,,,,
,,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,,,cand_ind_pedro_antonio_montenegro_morgado,no_registrados,num_votos_nulos,Tot.Votos,
,,71,75,72,90,23,68,1483,29,329,203,4,13,13,10,506,186,1809,178,539,1,2248,5,5,,,2051,2,166,10179,
,,0.70%,0.74%,0.71%,0.88%,0.23%,0.67%,14.57%,0.28%,3.23%,1.99%,0.04%,0.13%,0.13%,0.10%,4.97%,1.83%,17.77%,1.75%,5.30%,0.01%,22.08%,0.05%,0.05%,,,20.15%,0.02%,1.63%,100%,
