SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
776,B1,3,58,6,2,13,0,100,1,4,3,3,0,0,0,47,13,0,1,0,0,0,1,0,0,11,266,651
776,C1,5,60,7,2,17,5,79,1,1,0,2,3,1,0,70,12,0,0,1,1,0,0,0,0,18,285,650
776,C2,3,52,6,0,18,4,97,0,0,1,0,1,1,0,78,11,0,0,0,1,0,2,0,0,6,281,650
777,B1,1,64,0,0,12,14,107,1,1,2,0,1,1,0,62,1,0,0,1,0,0,0,1,0,8,277,672
777,C1,1,61,4,1,17,8,75,2,1,2,0,0,0,1,52,4,2,0,0,1,0,0,1,0,13,246,672
777,C2,8,67,5,2,17,8,101,2,1,3,1,1,0,1,42,3,0,1,2,1,1,0,1,0,16,284,671
777,C3,3,61,6,2,24,13,106,0,2,1,1,2,0,0,49,4,0,1,0,0,0,0,1,0,8,284,671
777,C4,8,72,1,1,23,7,98,0,4,3,1,0,1,1,33,9,0,0,1,1,0,0,0,0,12,276,671
777,C5,5,74,3,1,14,10,96,0,3,0,2,2,0,1,51,3,0,1,3,2,0,0,0,0,11,282,671
777,C6,2,60,3,1,23,8,98,3,2,0,0,1,1,0,59,5,0,0,1,1,0,0,0,0,10,278,671
778,B1,9,84,9,3,22,8,72,0,0,0,2,0,1,0,54,5,0,2,4,0,0,0,0,0,9,284,620
778,C1,7,73,9,3,31,18,76,1,0,2,0,0,0,1,49,4,0,0,7,1,0,0,1,1,7,291,619
778,C2,13,93,13,2,26,10,66,1,0,1,0,1,0,1,38,3,0,0,7,4,0,0,1,0,9,289,619
778,E1,5,74,0,3,11,8,56,0,1,1,0,0,0,0,24,13,0,0,0,0,0,1,0,0,9,206,569
779,B1,6,116,4,1,48,5,78,0,2,0,2,1,0,0,52,1,0,1,52,1,0,0,0,0,9,379,705
779,C1,1,145,5,3,42,5,80,0,1,0,4,1,0,0,53,0,0,0,41,0,0,1,0,0,11,393,704
780,B1,4,76,10,1,43,2,71,2,1,0,3,0,0,0,60,2,0,0,16,0,0,0,2,0,3,296,507
780,C1,2,73,2,1,53,3,78,0,1,0,0,1,0,0,48,8,0,1,16,4,0,0,0,0,5,296,507
780,C2,1,89,3,0,60,1,63,0,0,0,1,0,1,1,66,2,0,1,11,3,0,0,1,0,8,312,506
781,B1,9,117,2,0,38,4,110,0,0,0,3,0,0,0,102,8,0,0,9,0,0,0,0,0,6,408,614
781,C1,9,107,3,2,36,2,88,2,0,0,7,0,0,2,90,2,0,0,9,0,0,0,0,0,8,367,614
781,C2,6,102,4,1,35,1,112,0,3,2,3,1,0,0,94,3,0,0,20,2,0,0,0,0,5,394,614
782,B1,11,112,2,1,53,4,126,0,1,1,1,0,2,1,106,2,0,0,7,1,0,0,1,0,7,439,649
782,C1,8,135,3,0,38,2,121,0,1,1,1,1,0,0,82,2,0,0,11,1,0,0,0,0,8,415,649
782,S1,4,7,0,0,10,1,28,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,2,70,0
784,B1,0,72,5,0,17,8,79,0,0,2,0,0,0,1,61,6,0,0,1,2,0,0,1,0,11,266,656
784,C1,2,81,9,1,22,8,74,1,0,1,2,0,0,0,49,7,0,1,4,3,0,0,0,0,11,276,655
784,C2,0,62,5,1,18,3,68,2,0,1,0,0,0,1,58,7,0,3,3,2,0,0,0,0,7,241,655
784,C3,2,75,5,1,16,6,70,0,2,1,0,1,2,0,45,9,0,2,0,0,0,0,0,0,16,253,655
784,C4,1,76,2,1,16,2,82,0,1,3,0,7,0,0,64,3,0,0,0,3,0,1,0,0,14,276,655
785,B1,0,70,9,1,23,3,83,0,0,0,1,1,0,0,38,9,0,0,2,0,0,0,0,0,12,252,531
785,C1,3,116,6,0,14,0,68,0,0,1,1,1,0,0,54,7,0,0,0,4,0,0,0,0,7,282,530
786,B1,3,77,6,2,31,4,71,0,1,2,0,0,0,0,63,1,0,3,4,0,0,0,1,0,5,274,563
786,C1,4,75,6,0,40,5,80,2,0,2,0,0,0,2,71,2,0,0,7,4,0,0,0,0,5,305,562
786,C2,8,63,6,0,20,2,72,0,0,0,0,0,0,0,69,1,0,0,6,0,0,2,0,0,3,252,562
787,B1,10,126,4,0,40,0,60,2,1,3,0,0,0,0,59,2,0,2,8,0,0,0,0,0,6,323,606
787,C1,5,124,5,1,32,8,58,0,1,0,0,1,1,0,71,2,0,0,5,0,0,0,0,0,9,323,606
787,C2,3,127,3,2,34,2,55,2,3,1,0,1,0,0,57,1,0,1,3,2,0,2,0,0,14,313,605
787,C3,8,123,2,1,54,5,70,0,1,0,0,1,2,0,61,0,0,0,4,2,0,0,1,0,15,350,605
788,B1,4,107,1,1,56,14,48,0,0,1,1,0,0,0,66,0,0,1,1,3,0,0,0,0,8,312,513
788,C1,3,122,0,2,40,15,80,1,2,1,1,0,0,0,54,0,0,0,2,0,0,0,0,0,5,328,513
788,C2,4,83,3,1,52,9,72,0,1,1,0,1,0,0,61,0,0,1,4,0,0,1,0,0,3,297,512
789,B1,3,123,1,4,33,11,44,0,2,1,0,2,0,2,30,0,0,0,1,2,0,0,1,0,7,267,497
789,C1,6,125,0,3,36,6,59,0,1,0,0,1,1,0,40,0,0,0,0,1,0,1,0,0,7,287,496
790,B1,9,99,4,7,75,8,64,1,1,0,0,1,0,0,76,4,0,1,3,0,0,1,0,0,13,367,613
