"APM","BC","CAND_IND_AGUSTIN_TOLEDANO_AMARO","CAND_IND_CELSO_NIETO_ESTRADA","CAND_IND_PEDRO_ANTONIO_MONTENEGRO_MORGADO","CASILLA","CC_MORENA_NA_ES","CC_PAN_HUMANISTA","CC_PAN_PSD","CC_PRD_PSD","COAL_PRD_PRI","CONFIG_CC_MORENA_ES","CONFIG_CC_MORENA_NA","CONFIG_CC_NA_ES","ES","FM","FPM","FUTURO","HUMANISTA","L_NOMINAL","LNOMINAL","MAS","MC","MORENA","MP","municipality","NA","NO_REGISTRADOS","NUM_VOTOS_NULOS","PAN","PAS","PES","PODEMOS","PRD","PRI","PSD","PT","PVEM","RPM","RSP","SECCION","source_file","TOTVOTOS"
"0","0",NA,NA,NA,"B1",NA,NA,NA,NA,"1",NA,NA,NA,"106","1","3","0","55","742",NA,"10","73","14","115","AMACUZAC","1","0","7","6","0","0","3","5","1","0","36","55","6","0","1","Registro de Computos AMACUZAC Morelos Proceso Electoral 2020-2021 IMPEPAC.csv","498"
"0","0",NA,NA,NA,"C1",NA,NA,NA,NA,"0",NA,NA,NA,"134","0","1","0","41","742",NA,"15","67","16","107","AMACUZAC","0","0","11","0","1","0","0","6","2","0","31","28","7","0","1","Registro de Computos AMACUZAC Morelos Proceso Electoral 2020-2021 IMPEPAC.csv","467"
"0","0",NA,NA,NA,"B1",NA,NA,NA,NA,"1",NA,NA,NA,"65","0","0","0","6","521",NA,"7","74","7","60","AMACUZAC","1","0","6","1","0","0","0","5","3","1","49","14","9","0","2","Registro de Computos AMACUZAC Morelos Proceso Electoral 2020-2021 IMPEPAC.csv","309"
"0","0",NA,NA,NA,"C1",NA,NA,NA,NA,"0",NA,NA,NA,"70","0","0","0","7","521",NA,"11","68","10","57","AMACUZAC","0","0","13","0","0","1","0","6","2","0","40","23","10","0","2","Registro de Computos AMACUZAC Morelos Proceso Electoral 2020-2021 IMPEPAC.csv","318"
"0","0",NA,NA,NA,"B1",NA,NA,NA,NA,"0",NA,NA,NA,"136","1","0","0","6","564",NA,"3","70","19","108","AMACUZAC","0","0","8","0","0","0","0","2","2","0","24","12","8","1","3","Registro de Computos AMACUZAC Morelos Proceso Electoral 2020-2021 IMPEPAC.csv","400"
"0","0",NA,NA,NA,"C1",NA,NA,NA,NA,"0",NA,NA,NA,"104","0","0","0","19","563",NA,"0","85","19","120","AMACUZAC","0","0","8","0","0","0","2","4","2","0","19","11","7","1","3","Registro de Computos AMACUZAC Morelos Proceso Electoral 2020-2021 IMPEPAC.csv","401"
"0","0",NA,NA,NA,"B1",NA,NA,NA,NA,"0",NA,NA,NA,"108","1","1","0","7","571",NA,"7","76","12","125","AMACUZAC","0","0","7","0","0","1","1","1","2","0","23","16","20","0","4","Registro de Computos AMACUZAC Morelos Proceso Electoral 2020-2021 IMPEPAC.csv","408"
"0","0",NA,NA,NA,"C1",NA,NA,NA,NA,"1",NA,NA,NA,"84","0","1","0","5","570",NA,"7","71","18","141","AMACUZAC","0","0","8","0","0","0","0","1","3","0","31","15","6","0","4","Registro de Computos AMACUZAC Morelos Proceso Electoral 2020-2021 IMPEPAC.csv","392"
"0","0",NA,NA,NA,"E1",NA,NA,NA,NA,"0",NA,NA,NA,"27","0","0","0","2","434",NA,"6","64","6","113","AMACUZAC","0","0","9","1","0","0","0","5","2","0","40","7","1","0","4","Registro de Computos AMACUZAC Morelos Proceso Electoral 2020-2021 IMPEPAC.csv","283"
"0","0",NA,NA,NA,"B1",NA,NA,NA,NA,"1",NA,NA,NA,"82","0","0","0","6","620",NA,"6","68","24","94","AMACUZAC","1","0","4","2","0","0","1","8","0","0","75","18","11","0","5","Registro de Computos AMACUZAC Morelos Proceso Electoral 2020-2021 IMPEPAC.csv","401"
"0","1",NA,NA,NA,"B1",NA,NA,NA,NA,"1",NA,NA,NA,"79","0","0","0","18","587",NA,"3","84","15","87","AMACUZAC","0","0","10","0","0","0","2","1","2","0","48","23","19","0","6","Registro de Computos AMACUZAC Morelos Proceso Electoral 2020-2021 IMPEPAC.csv","393"
"1","0",NA,NA,NA,"C1",NA,NA,NA,NA,"0",NA,NA,NA,"74","0","1","0","16","586",NA,"7","81","21","81","AMACUZAC","1","0","4","0","0","1","3","2","6","0","62","23","18","3","6","Registro de Computos AMACUZAC Morelos Proceso Electoral 2020-2021 IMPEPAC.csv","405"
"0","1",NA,NA,NA,"C2",NA,NA,NA,NA,"0",NA,NA,NA,"58","0","0","1","17","586",NA,"11","106","16","73","AMACUZAC","0","0","6","0","0","2","2","3","2","0","57","15","32","0","6","Registro de Computos AMACUZAC Morelos Proceso Electoral 2020-2021 IMPEPAC.csv","402"
