SECCION,CASILLA,pan,pri,prd,pvem,pt,mc,morena,pes,rsp,fpm,psd,humanista,na,es,mas,podemos,mp,bc,futuro,fm,pas,rpm,apm,cc_morena_na_es,config_cc_morena_na,config_cc_morena_es,config_cc_na_es,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
611,B1,6,20,1,3,96,12,59,1,51,3,0,1,4,42,18,3,5,0,5,0,0,0,2,0,0,0,0,0,13,345,709
611,C1,10,25,2,9,76,14,45,5,61,1,1,1,2,37,9,7,2,0,4,0,1,1,1,3,0,2,0,0,7,326,709
611,C2,9,19,0,1,76,16,58,5,46,4,0,2,8,35,22,5,3,1,6,3,0,6,1,0,0,1,1,1,13,342,708
613,B1,150,86,8,6,14,11,36,0,5,5,0,1,4,4,1,0,1,0,1,0,0,2,0,1,0,0,1,0,9,346,571
613,C1,153,100,2,5,7,22,42,1,1,3,1,2,4,6,3,0,0,0,0,2,0,3,1,0,0,1,0,0,4,363,571
614,B1,116,64,7,1,6,6,55,2,1,2,0,1,0,4,3,1,6,0,0,0,0,5,3,0,0,1,0,0,11,295,440
614,C1,106,46,9,2,11,7,42,2,2,2,2,4,3,3,2,2,6,0,0,0,1,8,1,0,0,0,0,0,9,270,439
615,B1,20,28,0,5,64,32,32,0,49,1,0,3,4,12,5,3,1,2,4,3,0,8,2,0,0,1,0,0,10,289,557
615,C1,5,29,1,4,69,20,45,4,35,5,2,1,3,28,12,1,1,0,1,0,3,2,2,2,1,2,0,0,14,292,556
615,C2,8,31,0,3,71,31,33,1,43,2,1,0,2,15,7,1,0,0,7,1,0,5,2,1,0,1,1,0,8,275,556
616,B1,18,9,2,4,48,26,46,0,10,9,0,0,7,9,8,14,13,0,0,1,1,5,1,2,0,6,1,0,13,253,732
616,C1,15,12,4,5,43,25,53,1,6,9,0,1,4,5,5,11,8,1,4,1,1,9,1,2,0,1,0,0,9,236,731
616,C2,19,14,9,8,61,29,53,0,6,10,4,4,5,3,3,7,7,0,3,1,0,8,0,3,0,0,1,0,4,262,731
616,C3,22,18,7,6,62,30,50,0,8,7,0,0,5,12,4,12,10,0,1,1,1,3,0,2,0,2,1,0,5,269,731
616,C4,12,24,5,2,42,37,62,1,10,11,1,6,3,8,3,10,6,0,1,1,0,10,0,0,0,1,0,0,16,272,731
616,C5,6,13,2,5,45,34,50,0,10,7,0,0,3,13,3,10,7,0,1,0,0,3,2,2,2,1,0,0,2,221,731
616,C6,16,19,3,13,52,31,59,0,8,6,0,1,4,12,5,13,6,0,4,2,0,3,1,3,0,2,0,0,9,272,731
616,C7,16,8,2,11,36,35,59,1,5,5,1,2,3,2,1,11,12,0,2,0,1,3,1,2,0,2,0,0,7,228,731
616,C8,20,16,3,10,42,30,54,0,9,12,2,1,2,11,9,18,10,2,0,2,3,3,2,7,0,0,0,0,9,277,731
