Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
1,B1,2,1,0,35,149,0,10,39,3,5,44,1,0,0,0,0,0,0,0,0,0,0,0,0,11,300,510
1,C1,4,2,0,32,135,1,6,37,7,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,19,279,510
1,C2,2,3,0,38,131,1,8,33,3,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,13,262,509
2,B1,2,2,0,39,112,2,5,29,8,2,59,0,0,0,0,0,0,0,0,0,0,0,0,0,12,272,540
2,C1,1,4,0,37,118,1,10,25,9,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,14,275,539
3,B1,2,2,0,77,140,2,0,23,7,6,88,1,0,0,0,0,0,0,0,0,0,0,0,0,38,386,562
3,C1,4,3,0,53,131,2,0,24,13,12,94,1,0,0,0,0,0,0,0,0,0,0,0,0,32,369,561
4,B1,4,5,0,89,111,0,9,17,5,6,115,0,0,0,0,0,0,0,0,0,0,0,0,0,27,388,561
4,C1,3,2,0,62,127,1,0,21,9,6,85,0,0,0,0,0,0,0,0,0,0,0,0,0,30,346,561
4,E1,5,3,1,37,154,1,5,13,1,1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,239,430
5,B1,5,2,0,29,233,1,18,82,1,2,14,2,0,0,0,0,0,0,0,0,0,0,0,0,22,411,655
6,B1,8,3,0,45,152,7,18,62,4,1,41,1,0,0,0,0,0,0,0,0,0,0,0,0,17,359,587
6,C1,2,3,1,34,129,4,21,44,3,2,48,6,0,0,0,0,0,0,0,0,0,0,0,0,21,318,586
6,C2,2,5,2,45,150,3,17,50,3,0,42,5,0,0,0,0,0,0,0,0,0,0,0,0,27,351,586
7,B1,2,5,1,68,89,4,26,49,10,2,28,1,0,0,0,0,0,0,0,0,0,0,0,0,16,301,558
7,C1,1,0,1,84,84,5,18,30,10,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,13,281,557
8,B1,0,0,1,89,165,7,18,22,2,6,43,3,0,0,0,0,0,7,0,0,0,0,0,0,0,363,640
8,C1,3,5,1,66,146,6,17,38,4,2,44,3,0,0,0,0,0,0,0,0,0,0,0,0,28,363,640
9,B1,4,1,0,58,177,0,5,38,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,19,320,564
9,C1,0,0,1,54,148,0,9,46,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,16,292,564
9,E1,4,4,1,26,184,0,1,11,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,22,262,451
10,B1,3,1,0,48,161,2,14,42,5,0,47,1,0,3,0,0,0,0,0,0,0,0,0,0,35,362,700
10,C1,1,2,1,43,207,1,11,26,3,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,31,352,700
11,B1,1,5,0,66,245,5,0,21,0,4,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,375,725
Totales,,65,63,11,1254,3578,56,246,822,118,71,1039,30,0,3,0,0,0,7,0,0,0,0,0,0,463,7826,13796
