Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_mc_progresa,c_morena_na_pes_mas,c_morena_na_pes,c_morena_na_mas,c_morena_pes_mas,c_na_pes_mas,c_morena_na,c_morena_pes,c_morena_mas,c_na_pes,c_na_mas,c_pes_mas,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
44,B1,84,9,8,6,4,7,128,9,33,7,21,7,9,5,0,0,0,6,0,2,0,0,0,3,8,0,0,0,0,6,0,0,0,0,0,0,18,380,666
44,C1,83,9,8,5,2,9,105,27,34,9,11,11,10,3,2,0,1,0,0,0,0,0,0,1,2,1,1,0,1,2,0,0,3,0,0,0,11,351,666
44,C2,98,9,8,5,1,8,111,11,27,4,16,7,6,4,1,0,0,2,2,0,0,0,0,2,8,0,0,3,1,0,0,0,0,0,0,0,15,349,665
45,B1,93,24,16,3,2,11,128,18,54,2,12,7,6,4,0,0,0,1,2,0,0,0,0,1,7,1,0,0,0,1,4,0,0,0,0,0,0,397,617
45,C1,108,17,8,4,3,10,115,9,31,6,21,7,10,11,0,0,0,4,0,1,0,0,0,4,8,2,0,0,0,0,2,0,1,0,0,0,13,395,617
45,C2,121,15,12,6,2,9,156,7,28,2,16,5,5,9,0,1,0,2,0,0,0,0,0,3,3,1,0,2,0,2,1,0,1,0,0,0,7,416,617
45,C3,113,30,12,5,1,8,140,7,32,7,24,4,7,2,0,0,0,1,1,0,0,0,0,1,5,1,0,0,0,1,5,0,0,1,0,0,10,418,617
46,B1,98,12,9,5,1,10,155,15,30,6,14,3,2,6,2,0,0,1,0,0,0,0,0,1,8,0,1,0,0,1,0,0,0,0,0,0,13,393,586
46,C1,110,8,9,2,1,9,115,16,31,8,14,3,9,13,1,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,4,0,1,0,0,0,16,377,586
47,B1,79,8,5,4,2,9,99,8,19,3,10,5,3,12,0,0,0,3,0,0,0,0,0,2,4,4,0,0,0,4,0,0,0,0,0,0,11,294,553
