Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_morena_na_pes_mas,c_morena_na_pes,c_morena_na_mas,c_morena_pes_mas,c_na_pes_mas,c_morena_na,c_morena_pes,c_morena_mas,c_na_pes,c_na_mas,c_pes_mas,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
776,B1,21,56,17,8,41,3,89,1,0,1,1,54,8,0,1,0,0,5,0,1,2,2,0,4,1,2,0,0,1,2,0,0,0,0,0,25,346,658
776,C1,30,70,21,8,53,12,90,3,2,1,2,57,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,15,384,658
776,C2,25,85,15,6,44,6,66,1,5,6,2,43,10,10,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,20,357,658
777,B1,24,73,14,10,92,5,57,1,1,0,0,26,10,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,326,707
777,C1,21,80,20,13,69,5,71,3,2,0,0,17,9,5,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,341,707
777,C2,22,88,11,8,66,10,82,1,1,3,1,18,13,4,0,0,0,3,1,0,0,0,0,5,2,1,0,0,0,1,0,1,0,0,0,18,360,707
777,C3,23,102,18,16,76,7,67,4,1,0,1,19,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,352,707
777,C4,21,85,15,8,71,11,59,3,0,0,0,30,9,5,0,0,0,2,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,11,337,707
777,C5,25,95,14,7,64,5,88,3,0,1,0,23,6,2,0,0,1,4,2,0,2,2,1,2,0,0,1,0,0,1,0,0,0,0,0,25,374,706
777,C6,21,90,7,11,70,9,70,1,1,1,3,24,6,11,1,1,1,1,0,0,0,0,0,0,2,0,0,0,2,1,1,0,3,0,0,18,356,706
778,B1,18,101,14,10,67,2,61,5,2,0,0,16,4,5,0,0,0,6,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,330,638
778,C1,21,76,19,2,67,5,78,9,2,0,0,11,8,8,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,14,325,638
778,C2,29,91,13,6,74,1,90,2,3,0,1,9,10,9,2,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,15,363,637
778,E1,50,78,17,6,41,11,57,4,2,0,1,2,8,6,4,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,15,308,594
779,B1,35,171,12,5,44,7,89,4,2,3,1,17,13,12,0,0,0,2,0,0,1,0,0,6,0,2,0,0,0,0,0,0,0,0,0,12,438,719
779,C1,31,162,15,9,50,4,110,7,3,1,0,19,13,4,3,1,0,2,0,0,0,0,0,4,0,1,1,0,1,1,1,0,1,0,0,16,460,718
780,B1,20,91,3,7,65,7,68,18,3,0,1,6,9,12,1,0,0,1,0,0,0,0,0,6,0,3,3,0,4,0,0,0,0,0,0,12,340,532
780,C1,24,105,1,6,64,7,74,9,2,1,1,11,3,5,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,11,330,532
780,C2,25,112,9,6,57,6,79,6,3,1,1,6,10,9,0,0,0,2,1,1,1,1,0,5,0,0,0,0,1,0,0,0,0,0,0,9,351,531
