Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_morena_na_pes_mas,c_morena_na_pes,c_morena_na_mas,c_morena_pes_mas,c_na_pes_mas,c_morena_na,c_morena_pes,c_morena_mas,c_na_pes,c_na_mas,c_pes_mas,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
391,B1,70,3,4,142,34,22,86,6,7,14,12,4,6,4,1,0,0,1,1,0,0,0,0,10,0,1,1,0,3,0,1,0,0,1,0,11,445,729
391,C1,80,4,2,154,36,13,68,11,7,15,11,9,6,1,0,0,0,1,0,0,0,0,0,8,0,2,1,0,2,0,0,0,0,0,0,0,431,729
391,C2,79,6,3,128,42,19,69,4,7,11,14,2,2,5,0,0,0,2,0,0,0,0,0,7,1,2,0,0,3,1,0,0,1,0,0,9,417,729
391,C3,72,2,6,143,18,14,72,9,8,11,10,5,4,4,1,0,0,2,0,1,0,0,0,12,0,1,0,0,1,0,1,1,1,0,0,15,414,729
391,C4,73,7,3,115,39,21,62,6,7,24,8,1,5,5,3,1,0,0,0,0,0,0,0,13,0,3,0,0,0,1,1,2,0,0,0,14,414,728
391,C5,87,13,6,126,28,21,86,7,5,11,6,9,3,2,0,0,0,1,0,0,0,0,0,17,1,0,0,0,0,1,2,0,0,0,0,15,447,728
391,C6,62,5,0,135,32,11,98,6,5,16,12,3,1,8,0,0,0,1,0,0,0,0,0,10,3,0,0,0,2,1,1,0,1,0,0,20,433,728
392,B1,55,3,3,95,37,16,69,9,4,12,13,2,5,2,1,1,0,2,0,0,0,0,0,8,0,1,2,0,3,1,3,0,0,0,0,12,359,584
392,C1,41,5,4,81,34,21,55,4,5,5,14,1,6,2,0,0,0,1,0,1,0,0,0,11,0,1,0,0,1,1,1,0,0,0,4,20,319,584
392,C2,50,3,1,96,42,17,70,5,4,10,7,5,2,0,0,0,3,2,1,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,10,335,584
392,C3,40,3,8,90,41,21,55,8,0,13,13,7,4,3,1,0,0,0,1,0,0,0,0,4,0,3,0,1,3,1,1,1,1,0,0,13,336,583
393,B1,84,5,2,97,56,20,79,8,3,8,11,2,3,3,2,0,0,1,0,1,0,0,1,3,1,1,0,0,0,0,1,0,0,0,0,9,401,692
393,C1,98,7,2,88,34,18,89,4,1,6,12,1,1,5,0,0,0,1,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,15,392,692
393,C2,88,8,4,92,43,21,87,2,5,6,6,4,10,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,7,400,692
393,C3,107,10,4,91,57,27,53,5,1,9,6,2,2,6,0,0,0,0,1,0,0,0,0,6,1,0,0,2,0,0,1,0,0,0,0,11,402,691
393,C4,112,6,2,92,37,20,98,6,0,10,9,5,2,0,0,0,0,0,2,0,0,0,0,4,0,3,0,0,0,0,1,0,0,0,0,3,412,691
393,C5,101,11,5,96,28,22,114,7,4,13,18,3,7,2,0,0,0,1,1,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,1,3,444,691
393,C6,111,12,5,97,35,17,68,7,3,7,14,2,6,7,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,14,411,691
394,B1,90,2,1,113,29,30,79,6,2,23,7,0,5,2,1,0,0,0,1,0,0,0,0,5,1,0,1,1,0,0,1,0,2,0,0,13,415,673
394,C1,73,7,1,109,29,22,73,9,2,21,9,3,3,0,0,1,0,2,0,0,0,0,0,6,0,0,0,0,1,1,2,0,0,0,0,0,374,672
394,C2,84,4,2,114,44,29,70,3,2,14,20,1,2,2,0,0,0,1,1,0,0,0,0,3,0,0,1,0,1,0,1,0,0,0,0,10,409,672
395,B1,113,7,1,143,12,28,33,4,3,7,2,0,2,6,0,0,0,3,2,0,0,0,0,1,0,1,1,0,2,0,1,0,2,0,0,6,380,582
395,C1,102,2,2,116,20,26,46,5,4,4,2,5,3,4,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,10,356,582
395,C2,93,1,0,132,20,22,38,1,3,11,8,4,13,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,357,581
396,B1,89,4,2,163,24,22,58,4,4,5,12,1,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,415,730
396,C1,92,3,3,154,45,45,56,5,1,10,7,1,5,4,2,0,0,2,0,0,0,1,0,2,0,1,3,2,1,1,1,0,0,0,0,11,458,730
396,C2,94,7,4,151,34,29,58,4,1,11,15,5,2,3,0,0,0,2,0,1,0,0,0,4,1,0,1,0,2,1,3,0,0,0,0,14,447,730
396,C3,117,9,5,127,32,23,52,7,4,15,6,2,2,8,0,0,0,1,1,0,0,0,0,8,0,1,2,0,2,0,0,1,0,0,0,13,438,730
396,C4,100,2,3,144,25,24,63,5,4,17,11,4,5,6,0,0,0,1,0,2,0,0,0,5,1,0,0,0,0,0,0,0,0,3,0,9,434,730
396,C5,108,5,10,135,31,19,66,2,1,11,8,2,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,426,730
396,C6,87,8,3,141,22,30,49,2,1,12,13,1,0,6,0,0,0,1,0,0,0,0,0,4,1,0,1,0,2,0,1,1,0,0,0,12,398,729
397,B1,100,3,2,120,9,40,75,5,4,27,8,1,4,4,0,1,0,2,0,0,0,0,0,6,0,2,0,1,2,0,1,2,0,0,0,8,427,661
397,C1,87,8,3,110,22,50,99,10,3,22,4,2,0,3,0,0,0,1,1,0,0,0,0,10,1,1,0,1,1,1,0,0,0,0,0,7,447,661
397,C2,101,8,4,117,24,26,89,8,6,27,4,7,7,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,447,660
398,B1,107,12,0,118,30,30,72,9,1,13,9,5,5,2,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,1,1,0,0,0,0,7,431,606
398,C1,118,10,2,117,25,20,68,9,6,24,6,8,5,4,0,0,0,2,0,0,0,0,0,10,0,1,0,1,0,0,1,0,1,0,0,5,443,606
398,C2,109,7,0,134,38,15,61,9,0,18,22,6,6,0,0,0,0,2,0,0,0,0,0,6,0,1,1,1,5,0,1,0,0,0,0,6,448,605
