Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_mc_progresa,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
901,B1,11,93,3,103,147,32,51,0,1,1,2,3,2,1,10,0,0,0,0,0,0,0,0,0,0,15,475,681
901,C1,7,92,2,109,137,27,68,0,0,0,6,2,5,2,1,1,0,0,0,0,0,0,0,0,1,18,478,681
901,C2,10,112,3,95,163,19,64,0,0,0,2,2,5,12,1,0,0,0,0,0,0,0,0,0,0,14,502,680
902,B1,13,100,4,132,159,33,79,0,0,0,9,1,1,2,5,4,0,0,0,0,0,0,0,0,0,19,561,702
902,C1,6,102,2,108,172,56,63,0,0,0,6,1,6,4,1,2,0,0,0,0,0,0,0,0,0,11,540,702
902,C2,8,108,7,109,184,37,55,0,0,0,5,2,7,6,1,1,5,0,0,0,0,0,0,0,0,11,546,702
902,C3,15,118,4,117,148,37,63,0,0,0,4,3,5,4,1,0,0,3,0,0,1,0,0,2,0,13,538,701
903,B1,16,121,11,58,43,20,23,0,0,0,0,3,2,6,0,0,0,1,0,0,0,0,0,1,0,13,318,378
903,C1,14,102,7,68,65,19,21,1,0,0,3,12,3,4,1,2,0,0,0,0,0,0,0,0,0,6,328,378
904,B1,12,84,3,198,69,56,26,1,0,1,3,1,3,3,0,0,0,0,0,0,0,0,0,3,0,16,479,646
904,C1,5,73,6,179,83,78,32,0,0,0,1,0,2,2,0,0,0,2,0,0,0,0,0,2,0,9,474,646
905,B1,10,69,4,230,86,42,43,0,0,0,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,24,515,693
905,C1,13,94,3,239,63,46,28,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,19,512,693
905,C2,9,85,0,230,89,31,33,0,0,0,0,2,1,3,0,0,0,6,0,0,0,1,0,0,0,20,510,692
906,B1,2,86,1,210,54,38,34,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,10,440,619
906,C1,5,72,0,188,68,30,39,2,1,1,2,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,416,618
906,C2,4,103,1,195,48,28,35,0,0,0,0,6,3,2,1,1,0,0,0,0,0,0,0,0,0,12,439,618
906,C3,3,108,1,158,75,36,44,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,14,447,618
906,C4,4,81,1,178,74,22,42,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,6,414,618
Totales,,167,1803,63,2904,1927,687,843,4,2,4,45,44,63,60,24,11,6,12,0,0,1,1,0,10,1,250,8932,12066
