SECCION ,DF,DL,MUNICIPIO,PAN,PRI,ALIANZA,PT,PVEM,PCD,PARM,DS,VOTOS NULOS,TOTAL,PADRÓN,LISTANOMINAL
1,2,20,ABASOLO ,118,152,16,19,0,0,0,0,5,310,426,422
2,2,20,ABASOLO ,207,412,45,66,0,0,0,0,18,748,1011,1000
3,2,22,AGUALEGUAS ,244,183,22,0,0,0,0,0,8,457,685,674
4,2,22,AGUALEGUAS ,135,87,5,0,0,0,0,0,3,230,331,324
5,2,22,AGUALEGUAS ,181,100,14,0,0,0,0,0,8,303,456,452
6,2,22,AGUALEGUAS ,204,141,26,0,0,0,0,0,3,374,513,509
7,2,22,AGUALEGUAS ,66,66,19,0,0,0,0,0,5,156,249,246
8,2,22,AGUALEGUAS ,111,102,14,0,0,0,0,0,5,232,349,346
9,2,22,AGUALEGUAS ,72,116,1,0,0,0,0,0,0,189,299,298
10,2,22,AGUALEGUAS ,79,43,76,0,0,0,0,0,6,204,319,310
11,2,22,AGUALEGUAS ,87,72,3,0,0,0,0,0,2,164,237,233
12,2,22,LOS ALDAMAS,129,137,0,0,0,0,0,0,0,266,387,385
13,2,22,LOS ALDAMAS,152,148,0,0,0,0,0,0,3,303,473,472
14,2,22,LOS ALDAMAS ,21,24,0,0,0,0,0,0,0,45,62,62
15,2,22,LOS ALDAMAS ,96,60,0,0,0,0,0,0,4,160,319,317
16,2,22,LOS ALDAMAS ,161,67,0,0,0,0,0,0,2,230,405,396
17,2,22,LOS ALDAMAS ,136,62,0,0,0,0,0,0,1,199,356,353
18,2,22,LOS ALDAMAS ,28,10,0,0,0,0,0,0,2,40,63,61
19,2,22,LOS ALDAMAS ,38,46,0,0,0,0,0,0,0,84,128,127
20,9,24,ALLENDE,443,555,6,20,2,0,0,0,14,1040,1620,1602
21,9,24,ALLENDE,477,414,12,25,0,0,0,0,25,953,1505,1490
22,9,24,ALLENDE,432,364,3,15,0,0,0,0,19,833,1291,1282
23,9,24,ALLENDE,457,364,2,22,0,0,0,0,15,860,1345,1338
24,9,24,ALLENDE,295,203,0,6,1,0,0,0,11,516,701,694
25,9,24,ALLENDE,544,253,3,9,2,0,0,0,8,819,1099,1083
26,9,24,ALLENDE,415,351,0,9,0,0,0,0,7,782,1000,996
27,9,24,ALLENDE,404,342,1,18,1,0,0,0,19,785,1009,1008
28,9,24,ALLENDE,482,398,3,17,1,0,0,0,24,925,1342,1317
29,9,24,ALLENDE,463,383,4,24,0,0,0,0,17,891,1384,1370
30,9,24,ALLENDE,436,432,4,15,0,0,0,0,26,913,1456,1437
31,9,24,ALLENDE,231,158,3,3,1,0,0,0,14,410,637,633
32,9,24,ALLENDE,213,152,0,6,0,0,0,0,0,371,621,612
33,9,24,ALLENDE,341,198,1,10,2,0,0,0,23,575,849,839
34,9,24,ALLENDE,194,219,3,7,2,0,0,0,9,434,621,612
35,9,24,ALLENDE,97,54,0,2,0,0,0,0,3,156,227,225
36,9,24,ALLENDE,59,70,0,5,0,0,0,0,2,136,204,201
37,9,24,ALLENDE,116,150,3,3,0,0,0,0,6,278,423,414
38,9,24,ALLENDE,162,131,31,14,0,0,0,0,6,344,555,549
39,1,21,ANAHUAC,350,289,8,4,0,0,0,0,11,662,963,949
40,1,21,ANAHUAC,379,372,16,2,0,0,0,0,16,785,1212,1198
41,1,21,ANAHUAC,282,312,13,9,0,0,0,0,17,633,967,958
42,1,21,ANAHUAC,313,222,24,5,0,0,0,0,16,580,891,881
43,1,21,ANAHUAC,350,347,20,5,0,0,0,0,13,735,1139,1130
44,1,21,ANAHUAC,310,375,14,6,0,0,0,0,5,710,1094,1089
45,1,21,ANAHUAC,271,292,14,4,0,0,0,0,8,589,868,863
46,1,21,ANAHUAC,318,203,18,3,0,0,0,0,6,548,811,805
47,1,21,ANAHUAC,273,224,11,0,0,0,0,0,4,512,787,781
48,1,21,ANAHUAC,298,316,5,6,0,0,0,0,13,638,1105,1087
49,1,21,ANAHUAC,186,166,14,0,0,0,0,0,7,373,596,593
50,1,21,ANAHUAC,0,0,0,0,0,0,0,0,0,0,16,16
51,1,21,ANAHUAC,37,25,0,0,0,0,0,0,2,64,104,99
52,1,21,ANAHUAC,71,31,4,2,0,0,0,0,2,110,178,174
53,1,21,ANAHUAC,0,0,0,0,0,0,0,0,0,0,4,4
54,1,21,ANAHUAC,31,29,2,2,0,0,0,0,2,66,91,91
55,1,21,ANAHUAC,45,88,4,1,0,0,0,0,4,142,215,215
56,1,21,ANAHUAC,33,36,5,0,0,0,0,0,2,76,94,94
57,1,21,ANAHUAC,44,40,0,0,0,0,0,0,41,125,126,125
58,1,21,ANAHUAC,34,26,1,0,0,0,0,0,0,61,83,83
59,1,21,ANAHUAC,17,35,1,1,0,0,0,0,0,54,86,86
60,1,21,ANAHUAC,24,31,2,0,0,0,0,0,4,61,88,88
61,1,21,ANAHUAC,78,147,4,1,0,0,0,0,24,254,406,405
62,1,21,ANAHUAC,10,82,0,0,0,0,0,0,3,95,170,165
63,2,16,APODACA,457,653,27,42,12,9,1,3,31,1235,3062,2946
64,2,16,APODACA,385,432,33,5,1,1,0,1,27,885,1347,1340
65,2,16,APODACA ,1346,1785,35,82,11,12,5,6,83,3365,5876,5754
66,2,16,APODACA,441,594,9,30,8,1,1,1,41,1126,1948,1925
67,2,16,APODACA,1058,1445,43,82,10,10,3,22,40,2713,4883,4702
68,2,16,APODACA,752,838,23,57,4,10,2,10,46,1742,3081,2973
69,2,16,APODACA,634,679,21,38,6,3,0,6,25,1412,2479,2431
70,2,16,APODACA,416,541,15,106,4,3,1,4,23,1113,1970,1922
71,2,16,APODACA,205,193,9,4,1,2,0,1,7,422,706,692
72,2,16,APODACA,134,180,4,15,0,2,0,4,7,346,627,614
73,2,16,APODACA,123,255,8,15,1,1,0,0,4,407,678,667
74,2,16,APODACA,156,264,4,13,3,1,2,0,17,460,801,792
75,2,16,APODACA,110,246,3,9,2,0,0,2,9,381,699,691
76,2,16,APODACA,130,352,21,17,4,1,0,0,5,530,986,971
77,2,16,APODACA,964,1532,28,70,6,4,0,9,51,2664,4502,4435
78,2,16,APODACA,196,469,9,20,1,2,2,0,16,715,1260,1247
79,2,16,APODACA,234,520,14,38,1,3,2,1,28,841,1490,1475
80,2,16,APODACA,142,264,3,15,1,1,0,1,6,433,705,699
81,2,16,APODACA,695,662,18,27,5,3,0,14,8,1432,2204,2153
82,2,16,APODACA,205,222,12,15,1,2,0,2,4,463,730,725
83,2,16,APODACA,106,184,9,9,3,2,1,4,8,326,565,559
84,2,16,APODACA,1140,1525,26,102,5,11,2,25,78,2914,4792,4750
85,2,16,APODACA,261,598,8,24,1,1,0,0,17,910,1513,1492
86,2,16,APODACA,259,589,10,23,2,2,0,1,21,907,1557,1538
87,2,16,APODACA,150,403,6,17,2,0,0,1,11,590,1046,1038
88,2,16,APODACA,411,522,14,23,7,8,0,4,26,1015,1678,1655
89,2,16,APODACA,323,525,2,15,2,3,4,3,14,891,1416,1401
90,2,16,APODACA,314,386,3,21,0,1,3,3,19,750,1166,1154
91,2,16,APODACA,218,426,4,19,1,0,1,1,10,680,1063,1054
92,2,16,APODACA,303,617,6,20,1,1,1,1,16,966,1458,1446
93,2,16,APODACA,260,480,6,15,3,2,1,2,11,780,1262,1253
94,2,16,APODACA,336,569,8,40,8,3,3,6,25,998,1672,1652
