Tipo,Seccion,Casilla,NO_DTTO,CABECERA,NMpioIEEP,Municipio,PAN,PRI,PRD,PT,PVEM,CONV,NoReg,Nulos,VOTACIONTOTAL,ListaNominal
Aytos,0940,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,114,108,19,1,2,4,0,2,250,497
Aytos,0940,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,125,105,11,3,1,4,0,8,257,498
Aytos,0941,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,138,78,5,6,1,4,0,4,236,401
Aytos,0941,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,143,75,8,3,4,6,0,4,243,401
Aytos,0942,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,178,166,24,4,6,9,0,10,397,731
Aytos,0942,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,176,176,16,7,8,6,0,11,400,732
Aytos,0943,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,145,153,16,7,3,4,0,7,335,583
Aytos,0943,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,144,170,13,4,6,4,0,6,347,583
Aytos,0944,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,95,148,11,2,4,4,0,6,270,504
Aytos,0944,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,116,145,7,3,1,2,0,5,279,504
Aytos,0944,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,87,163,7,3,2,3,0,3,268,504
Aytos,0945,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,117,132,5,1,3,6,0,7,271,508
Aytos,0945,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,138,124,12,0,3,4,0,5,286,509
Aytos,0946,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,72,100,4,3,3,2,0,7,191,382
Aytos,0946,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,87,81,6,3,2,1,0,4,184,383
Aytos,0947,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,143,146,22,4,6,3,0,10,334,658
