SECCION, CASILLA, PAN, PRI, PRD, PANAL, PVEM, PES, MORENA, PT, PAN-PRD, PRI-PANAL-PVEM, PRI-PANAL, PRI-PVEM, PANAL-PVEM, NR, NULOS
139, B,50,64,2,3,4,52,4,2,3,9,3,3,0,18,21
139, C1,43,73,4,8,4,48,4,3,2,4,0,0,0,21,27
139, C2,52,59,5,6,14,58,7,0,5,8,0,5,1,35,23
139, EX1,53,79,4,1,2,19,0,1,3,8,1,1,1,6,18
140, B,60,109,0,4,5,56,3,1,5,13,6,0,0,4,13
140, C1,68,137,4,4,2,30,6,3,7,17,3,0,0,7,15
141, B,88,61,31,13,1,12,5,4,10,8,2,1,1,15,10
141, C1,84,88,30,15,3,8,0,3,9,4,2,5,0,7,5
141, C2,89,62,33,6,4,1,2,1,4,5,4,2,0,25,11
141, EX1,108,50,4,16,1,225,20,2,6,2,6,2,0,2,2
142, B,42,73,44,12,6,7,4,3,10,5,1,1,1,30,12
142, C1,50,55,29,7,9,6,0,2,13,3,1,2,0,39,14
143, B,118,67,19,9,1,7,2,1,12,8,6,2,0,0,13
143, C1,94,59,21,20,3,3,1,3,9,12,3,1,0,0,6
143, C2,96,41,21,15,1,6,0,3,17,9,4,2,0,2,14
144, B,82,60,17,3,0,6,8,1,9,4,3,0,0,0,13
144, C1,90,40,14,3,0,1,8,4,4,8,3,0,0,0,14
144, C2,94,45,27,9,1,3,3,3,6,4,2,1,0,0,15
144, EX1,101,71,10,5,0,11,1,0,21,12,7,1,1,1,6
144, EX1C1,80,77,6,7,1,21,1,3,10,10,3,1,0,0,7
145, B,57,87,15,17,7,24,3,6,14,12,3,6,0,1,19
145, C1,65,83,10,4,3,17,1,7,17,15,3,3,0,1,20
145, C2,55,95,22,13,3,25,1,6,12,12,5,4,1,4,20
146, B,90,85,1,4,3,7,0,2,7,8,4,1,0,1,6
146, C1,73,89,1,8,3,10,1,2,4,9,8,4,1,2,14
147, B, ACTA CON VOTOS NO COINCIDENTES,,,,,,,,,,,,,,
147, C1,176,122,4,16,9,8,0,4,18,18,5,6,0,0,19
147, C2,180,107,1,17,5,15,1,8,17,31,2,7,0,0,23
147, EX1,101,52,0,0,1,21,4,3,10,3,0,2,0,1,11
148, B,73,135,28,7,1,14,4,4,6,5,6,7,0,2,15
148, C1,90,119,16,5,0,17,1,5,6,7,1,0,0,0,10
149, B,94,86,40,24,4,14,1,9,2,3,1,2,0,1,6
149, C1,78,96,27,15,2,30,3,6,7,11,8,1,0,0,13
150, B,45,66,3,9,8,31,3,0,1,3,1,1,0,2,23
150, C1, ACTA CON VOTOS NO COINCIDENTES,,,,,,,,,,,,,,
150, EX1,18,60,2,9,3,1,2,2,5,15,4,2,0,0,8
150, EX1C1,26,65,3,13,0,4,0,0,0,8,2,1,1,0,7
151, B,20,38,1,11,2,117,4,2,1,2,2,0,0,17,11
151, EX1,18,20,4,4,0,95,8,3,1,3,1,0,0,2,15
152, B,16,25,5,10,1,60,2,4,2,3,1,0,0,18,13
152, C1,23,28,4,11,2,43,10,2,0,2,1,0,0,24,13
152, C2,15,20,3,1,0,50,13,2,0,1,2,0,0,14,25
152, EX1,46,80,3,10,2,48,12,2,1,4,1,3,0,10,20
