SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,CDEM,PSN,PAS,NO REGISTRADOS,NULOS,VTOTAL
1,001B,18,70,105,5,68,6,0,1,0,6,279
1,001C1,22,70,95,8,69,7,0,0,0,7,278
1,001C2,20,52,93,9,81,2,0,0,0,1,258
1,001C3,26,46,94,2,74,3,0,3,0,4,252
1,001C4,17,38,82,5,72,7,0,0,0,7,228
1,001C5,20,44,91,5,70,6,0,1,0,1,238
1,001C6,25,46,109,8,69,2,0,0,0,10,269
2,002B,19,70,93,2,70,8,0,2,0,8,272
2,002C1,0,0,0,0,0,0,0,0,0,0,0
2,002C2,21,54,100,1,94,7,0,0,0,0,277
2,002C3,0,0,0,0,0,0,0,0,0,0,0
2,002C4,0,0,0,0,0,0,0,0,0,0,0
2,002C5,33,62,80,5,93,8,0,0,0,4,285
2,002C6,17,54,86,3,81,7,1,0,0,0,249
2,002C7,18,56,77,3,79,11,0,0,0,6,250
2,002C8,27,47,80,2,79,4,0,0,0,11,250
2,002C9,0,0,0,0,0,0,0,0,0,0,0
3,003B,21,64,116,2,70,10,0,1,0,4,288
3,003C1,39,65,91,5,80,11,0,1,0,10,302
3,003C2,22,82,108,1,80,7,0,0,0,4,304
3,003C3,26,80,101,3,89,5,0,1,0,5,310
3,003C4,26,61,96,2,85,11,0,2,0,7,290
3,003C5,19,74,95,5,77,11,0,2,0,5,288
3,003C6,27,63,86,1,93,8,1,1,0,5,285
3,003C7,22,64,115,8,86,8,0,2,0,2,307
3,003C8,33,69,95,2,78,2,0,3,0,9,291
3,003C9,28,62,79,1,80,7,0,1,1,5,264
3,003C10,19,48,78,3,96,8,0,2,0,8,262
3,003C11,23,68,92,4,88,8,0,1,0,7,291
4,004B,21,43,35,2,58,10,0,1,1,3,174
4,004C1,0,0,0,0,0,0,0,0,0,0,0
4,004C2,23,33,30,6,63,9,1,1,0,0,166
5,005B,33,53,70,1,96,7,0,1,0,7,268
5,005C1,30,46,62,4,106,9,0,1,0,4,262
5,005C2,31,51,66,2,106,7,0,0,0,3,266
6,006B,25,25,24,4,79,7,0,1,0,3,168
6,006C,16,37,34,6,54,3,1,0,0,1,152
7,007B,19,58,52,4,47,7,0,0,0,3,190
7,007C1,19,47,59,2,59,9,0,0,0,0,195
7,007C2,22,55,49,10,71,5,0,1,0,6,219
8,008B,9,57,59,2,33,11,0,1,0,0,172
8,008C,22,62,49,2,43,5,0,2,0,6,191
9,009B,0,0,0,0,0,0,0,0,0,0,0
9,009C,6,53,32,4,52,7,0,0,0,3,157
10,010B,6,51,51,2,45,3,0,2,0,5,165
10,010C,0,0,0,0,0,0,0,0,0,0,0
11,011B,24,62,87,3,67,3,0,1,1,9,257
11,011C1,24,70,78,3,85,1,0,0,0,4,265
11,011C2,35,74,82,3,80,8,0,1,0,3,286
11,011C3,0,0,0,0,0,0,0,0,0,0,0
11,011C4,26,58,82,1,71,8,0,1,0,1,248
11,011C5,19,73,102,3,80,7,0,2,0,3,289
11,011C6,22,52,82,1,62,7,0,0,0,6,232
11,011C7,14,57,76,2,51,3,0,1,0,10,214
11,011C8,0,0,0,0,0,0,0,0,0,0,0
11,011C9,22,71,81,3,74,6,0,2,0,9,268
11,011C10,0,0,0,0,0,0,0,0,0,0,0
11,011C11,22,67,93,3,67,5,0,1,0,9,267
11,011C12,22,60,96,2,51,3,0,0,0,5,239
11,011C13,0,0,0,0,0,0,0,0,0,0,0
11,011C14,26,46,97,3,59,6,0,0,0,4,241
11,011C15,19,62,85,4,72,3,0,2,0,4,251
11,011C16,12,53,91,3,69,4,1,0,0,3,236
11,011C17,23,56,81,1,66,7,0,1,0,2,237
11,011C18,0,0,0,0,0,0,0,0,0,0,0
11,011C19,0,0,0,0,0,0,0,0,0,0,0
11,011C20,28,54,82,2,77,5,0,0,0,4,252
11,011C21,17,60,77,4,76,2,0,2,0,5,243
11,011C22,19,74,70,3,76,4,1,1,0,4,252
11,011C23,27,64,83,2,72,4,0,1,0,6,259
11,011C24,0,0,0,0,0,0,0,0,0,0,0
12,012B,30,75,90,4,81,32,0,3,0,0,315
12,012C1,0,0,0,0,0,0,0,0,0,0,0
12,012C2,0,0,0,0,0,0,0,0,0,0,0
12,012C3,18,69,83,4,60,36,0,2,0,12,284
13,013B,12,53,79,3,42,13,0,2,0,20,224
13,013C1,19,46,59,1,41,8,0,0,0,12,186
13,013C2,16,87,85,0,41,11,0,1,0,0,241
14,014B,20,78,112,3,67,15,1,9,0,3,308
15,015B,17,74,91,3,79,7,0,1,0,11,283
15,015C,18,73,65,3,57,14,0,1,0,5,236
16,016B,26,88,92,4,74,18,0,2,0,0,304
16,016C,31,86,105,5,78,10,0,1,0,8,324
17,017B,38,98,111,2,74,4,0,2,0,5,334
17,017C,21,94,112,4,73,9,0,2,0,9,324
18,018B,0,0,0,0,0,0,0,0,0,0,0
18,018C,16,94,65,8,76,2,0,1,0,4,266
19,019B,24,86,77,3,78,11,0,11,0,4,294
19,019C,18,91,80,3,74,8,0,4,0,10,288
20,020B,0,0,0,0,0,0,0,0,0,0,0
21,021B,28,60,48,4,63,30,1,2,0,5,241
21,021C,19,60,48,3,62,18,0,1,0,6,217
22,022B,17,42,45,3,42,6,0,2,0,3,160
22,022C,13,66,37,0,49,4,0,3,0,1,173
23,023B,19,59,46,0,48,3,0,1,0,6,182
23,023C,15,50,31,0,44,12,0,1,0,5,158
24,024B,17,62,42,4,48,8,0,0,0,4,185
24,024C,25,50,52,1,50,9,0,0,0,5,192
25,025B,0,0,0,0,0,0,0,0,0,0,0
26,026B,20,69,51,1,40,3,0,0,0,0,184
26,026C,13,43,54,3,48,9,0,0,0,3,173
27,027B,22,74,57,3,45,2,0,0,0,7,210
27,027C,23,60,57,4,47,5,0,0,0,6,202
28,028B,14,76,55,1,76,7,0,3,0,8,240
28,028C,14,78,65,3,63,7,0,0,0,9,239
29,029B,20,59,50,5,69,8,0,1,0,3,215
29,029C,15,65,53,4,80,6,0,1,0,5,229
30,030B,10,43,30,5,46,7,0,1,0,0,142
30,030C,16,44,34,3,43,5,0,1,0,5,151
31,031B,0,0,0,0,0,0,0,0,0,0,0
31,031C,11,47,49,0,60,8,0,0,0,4,179
32,032B,0,0,0,0,0,0,0,0,0,0,0
32,032C,27,37,43,4,63,12,0,0,0,8,194
33,033B,10,44,53,5,29,10,0,0,0,11,162
33,033C,5,39,48,4,25,2,0,0,0,2,125
34,034B,0,0,0,0,0,0,0,0,0,0,0
34,034C,0,0,0,0,0,0,0,0,0,0,0
35,035B,0,0,0,0,0,0,0,0,0,0,0
35,035C,0,0,0,0,0,0,0,0,0,0,0
36,036B,0,0,0,0,0,0,0,0,0,0,0
36,036C,0,0,0,0,0,0,0,0,0,0,0
37,037B,0,0,0,0,0,0,0,0,0,0,0
37,037C,14,51,34,0,43,9,0,0,0,4,155
38,038B,19,56,50,1,50,12,0,0,0,1,189
38,038C,9,63,38,4,56,10,0,0,0,11,191
39,039B,22,49,48,1,43,5,0,0,0,3,171
39,039C,11,30,37,4,53,7,0,0,0,4,146
