Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PAN_PNA,CC_PRD_PT,CC_PRI_PVEM_PCP,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRD_PT,PRI_PVEM_PCP,CC_1,CC_2,CC_3
13,31,SAN VICENTE TANCUAYALAB ,1160,B01,451,37,113,69,39,1,3,8,2,5,17,30,0,324,14,338,44,125,147,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1160,C01,450,27,114,103,22,2,3,12,2,3,17,27,0,332,18,350,32,142,146,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1161,B01,672,30,212,106,48,8,11,15,1,5,20,59,0,515,12,527,36,174,290,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1161,C01,671,42,215,85,38,11,9,11,5,11,17,54,0,498,19,517,58,140,289,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1162,B01,443,22,119,70,31,5,4,9,3,4,23,41,0,331,15,346,29,124,169,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1162,C01,443,29,135,66,31,4,1,4,2,5,14,40,0,331,14,345,36,111,180,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1163,B01,453,50,115,66,26,8,3,13,4,5,18,35,0,343,6,349,59,110,161,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1163,C01,453,39,122,80,43,5,3,9,3,10,12,30,0,356,6,362,52,135,160,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1164,B01,443,32,157,47,20,6,12,5,1,4,21,47,0,352,7,359,37,88,222,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1165,B01,215,7,99,14,8,4,2,1,1,0,4,30,0,170,2,172,8,26,135,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1166,B01,98,10,24,13,5,1,0,2,0,1,4,7,0,67,8,75,11,22,32,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1167,B01,486,27,183,49,19,9,6,2,3,5,11,49,0,363,12,375,35,79,247,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1168,B01,290,18,118,41,21,6,5,2,2,1,6,17,0,237,10,247,21,68,146,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1169,B01,543,18,125,134,39,4,4,3,2,5,25,42,0,401,15,416,25,198,175,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1170,B01,162,8,49,21,20,3,3,1,0,0,9,12,0,126,6,132,8,50,67,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1171,B01,282,2,100,58,22,10,0,2,1,0,10,14,0,219,11,230,3,90,124,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1172,B01,173,3,55,36,12,2,2,1,1,1,8,18,0,139,4,143,5,56,77,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1173,B01,381,17,127,60,21,4,1,4,2,0,14,31,0,281,5,286,19,95,163,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1174,B01,676,19,254,91,9,11,4,6,3,3,23,97,0,520,39,559,25,123,366,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1175,B01,193,5,71,17,11,4,6,9,3,1,7,24,0,158,7,165,9,35,105,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1176,B01,344,9,115,58,17,1,4,3,0,3,16,42,0,268,14,282,12,91,162,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1177,B01,430,10,196,66,23,11,9,12,0,2,5,33,0,367,9,376,12,94,249,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1178,B01,529,27,166,67,53,6,4,17,1,2,17,44,0,404,27,431,30,137,220,PAN_PNA,PRD_PT,PRI_PVEM_PCP
13,31,SAN VICENTE TANCUAYALAB ,1178,C01,529,29,200,58,49,1,6,6,2,0,19,36,0,406,17,423,31,126,243,PAN_PNA,PRD_PT,PRI_PVEM_PCP
