Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PAN_PNA,CC_PRI_PVEM,CC_PRD_PT_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRI_PVEM,PRD_PT_PMC,CC_1,CC_2,CC_3
3,33,SANTA MARIA DEL RIO ,1188,B01,599,107,69,58,2,5,4,2,11,46,38,29,0,371,12,383,164,112,91,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1188,C01,598,102,78,43,2,5,6,3,8,55,46,24,0,372,13,385,165,129,72,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1188,C02,598,96,79,60,5,8,1,3,4,41,33,33,0,363,8,371,141,120,101,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1189,B01,667,129,112,40,5,11,5,4,10,42,36,16,0,410,6,416,181,159,65,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1189,C01,666,119,118,47,2,7,9,6,19,33,47,26,0,433,12,445,171,172,81,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1190,B01,530,117,76,21,1,7,6,3,9,38,42,19,1,340,11,351,164,125,44,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1190,C01,529,138,92,25,4,2,2,0,5,43,42,11,0,364,10,374,186,136,40,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1191,B01,692,111,95,43,3,10,5,10,18,71,60,33,0,459,19,478,200,165,89,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1191,C01,692,128,90,44,7,4,3,7,12,63,41,23,0,422,8,430,203,135,81,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1192,B01,740,140,101,76,4,14,3,4,9,35,60,11,0,457,17,474,184,175,95,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1192,C01,740,159,119,50,9,16,2,9,12,37,40,24,0,477,11,488,208,175,92,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1193,B01,750,140,142,48,3,14,2,6,23,43,45,17,1,484,11,495,206,201,74,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1193,C01,750,160,118,48,4,12,2,12,4,55,45,25,0,485,8,493,219,175,89,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1193,C02,749,149,113,54,3,12,6,5,9,53,52,19,1,476,12,488,211,177,81,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1194,B01,663,107,150,81,9,4,8,12,5,35,52,24,0,487,12,499,147,206,126,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1194,C01,663,172,169,105,0,0,5,0,0,0,0,0,0,451,18,469,172,169,105,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1195,B01,486,106,64,16,2,1,12,4,4,19,23,6,0,257,10,267,129,88,28,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1196,B01,274,62,34,5,4,4,3,3,2,6,4,0,3,130,9,139,70,42,12,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1197,B01,81,15,30,3,0,0,0,0,0,0,0,0,0,48,3,51,15,30,3,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1198,B01,100,33,10,4,1,0,7,0,0,3,0,0,0,58,3,61,36,10,5,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1199,B01,81,12,30,2,0,0,0,0,0,4,5,2,0,55,5,60,16,35,4,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1200,B01,261,61,37,2,6,6,0,1,1,6,13,2,0,135,11,146,68,56,11,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1201,B01,460,98,62,15,4,4,4,4,6,10,14,4,0,225,18,243,114,80,27,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1201,E01,116,21,28,0,0,3,0,0,5,0,0,0,0,57,1,58,26,31,0,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1202,B01,447,115,92,14,1,1,2,1,9,13,28,6,0,282,4,286,137,121,22,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1203,B01,663,79,76,56,3,4,1,8,2,38,53,45,0,365,13,378,119,133,112,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1204,B01,432,56,118,70,3,6,19,0,2,8,52,1,0,335,11,346,66,176,74,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1204,C01,431,47,112,7,4,7,14,2,3,15,61,5,0,277,13,290,65,180,18,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1205,B01,507,92,53,20,3,6,1,2,13,71,37,19,0,317,4,321,176,96,44,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1205,C01,506,96,55,13,2,2,2,5,0,75,38,8,0,296,12,308,171,95,28,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1205,C02,506,84,74,22,5,3,2,0,11,68,35,15,0,319,9,328,163,112,42,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1206,B01,720,134,71,49,15,6,8,5,14,36,49,24,0,411,11,422,184,126,93,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1206,E01,258,14,94,4,0,2,1,0,4,2,44,1,0,166,2,168,20,140,5,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1207,B01,392,60,73,36,4,9,3,4,7,19,31,15,1,262,7,269,86,113,59,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1207,C01,392,57,73,36,4,2,4,5,2,20,29,16,0,248,7,255,79,104,61,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1208,B01,515,120,79,36,5,12,4,2,4,18,21,12,2,315,8,323,142,112,55,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1209,B01,51,17,13,2,0,0,0,0,2,1,2,0,0,37,1,38,20,15,2,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1210,B01,227,87,20,0,3,0,3,0,4,3,0,6,0,126,8,134,94,20,9,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1211,B01,697,130,117,35,1,2,1,6,14,45,44,27,0,422,17,439,189,163,69,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1212,B01,653,117,86,34,3,5,2,2,4,37,37,10,0,337,22,359,158,128,49,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1212,E01,408,66,52,37,23,5,1,8,7,9,18,21,0,247,11,258,82,75,89,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1213,B01,502,67,151,21,0,3,5,4,7,7,62,11,0,338,7,345,81,216,36,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1214,B01,704,87,154,25,2,12,11,3,3,35,72,11,1,416,15,431,125,238,41,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1214,C01,703,99,121,27,12,6,6,4,5,44,101,9,1,435,15,450,148,228,52,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1215,B01,655,220,143,17,2,8,0,1,4,46,61,4,1,507,17,524,270,212,24,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1216,B01,685,76,203,28,4,8,5,3,4,17,78,8,0,434,20,454,97,289,43,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1217,B01,481,65,113,17,3,7,0,3,5,9,62,8,0,292,9,301,79,182,31,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1218,B01,676,91,211,6,0,11,2,0,1,16,130,5,0,473,12,485,108,352,11,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1218,E01,542,81,168,14,1,10,3,0,1,32,91,5,0,406,8,414,114,269,20,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1219,B01,637,103,237,4,4,6,1,0,2,13,103,3,0,476,22,498,118,346,11,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1219,C01,636,80,272,1,1,12,0,1,2,15,100,3,0,487,7,494,97,384,6,PAN_PNA,PRI_PVEM,PRD_PT_PMC
3,33,SANTA MARIA DEL RIO ,1220,B01,491,45,115,8,0,9,0,2,5,11,58,4,0,257,17,274,61,182,14,PAN_PNA,PRI_PVEM,PRD_PT_PMC
