Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI_PVEM,PRD,PT,PCP,PMC,PNA,CC_PAN_PNA,CC_PRD_PT_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRD_PT_PMC,CC_1,CC_2
4,34,SANTO DOMINGO ,1221,B01,702,27,83,26,104,59,18,1,14,127,0,459,8,467,42,275,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1222,B01,125,9,19,4,25,23,9,1,0,0,0,90,2,92,10,38,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1223,B01,327,34,4,8,29,89,6,1,16,31,0,218,9,227,51,74,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1224,B01,203,4,43,3,14,50,2,0,0,16,0,132,5,137,4,35,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1225,B01,338,25,24,14,61,77,7,0,6,37,0,251,13,264,31,119,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1226,B01,619,94,36,8,39,144,6,3,34,35,0,399,17,416,131,88,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1227,B01,485,23,38,3,65,110,6,1,4,37,0,287,11,298,28,111,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1228,B01,348,13,15,5,22,144,5,1,1,25,1,232,14,246,15,57,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1229,B01,423,22,39,7,11,194,7,1,5,17,0,303,10,313,28,42,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1230,B01,185,19,37,0,23,75,0,0,0,0,0,154,0,154,19,23,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1231,B01,163,2,68,2,8,44,3,1,0,12,0,140,2,142,3,25,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1232,B01,224,3,21,2,8,75,7,1,0,9,0,126,4,130,4,26,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1233,B01,354,5,38,16,55,78,7,2,0,48,0,249,10,259,7,126,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1234,B01,322,14,2,11,41,94,3,1,5,49,0,220,15,235,20,104,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1235,B01,264,21,24,0,88,56,0,0,0,0,0,189,11,200,21,88,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1236,B01,293,22,28,6,43,68,4,4,9,26,0,210,16,226,35,79,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1237,B01,641,58,147,0,111,96,0,0,0,0,0,412,9,421,58,111,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1238,B01,533,49,103,2,23,114,3,12,26,21,0,353,8,361,87,49,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1238,C01,532,56,123,8,20,103,2,7,34,23,0,376,8,384,97,53,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1238,C02,532,32,122,4,27,103,4,17,26,26,0,361,10,371,75,61,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1239,B01,191,3,22,3,17,80,3,0,1,15,0,144,3,147,4,38,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1240,B01,626,42,115,4,32,243,12,5,15,18,0,486,7,493,62,66,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1240,C01,625,42,94,1,35,271,0,3,25,31,0,502,13,515,70,67,PAN_PNA,PRD_PT_PMC
4,34,SANTO DOMINGO ,1241,B01,336,23,12,12,50,112,15,2,2,28,0,256,4,260,27,105,PAN_PNA,PRD_PT_PMC
