Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PAN_PNA,CC_PRD_PT_PMC,CC_PRI_PVEM_PCP,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP,CC_1,CC_2,CC_3
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1107,E01,750,66,55,136,8,3,5,5,5,2,67,10,0,362,12,374,73,216,73,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1107,E1C1,750,64,50,153,3,4,7,7,8,2,64,21,0,383,15,398,74,227,82,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1107,E1C2,750,65,67,144,14,6,7,8,6,6,55,26,1,405,9,414,77,221,106,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1107,E1C3,750,53,65,130,3,6,6,17,5,10,56,16,0,367,9,376,68,206,93,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1107,E1C4,750,47,53,138,16,4,7,13,2,10,73,16,0,379,12,391,59,240,80,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1107,E1C5,750,44,57,143,14,16,3,16,11,9,55,16,0,384,10,394,64,228,92,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1107,E1C6,750,67,50,124,9,7,5,14,13,4,55,17,0,365,12,377,84,202,79,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1107,E1C7,750,67,46,106,6,4,4,9,13,11,68,15,0,349,13,362,91,189,69,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1107,E1C8,750,62,43,146,13,5,7,8,6,7,65,25,0,387,11,398,75,232,80,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1107,E1C9,749,43,48,127,11,9,6,11,4,12,70,23,0,364,9,373,59,219,86,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1107,E1C10,749,63,47,127,14,7,5,12,7,16,53,23,0,374,10,384,86,206,82,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1107,E1C11,749,68,46,142,9,4,4,7,14,10,74,16,0,394,11,405,92,232,70,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
9,35,SOLEDAD DE GRACIANO SANCHEZ ,1107,E1C12,749,62,37,136,12,3,1,11,7,9,74,22,0,374,10,384,78,233,63,PAN_PNA,PRD_PT_PMC,PRI_PVEM_PCP
