Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PRI_PVEM,CC_PT_PCP_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PRI_PVEM,PT_PCP_PMC,CC_1,CC_2
15,37,TAMAZUNCHALE ,1336,B01,659,33,97,25,17,8,3,12,167,31,10,0,403,28,431,136,42,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1336,C01,659,43,84,20,10,7,4,9,207,17,4,0,405,14,419,108,27,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1337,B01,305,42,28,13,4,3,2,4,76,10,2,0,184,4,188,41,12,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1338,B01,394,32,46,14,2,5,0,12,132,11,3,0,257,14,271,62,17,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1339,B01,509,21,50,16,8,7,5,18,131,15,6,0,277,26,303,72,37,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1339,C01,509,32,43,14,13,11,0,13,135,10,7,0,278,18,296,64,33,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1339,C02,508,31,48,20,9,10,0,14,141,21,7,0,301,21,322,79,30,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1340,B01,646,57,68,16,7,8,1,12,211,26,11,0,417,20,437,102,31,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1341,B01,560,27,55,23,21,4,3,17,171,21,6,0,348,19,367,80,47,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1341,C01,559,30,54,27,12,7,3,12,156,17,6,0,324,17,341,78,33,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1342,B01,438,27,57,7,13,7,1,6,141,12,12,0,283,14,297,76,32,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1342,C01,437,19,44,6,7,5,3,6,135,13,11,0,249,16,265,62,27,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1343,B01,654,24,93,14,15,10,0,16,194,28,7,0,401,29,430,131,38,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1343,C01,654,25,100,21,19,5,1,22,194,33,6,0,426,15,441,138,48,PRI_PVEM,PT_PCP_PMC
15,37,TAMAZUNCHALE ,1344,B01,523,39,50,13,13,2,2,5,186,19,6,1,336,10,346,71,26,PRI_PVEM,PT_PCP_PMC
