Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PVEM,PNA,CC_PAN_PNA,CC_PRI_PVEM,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRI_PVEM,CC_1,CC_2
1,44,VANEGAS ,1520,B01,725,109,41,166,13,60,109,0,498,6,504,182,316,PAN_PNA,PRI_PVEM
1,44,VANEGAS ,1521,B01,310,72,28,87,1,22,26,0,236,2,238,95,141,PAN_PNA,PRI_PVEM
1,44,VANEGAS ,1522,B01,732,126,48,204,8,42,79,0,507,9,516,176,331,PAN_PNA,PRI_PVEM
1,44,VANEGAS ,1523,B01,95,34,8,9,0,12,12,0,75,0,75,46,29,PAN_PNA,PRI_PVEM
1,44,VANEGAS ,1524,B01,168,22,23,40,1,11,25,2,124,3,127,34,88,PAN_PNA,PRI_PVEM
1,44,VANEGAS ,1525,B01,422,37,49,45,2,28,85,0,246,7,253,67,179,PAN_PNA,PRI_PVEM
1,44,VANEGAS ,1526,B01,270,74,22,35,14,18,18,0,181,2,183,106,75,PAN_PNA,PRI_PVEM
1,44,VANEGAS ,1527,B01,568,99,34,113,16,45,67,0,374,2,376,160,214,PAN_PNA,PRI_PVEM
1,44,VANEGAS ,1528,B01,263,48,29,38,1,20,39,0,175,3,178,69,106,PAN_PNA,PRI_PVEM
1,44,VANEGAS ,1529,B01,67,22,8,6,0,10,7,3,56,0,56,32,21,PAN_PNA,PRI_PVEM
1,44,VANEGAS ,1530,B01,169,21,28,38,1,11,41,0,140,3,143,33,107,PAN_PNA,PRI_PVEM
1,44,VANEGAS ,1531,B01,341,79,39,123,2,1,2,0,246,11,257,82,164,PAN_PNA,PRI_PVEM
1,44,VANEGAS ,1532,B01,261,52,21,59,0,14,51,0,197,4,201,66,131,PAN_PNA,PRI_PVEM
1,44,VANEGAS ,1533,B01,226,28,21,26,0,19,50,0,144,6,150,47,97,PAN_PNA,PRI_PVEM
1,44,VANEGAS ,1534,B01,432,83,29,71,0,45,82,0,310,5,315,128,182,PAN_PNA,PRI_PVEM
1,44,VANEGAS ,1535,B01,75,16,6,15,0,8,13,0,58,2,60,24,34,PAN_PNA,PRI_PVEM
