Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI_PVEM,PRD,PT,PCP,PMC,PNA,CC_PAN_PNA,CC_PT_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PT_PMC,CC_1,CC_2
1,48,VILLA DE GUADALUPE ,1587,B01,520,84,112,11,11,4,38,5,20,32,0,317,7,324,109,81,PAN_PNA,PT_PMC
1,48,VILLA DE GUADALUPE ,1587,E01,406,66,100,26,6,1,31,5,21,17,0,273,8,281,92,54,PAN_PNA,PT_PMC
1,48,VILLA DE GUADALUPE ,1588,B01,599,69,125,7,18,0,50,3,30,49,0,351,3,354,102,117,PAN_PNA,PT_PMC
1,48,VILLA DE GUADALUPE ,1589,B01,212,47,60,0,5,0,5,5,18,2,0,142,9,151,70,12,PAN_PNA,PT_PMC
1,48,VILLA DE GUADALUPE ,1590,B01,639,101,133,28,20,3,32,9,52,24,0,402,20,422,162,76,PAN_PNA,PT_PMC
1,48,VILLA DE GUADALUPE ,1591,B01,235,11,48,6,11,2,23,3,10,17,0,131,3,134,24,51,PAN_PNA,PT_PMC
1,48,VILLA DE GUADALUPE ,1592,B01,96,20,47,0,9,0,0,0,0,0,0,76,2,78,20,9,PAN_PNA,PT_PMC
1,48,VILLA DE GUADALUPE ,1593,B01,451,43,88,7,20,0,35,3,6,30,0,232,9,241,52,85,PAN_PNA,PT_PMC
1,48,VILLA DE GUADALUPE ,1594,B01,112,19,11,2,9,1,19,0,0,0,0,61,2,63,19,28,PAN_PNA,PT_PMC
1,48,VILLA DE GUADALUPE ,1595,B01,122,5,15,1,8,0,31,1,1,13,0,75,2,77,7,52,PAN_PNA,PT_PMC
1,48,VILLA DE GUADALUPE ,1596,B01,409,45,77,6,11,0,46,5,11,22,0,223,9,232,61,79,PAN_PNA,PT_PMC
1,48,VILLA DE GUADALUPE ,1597,B01,418,49,107,12,17,1,45,1,14,35,0,281,8,289,64,97,PAN_PNA,PT_PMC
1,48,VILLA DE GUADALUPE ,1598,B01,709,104,210,41,13,3,29,6,52,41,0,499,3,502,162,83,PAN_PNA,PT_PMC
1,48,VILLA DE GUADALUPE ,1598,E01,212,29,54,8,4,0,9,2,19,5,0,130,8,138,50,18,PAN_PNA,PT_PMC
1,48,VILLA DE GUADALUPE ,1599,B01,415,100,112,28,3,1,4,4,40,3,0,295,13,308,144,10,PAN_PNA,PT_PMC
1,48,VILLA DE GUADALUPE ,1600,B01,190,34,71,2,2,0,6,1,17,1,0,134,2,136,52,9,PAN_PNA,PT_PMC
1,48,VILLA DE GUADALUPE ,1601,B01,534,40,174,39,5,31,9,12,15,3,0,328,16,344,67,17,PAN_PNA,PT_PMC
1,48,VILLA DE GUADALUPE ,1601,E01,412,64,58,73,0,6,6,38,13,1,0,259,12,271,115,7,PAN_PNA,PT_PMC
1,48,VILLA DE GUADALUPE ,1602,B01,291,33,96,31,4,2,11,4,29,5,0,215,11,226,66,20,PAN_PNA,PT_PMC
1,48,VILLA DE GUADALUPE ,1603,B01,323,27,88,16,22,7,15,3,7,15,0,200,11,211,37,52,PAN_PNA,PT_PMC
