Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI_PVEM,PRD,PT,PCP,PMC,PNA,CC_PAN_PNA,CC_PRD_PT_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRD_PT_PMC,CC_1,CC_2
1,7,CEDRAL ,119,B01,705,44,272,19,21,5,6,17,11,14,0,409,15,424,72,60,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,119,C01,704,61,243,30,9,3,10,24,13,11,0,404,16,420,98,60,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,119,C02,704,36,282,28,21,3,6,21,9,11,0,417,15,432,66,66,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,120,B01,609,38,255,24,9,2,7,14,8,10,0,367,7,374,60,50,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,120,C01,608,46,232,17,17,5,4,20,8,3,0,352,16,368,74,41,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,120,C02,608,46,211,25,6,2,6,21,9,10,0,336,17,353,76,47,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,121,B01,581,61,257,7,6,4,5,6,8,8,0,362,8,370,75,26,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,121,C01,580,61,238,27,11,4,3,8,15,12,0,379,10,389,84,53,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,121,C02,580,55,224,19,7,6,2,11,8,8,0,340,12,352,74,36,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,122,B01,685,45,269,34,12,6,3,18,13,16,0,416,8,424,76,65,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,122,C01,685,45,273,36,16,5,10,19,12,16,0,432,9,441,76,78,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,122,C02,685,54,264,20,10,13,7,22,14,12,0,416,10,426,90,49,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,123,B01,164,7,64,9,5,0,1,4,2,3,0,95,6,101,13,18,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,124,B01,309,7,93,33,8,0,3,3,0,24,0,171,12,183,10,68,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,125,B01,275,32,83,9,8,1,4,5,6,11,0,159,15,174,43,32,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,125,E01,154,15,69,3,7,0,2,5,3,2,1,107,4,111,23,14,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,126,B01,451,22,176,6,3,3,5,3,7,8,0,233,23,256,32,22,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,127,B01,336,20,133,6,16,2,5,3,1,12,0,198,14,212,24,39,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,128,B01,415,25,153,28,19,1,14,1,2,15,0,258,11,269,28,76,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,129,B01,130,0,74,8,4,1,2,2,0,5,0,96,3,99,2,19,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,130,B01,224,25,114,5,7,0,2,2,3,2,0,160,3,163,30,16,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,131,B01,500,43,159,11,13,0,6,11,17,12,0,272,17,289,71,42,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,131,C01,500,36,203,14,5,0,3,10,21,4,0,296,9,305,67,26,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,132,B01,182,14,79,9,0,0,0,0,0,0,0,102,3,105,14,9,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,133,B01,337,14,146,18,11,1,10,8,1,21,0,230,10,240,23,60,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,134,B01,349,20,148,21,9,1,6,3,2,4,0,214,13,227,25,40,PAN_PNA,PRD_PT_PMC
1,7,CEDRAL ,135,B01,605,38,264,22,14,2,8,1,0,0,0,349,20,369,39,44,PAN_PNA,PRD_PT_PMC
