Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PVEM,PCP,PNA,CC_PRD_PCP,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PRD_PCP,CC_1
15,38,TAMPACAN ,1412,B01,378,64,163,49,5,5,0,11,0,297,7,304,65,PRD_PCP
15,38,TAMPACAN ,1412,C01,378,88,187,22,5,1,0,3,0,306,6,312,26,PRD_PCP
15,38,TAMPACAN ,1413,B01,464,140,159,57,0,6,1,6,0,369,18,387,69,PRD_PCP
15,38,TAMPACAN ,1414,B01,433,120,131,60,5,9,0,3,0,328,13,341,72,PRD_PCP
15,38,TAMPACAN ,1414,C01,433,106,177,39,1,12,0,6,0,341,12,353,57,PRD_PCP
15,38,TAMPACAN ,1415,B01,410,47,139,115,3,7,2,20,0,333,16,349,142,PRD_PCP
15,38,TAMPACAN ,1416,B01,242,42,93,46,5,1,0,4,0,191,9,200,51,PRD_PCP
15,38,TAMPACAN ,1417,B01,497,35,94,202,4,13,2,14,0,364,12,376,229,PRD_PCP
15,38,TAMPACAN ,1417,C01,497,45,140,155,3,9,2,24,0,378,12,390,188,PRD_PCP
15,38,TAMPACAN ,1418,B01,554,90,145,145,6,11,1,22,0,420,25,445,178,PRD_PCP
15,38,TAMPACAN ,1418,C01,554,78,179,149,1,3,0,12,0,422,19,441,164,PRD_PCP
15,38,TAMPACAN ,1419,B01,415,44,70,119,12,16,3,21,0,285,17,302,156,PRD_PCP
15,38,TAMPACAN ,1420,B01,207,45,65,59,2,6,1,3,0,181,8,189,68,PRD_PCP
15,38,TAMPACAN ,1421,B01,515,44,111,195,20,21,3,11,0,405,17,422,227,PRD_PCP
15,38,TAMPACAN ,1422,B01,741,98,164,218,10,19,2,17,0,528,18,546,254,PRD_PCP
15,38,TAMPACAN ,1423,B01,414,21,126,138,6,10,1,12,0,314,8,322,160,PRD_PCP
15,38,TAMPACAN ,1423,C01,413,21,117,111,5,7,0,20,0,281,10,291,138,PRD_PCP
15,38,TAMPACAN ,1424,B01,620,43,149,205,5,44,4,23,0,473,18,491,272,PRD_PCP
15,38,TAMPACAN ,1425,B01,415,56,118,118,10,17,0,7,0,326,7,333,142,PRD_PCP
15,38,TAMPACAN ,1425,C01,414,50,121,120,0,10,1,9,0,311,19,330,139,PRD_PCP
15,38,TAMPACAN ,1426,B01,534,34,128,108,5,83,3,20,0,381,20,401,211,PRD_PCP
15,38,TAMPACAN ,1427,B01,639,72,129,165,6,17,3,32,0,424,39,463,214,PRD_PCP
15,38,TAMPACAN ,1427,C01,638,56,197,157,5,11,6,32,0,464,36,500,200,PRD_PCP
